Date,TIGER 200 건설
2014-01-13,3850.0
2014-01-14,3770.0
2014-01-15,3795.0
2014-01-16,3845.0
2014-01-17,3815.0
2014-01-20,3820.0
2014-01-21,3885.0
2014-01-22,3890.0
2014-01-23,3850.0
2014-01-24,3780.0
2014-01-27,3715.0
2014-01-28,3720.0
2014-01-29,3830.0
2014-02-03,3810.0
2014-02-04,3715.0
2014-02-05,3805.0
2014-02-06,3845.0
2014-02-07,3790.0
2014-02-10,3830.0
2014-02-11,3780.0
2014-02-12,3810.0
2014-02-13,3825.0
2014-02-14,3825.0
2014-02-17,3965.0
2014-02-18,3975.0
2014-02-19,3975.0
2014-02-20,4075.0
2014-02-21,4105.0
2014-02-24,4085.0
2014-02-25,4095.0
2014-02-26,4020.0
2014-02-27,4075.0
2014-02-28,4040.0
2014-03-03,3985.0
2014-03-04,3975.0
2014-03-05,4090.0
2014-03-06,4095.0
2014-03-07,4075.0
2014-03-10,3995.0
2014-03-11,3995.0
2014-03-12,3855.0
2014-03-13,3890.0
2014-03-14,3835.0
2014-03-17,3850.0
2014-03-18,3875.0
2014-03-19,3855.0
2014-03-20,3785.0
2014-03-21,3800.0
2014-03-24,3845.0
2014-03-25,3920.0
2014-03-26,3900.0
2014-03-27,3915.0
2014-03-28,3970.0
2014-03-31,3950.0
2014-04-01,3970.0
2014-04-02,3970.0
2014-04-03,3970.0
2014-04-04,3970.0
2014-04-07,3925.0
2014-04-08,3950.0
2014-04-09,4015.0
2014-04-10,4050.0
2014-04-11,4010.0
2014-04-14,4010.0
2014-04-15,3995.0
2014-04-16,3975.0
2014-04-17,3975.0
2014-04-18,4020.0
2014-04-21,3990.0
2014-04-22,3980.0
2014-04-23,4020.0
2014-04-24,3950.0
2014-04-25,3880.0
2014-04-28,3905.0
2014-04-29,3920.0
2014-04-30,3940.0
2014-05-02,3940.0
2014-05-07,3840.0
2014-05-08,3840.0
2014-05-09,3860.0
2014-05-12,3805.0
2014-05-13,3845.0
2014-05-14,3860.0
2014-05-15,3965.0
2014-05-16,3925.0
2014-05-19,3950.0
2014-05-20,3915.0
2014-05-21,3880.0
2014-05-22,3925.0
2014-05-23,3915.0
2014-05-26,3915.0
2014-05-27,3880.0
2014-05-28,3915.0
2014-05-29,3870.0
2014-05-30,3805.0
2014-06-02,3800.0
2014-06-03,3800.0
2014-06-05,3730.0
2014-06-09,3750.0
2014-06-10,3765.0
2014-06-11,3745.0
2014-06-12,3705.0
2014-06-13,3665.0
2014-06-16,3685.0
2014-06-17,3695.0
2014-06-18,3720.0
2014-06-19,3745.0
2014-06-20,3725.0
2014-06-23,3745.0
2014-06-24,3785.0
2014-06-25,3750.0
2014-06-26,3820.0
2014-06-27,3810.0
2014-06-30,3890.0
2014-07-01,3890.0
2014-07-02,3915.0
2014-07-03,3940.0
2014-07-04,3970.0
2014-07-07,3980.0
2014-07-08,3970.0
2014-07-09,3960.0
2014-07-10,3940.0
2014-07-11,3895.0
2014-07-14,3960.0
2014-07-15,3930.0
2014-07-16,3905.0
2014-07-17,3895.0
2014-07-18,3900.0
2014-07-21,3910.0
2014-07-22,3995.0
2014-07-23,4075.0
2014-07-24,3990.0
2014-07-25,4010.0
2014-07-28,4085.0
2014-07-29,4055.0
2014-07-30,4030.0
2014-07-31,4045.0
2014-08-01,4020.0
2014-08-04,4025.0
2014-08-05,3950.0
2014-08-06,3890.0
2014-08-07,3890.0
2014-08-08,3835.0
2014-08-11,3840.0
2014-08-12,3865.0
2014-08-13,3935.0
2014-08-14,3920.0
2014-08-18,3875.0
2014-08-19,3930.0
2014-08-20,3855.0
2014-08-21,3790.0
2014-08-22,3760.0
2014-08-25,3795.0
2014-08-26,3880.0
2014-08-27,3860.0
2014-08-28,3870.0
2014-08-29,3885.0
2014-09-01,3950.0
2014-09-02,3935.0
2014-09-03,3880.0
2014-09-04,3925.0
2014-09-05,3905.0
2014-09-11,3885.0
2014-09-12,3890.0
2014-09-15,3850.0
2014-09-16,3870.0
2014-09-17,3890.0
2014-09-18,3915.0
2014-09-19,3920.0
2014-09-22,3875.0
2014-09-23,3850.0
2014-09-24,3850.0
2014-09-25,3895.0
2014-09-26,3870.0
2014-09-29,3845.0
2014-09-30,3805.0
2014-10-01,3770.0
2014-10-02,3680.0
2014-10-06,3705.0
2014-10-07,3715.0
2014-10-08,3690.0
2014-10-10,3585.0
2014-10-13,3550.0
2014-10-14,3580.0
2014-10-15,3540.0
2014-10-16,3555.0
2014-10-17,3470.0
2014-10-20,3575.0
2014-10-21,3505.0
2014-10-22,3540.0
2014-10-23,3530.0
2014-10-24,3480.0
2014-10-27,3490.0
2014-10-28,3425.0
2014-10-29,3540.0
2014-10-30,3535.0
2014-10-31,3495.0
2014-11-03,3525.0
2014-11-04,3515.0
2014-11-05,3505.0
2014-11-06,3525.0
2014-11-07,3515.0
2014-11-10,3560.0
2014-11-11,3575.0
2014-11-12,3595.0
2014-11-13,3605.0
2014-11-14,3475.0
2014-11-17,3475.0
2014-11-18,3460.0
2014-11-19,3385.0
2014-11-20,3385.0
2014-11-21,3425.0
2014-11-24,3485.0
2014-11-25,3480.0
2014-11-26,3460.0
2014-11-27,3435.0
2014-11-28,3405.0
2014-12-01,3310.0
2014-12-02,3295.0
2014-12-03,3295.0
2014-12-04,3345.0
2014-12-05,3325.0
2014-12-08,3285.0
2014-12-09,3205.0
2014-12-10,3135.0
2014-12-11,3060.0
2014-12-12,3075.0
2014-12-15,3135.0
2014-12-16,3100.0
2014-12-17,3120.0
2014-12-18,3085.0
2014-12-19,3100.0
2014-12-22,3115.0
2014-12-23,3125.0
2014-12-24,3160.0
2014-12-26,3145.0
2014-12-29,3145.0
2014-12-30,3130.0
2015-01-02,3105.0
2015-01-05,3050.0
2015-01-06,3015.0
2015-01-07,3020.0
2015-01-08,3045.0
2015-01-09,3090.0
2015-01-12,3080.0
2015-01-13,3085.0
2015-01-14,3070.0
2015-01-15,3040.0
2015-01-16,2940.0
2015-01-19,2995.0
2015-01-20,3010.0
2015-01-21,3000.0
2015-01-22,3040.0
2015-01-23,3045.0
2015-01-26,3010.0
2015-01-27,3010.0
2015-01-28,3135.0
2015-01-29,3130.0
2015-01-30,3140.0
2015-02-02,3170.0
2015-02-03,3205.0
2015-02-04,3220.0
2015-02-05,3205.0
2015-02-06,3205.0
2015-02-09,3230.0
2015-02-10,3195.0
2015-02-11,3215.0
2015-02-12,3175.0
2015-02-13,3195.0
2015-02-16,3215.0
2015-02-17,3280.0
2015-02-23,3310.0
2015-02-24,3330.0
2015-02-25,3400.0
2015-02-26,3520.0
2015-02-27,3495.0
2015-03-02,3585.0
2015-03-03,3535.0
2015-03-04,3520.0
2015-03-05,3520.0
2015-03-06,3510.0
2015-03-09,3465.0
2015-03-10,3420.0
2015-03-11,3365.0
2015-03-12,3350.0
2015-03-13,3350.0
2015-03-16,3285.0
2015-03-17,3400.0
2015-03-18,3365.0
2015-03-19,3415.0
2015-03-20,3415.0
2015-03-23,3445.0
2015-03-24,3450.0
2015-03-25,3460.0
2015-03-26,3420.0
2015-03-27,3415.0
2015-03-30,3435.0
2015-03-31,3450.0
2015-04-01,3390.0
2015-04-02,3360.0
2015-04-03,3425.0
2015-04-06,3505.0
2015-04-07,3525.0
2015-04-08,3540.0
2015-04-09,3530.0
2015-04-10,3550.0
2015-04-13,3685.0
2015-04-14,3685.0
2015-04-15,3750.0
2015-04-16,3755.0
2015-04-17,3735.0
2015-04-20,3735.0
2015-04-21,3725.0
2015-04-22,3720.0
2015-04-23,3705.0
2015-04-24,3610.0
2015-04-27,3655.0
2015-04-28,3610.0
2015-04-29,3510.0
2015-04-30,3490.0
2015-05-04,3450.0
2015-05-06,3420.0
2015-05-07,3425.0
2015-05-08,3425.0
2015-05-11,3455.0
2015-05-12,3460.0
2015-05-13,3460.0
2015-05-14,3480.0
2015-05-15,3405.0
2015-05-18,3375.0
2015-05-19,3360.0
2015-05-20,3365.0
2015-05-21,3335.0
2015-05-22,3415.0
2015-05-26,3475.0
2015-05-27,3480.0
2015-05-28,3430.0
2015-05-29,3430.0
2015-06-01,3455.0
2015-06-02,3425.0
2015-06-03,3415.0
2015-06-04,3485.0
2015-06-05,3545.0
2015-06-08,3510.0
2015-06-09,3495.0
2015-06-10,3550.0
2015-06-11,3485.0
2015-06-12,3435.0
2015-06-15,3400.0
2015-06-16,3300.0
2015-06-17,3335.0
2015-06-18,3315.0
2015-06-19,3315.0
2015-06-22,3345.0
2015-06-23,3405.0
2015-06-24,3470.0
2015-06-25,3445.0
2015-06-26,3430.0
2015-06-29,3345.0
2015-06-30,3365.0
2015-07-01,3440.0
2015-07-02,3455.0
2015-07-03,3470.0
2015-07-06,3395.0
2015-07-07,3385.0
2015-07-08,3385.0
2015-07-09,3360.0
2015-07-10,3390.0
2015-07-13,3490.0
2015-07-14,3560.0
2015-07-15,3655.0
2015-07-16,3725.0
2015-07-17,3725.0
2015-07-20,3650.0
2015-07-21,3635.0
2015-07-22,3630.0
2015-07-23,3450.0
2015-07-24,3340.0
2015-07-27,3310.0
2015-07-28,3330.0
2015-07-29,3320.0
2015-07-30,3290.0
2015-07-31,3310.0
2015-08-03,3275.0
2015-08-04,3245.0
2015-08-05,3265.0
2015-08-06,3220.0
2015-08-07,3195.0
2015-08-10,3055.0
