Date,TIGER 200 금융
2014-01-13,7385.0
2014-01-14,7280.0
2014-01-15,7350.0
2014-01-16,7330.0
2014-01-17,7255.0
2014-01-20,7200.0
2014-01-21,7260.0
2014-01-22,7295.0
2014-01-23,7210.0
2014-01-24,7230.0
2014-01-27,7160.0
2014-01-28,7070.0
2014-01-29,7330.0
2014-02-03,7195.0
2014-02-04,7025.0
2014-02-05,7030.0
2014-02-06,7050.0
2014-02-07,7050.0
2014-02-10,6940.0
2014-02-11,6980.0
2014-02-12,7030.0
2014-02-13,6960.0
2014-02-14,6955.0
2014-02-17,7190.0
2014-02-18,7180.0
2014-02-19,7110.0
2014-02-20,7090.0
2014-02-21,7150.0
2014-02-24,7185.0
2014-02-25,7240.0
2014-02-26,7215.0
2014-02-27,7215.0
2014-02-28,7270.0
2014-03-03,7185.0
2014-03-04,7170.0
2014-03-05,7240.0
2014-03-06,7255.0
2014-03-07,7180.0
2014-03-10,7030.0
2014-03-11,7120.0
2014-03-12,7005.0
2014-03-13,7030.0
2014-03-14,6950.0
2014-03-17,6945.0
2014-03-18,7015.0
2014-03-19,7035.0
2014-03-20,6940.0
2014-03-21,6955.0
2014-03-24,7000.0
2014-03-25,7020.0
2014-03-26,7155.0
2014-03-27,7155.0
2014-03-28,7190.0
2014-03-31,7190.0
2014-04-01,7175.0
2014-04-02,7215.0
2014-04-03,7135.0
2014-04-04,7135.0
2014-04-07,7090.0
2014-04-08,7115.0
2014-04-09,7210.0
2014-04-10,7260.0
2014-04-11,7205.0
2014-04-14,7200.0
2014-04-15,7250.0
2014-04-16,7175.0
2014-04-17,7200.0
2014-04-18,7225.0
2014-04-21,7180.0
2014-04-22,7160.0
2014-04-23,7120.0
2014-04-24,7125.0
2014-04-25,7000.0
2014-04-28,7000.0
2014-04-29,6910.0
2014-04-30,6945.0
2014-05-02,6980.0
2014-05-07,6900.0
2014-05-08,6955.0
2014-05-09,6975.0
2014-05-12,6975.0
2014-05-13,7050.0
2014-05-14,7200.0
2014-05-15,7245.0
2014-05-16,7250.0
2014-05-19,7300.0
2014-05-20,7290.0
2014-05-21,7160.0
2014-05-22,7220.0
2014-05-23,7195.0
2014-05-26,7195.0
2014-05-27,7105.0
2014-05-28,7165.0
2014-05-29,7135.0
2014-05-30,7020.0
2014-06-02,7090.0
2014-06-03,7000.0
2014-06-05,7005.0
2014-06-09,7100.0
2014-06-10,7165.0
2014-06-11,7205.0
2014-06-12,7205.0
2014-06-13,7135.0
2014-06-16,7135.0
2014-06-17,7100.0
2014-06-18,7070.0
2014-06-19,7070.0
2014-06-20,7020.0
2014-06-23,7020.0
2014-06-24,7115.0
2014-06-25,7035.0
2014-06-26,7115.0
2014-06-27,7115.0
2014-06-30,7115.0
2014-07-01,7075.0
2014-07-02,7130.0
2014-07-03,7120.0
2014-07-04,7120.0
2014-07-07,7110.0
2014-07-08,7140.0
2014-07-09,7140.0
2014-07-10,7175.0
2014-07-11,7125.0
2014-07-14,7125.0
2014-07-15,7215.0
2014-07-16,7200.0
2014-07-17,7235.0
2014-07-18,7145.0
2014-07-21,7220.0
2014-07-22,7230.0
2014-07-23,7320.0
2014-07-24,7310.0
2014-07-25,7380.0
2014-07-28,7615.0
2014-07-29,7720.0
2014-07-30,7850.0
2014-07-31,7925.0
2014-08-01,7915.0
2014-08-04,7865.0
2014-08-05,7825.0
2014-08-06,7935.0
2014-08-07,7955.0
2014-08-08,7775.0
2014-08-11,7855.0
2014-08-12,7910.0
2014-08-13,7950.0
2014-08-14,8010.0
2014-08-18,7990.0
2014-08-19,8055.0
2014-08-20,8065.0
2014-08-21,7845.0
2014-08-22,7950.0
2014-08-25,8005.0
2014-08-26,8005.0
2014-08-27,8195.0
2014-08-28,8140.0
2014-08-29,8085.0
2014-09-01,8100.0
2014-09-02,8085.0
2014-09-03,8225.0
2014-09-04,8205.0
2014-09-05,8170.0
2014-09-11,8085.0
2014-09-12,8085.0
2014-09-15,7885.0
2014-09-16,7930.0
2014-09-17,7955.0
2014-09-18,8015.0
2014-09-19,7980.0
2014-09-22,7940.0
2014-09-23,8000.0
2014-09-24,7995.0
2014-09-25,7975.0
2014-09-26,7745.0
2014-09-29,7780.0
2014-09-30,7710.0
2014-10-01,7535.0
2014-10-02,7590.0
2014-10-06,7585.0
2014-10-07,7660.0
2014-10-08,7570.0
2014-10-10,7590.0
2014-10-13,7630.0
2014-10-14,7565.0
2014-10-15,7560.0
2014-10-16,7490.0
2014-10-17,7495.0
2014-10-20,7540.0
2014-10-21,7385.0
2014-10-22,7625.0
2014-10-23,7515.0
2014-10-24,7515.0
2014-10-27,7670.0
2014-10-28,7700.0
2014-10-29,7985.0
2014-10-30,7990.0
2014-10-31,8010.0
2014-11-03,7895.0
2014-11-04,7915.0
2014-11-05,7935.0
2014-11-06,7920.0
2014-11-07,7910.0
2014-11-10,7860.0
2014-11-11,7855.0
2014-11-12,7885.0
2014-11-13,7860.0
2014-11-14,7775.0
2014-11-17,7840.0
2014-11-18,7825.0
2014-11-19,7845.0
2014-11-20,7845.0
2014-11-21,7850.0
2014-11-24,7870.0
2014-11-25,7955.0
2014-11-26,7965.0
2014-11-27,7875.0
2014-11-28,7850.0
2014-12-01,7745.0
2014-12-02,7750.0
2014-12-03,7750.0
2014-12-04,7805.0
