Date,TIGER 200 에너지화학
2014-01-13,10670.0
2014-01-14,10540.0
2014-01-15,10595.0
2014-01-16,10640.0
2014-01-17,10680.0
2014-01-20,10570.0
2014-01-21,10620.0
2014-01-22,10720.0
2014-01-23,10640.0
2014-01-24,10605.0
2014-01-27,10280.0
2014-01-28,10305.0
2014-01-29,10380.0
2014-02-03,10225.0
2014-02-04,9985.0
2014-02-05,10060.0
2014-02-06,10075.0
2014-02-07,10165.0
2014-02-10,10240.0
2014-02-11,10260.0
2014-02-12,10395.0
2014-02-13,10340.0
2014-02-14,10340.0
2014-02-17,10455.0
2014-02-18,10405.0
2014-02-19,10400.0
2014-02-20,10355.0
2014-02-21,10365.0
2014-02-24,10380.0
2014-02-25,10445.0
2014-02-26,10555.0
2014-02-27,10555.0
2014-02-28,10525.0
2014-03-03,10415.0
2014-03-04,10360.0
2014-03-05,10445.0
2014-03-06,10435.0
2014-03-07,10405.0
2014-03-10,10320.0
2014-03-11,10330.0
2014-03-12,10200.0
2014-03-13,10135.0
2014-03-14,10105.0
2014-03-17,10175.0
2014-03-18,10200.0
2014-03-19,10120.0
2014-03-20,9800.0
2014-03-21,9905.0
2014-03-24,10060.0
2014-03-25,10090.0
2014-03-26,10080.0
2014-03-27,10110.0
2014-03-28,10140.0
2014-03-31,10190.0
2014-04-01,10270.0
2014-04-02,10270.0
2014-04-03,10100.0
2014-04-04,10140.0
2014-04-07,10220.0
2014-04-08,10360.0
2014-04-09,10400.0
2014-04-10,10400.0
2014-04-11,10315.0
2014-04-14,10315.0
2014-04-15,10245.0
2014-04-16,10240.0
2014-04-17,10165.0
2014-04-18,10325.0
2014-04-21,10355.0
2014-04-22,10355.0
2014-04-23,10330.0
2014-04-24,10165.0
2014-04-25,10120.0
2014-04-28,10055.0
2014-04-29,9860.0
2014-04-30,9905.0
2014-05-02,9875.0
2014-05-07,9700.0
2014-05-08,9580.0
2014-05-09,9580.0
2014-05-12,9480.0
2014-05-13,9680.0
2014-05-14,9690.0
2014-05-15,9760.0
2014-05-16,9760.0
2014-05-19,9795.0
2014-05-20,9770.0
2014-05-21,9725.0
2014-05-22,9915.0
2014-05-23,9895.0
2014-05-26,9825.0
2014-05-27,9825.0
2014-05-28,9800.0
2014-05-29,9700.0
2014-05-30,9615.0
2014-06-02,9660.0
2014-06-03,9675.0
2014-06-05,9600.0
2014-06-09,9725.0
2014-06-10,9810.0
2014-06-11,9875.0
2014-06-12,9830.0
2014-06-13,9830.0
2014-06-16,9970.0
2014-06-17,9970.0
2014-06-18,9925.0
2014-06-19,10015.0
2014-06-20,9810.0
2014-06-23,9980.0
2014-06-24,9970.0
2014-06-25,10005.0
2014-06-26,10090.0
2014-06-27,10090.0
2014-06-30,10155.0
2014-07-01,10145.0
2014-07-02,10130.0
2014-07-03,10005.0
2014-07-04,9960.0
2014-07-07,9925.0
2014-07-08,9785.0
2014-07-09,9720.0
2014-07-10,9785.0
2014-07-11,9700.0
2014-07-14,9685.0
2014-07-15,9875.0
2014-07-16,9835.0
2014-07-17,9880.0
2014-07-18,9895.0
2014-07-21,9785.0
2014-07-22,9775.0
2014-07-23,9810.0
2014-07-24,9880.0
2014-07-25,9860.0
2014-07-28,9910.0
2014-07-29,9950.0
2014-07-30,9950.0
2014-07-31,9985.0
2014-08-01,10065.0
2014-08-04,10090.0
2014-08-05,9870.0
2014-08-06,9845.0
2014-08-07,9715.0
2014-08-08,9575.0
2014-08-11,9630.0
2014-08-12,9555.0
2014-08-13,9530.0
2014-08-14,9580.0
2014-08-18,9515.0
2014-08-19,9560.0
2014-08-20,9475.0
2014-08-21,9410.0
2014-08-22,9480.0
2014-08-25,9505.0
2014-08-26,9505.0
2014-08-27,9495.0
2014-08-28,9480.0
2014-08-29,9395.0
2014-09-01,9400.0
2014-09-02,9285.0
2014-09-03,9195.0
2014-09-04,9195.0
