Date,TIGER 200 중공업
2014-01-13,5000.0
2014-01-14,4990.0
2014-01-15,5050.0
2014-01-16,5055.0
2014-01-17,5045.0
2014-01-20,5045.0
2014-01-21,5150.0
2014-01-22,5120.0
2014-01-23,5110.0
2014-01-24,5020.0
2014-01-27,4955.0
2014-01-28,4895.0
2014-01-29,4960.0
2014-02-03,4920.0
2014-02-04,4790.0
2014-02-05,4810.0
2014-02-06,4825.0
2014-02-07,4770.0
2014-02-10,4875.0
2014-02-11,4875.0
2014-02-12,4895.0
2014-02-13,4855.0
2014-02-14,4895.0
2014-02-17,5005.0
2014-02-18,4985.0
2014-02-19,4950.0
2014-02-20,4920.0
2014-02-21,4975.0
2014-02-24,4995.0
2014-02-25,5005.0
2014-02-26,5055.0
2014-02-27,4975.0
2014-02-28,4865.0
2014-03-03,4835.0
2014-03-04,4800.0
2014-03-05,4905.0
2014-03-06,4905.0
2014-03-07,4930.0
2014-03-10,4850.0
2014-03-11,4800.0
2014-03-12,4725.0
2014-03-13,4710.0
2014-03-14,4620.0
2014-03-17,4715.0
2014-03-18,4705.0
2014-03-19,4685.0
2014-03-20,4590.0
2014-03-21,4630.0
2014-03-24,4700.0
2014-03-25,4745.0
2014-03-26,4770.0
2014-03-27,4740.0
2014-03-28,4710.0
2014-03-31,4795.0
2014-04-01,4825.0
2014-04-02,4845.0
2014-04-03,4795.0
2014-04-04,4795.0
2014-04-07,4840.0
2014-04-08,4885.0
2014-04-09,4875.0
2014-04-10,4870.0
2014-04-11,4850.0
2014-04-14,4800.0
2014-04-15,4730.0
2014-04-16,4700.0
2014-04-17,4685.0
2014-04-18,4765.0
2014-04-21,4745.0
2014-04-22,4725.0
2014-04-23,4615.0
2014-04-24,4565.0
2014-04-25,4540.0
2014-04-28,4540.0
2014-04-29,4465.0
2014-04-30,4425.0
2014-05-02,4305.0
2014-05-07,4240.0
2014-05-08,4350.0
2014-05-09,4350.0
2014-05-12,4265.0
2014-05-13,4395.0
2014-05-14,4375.0
2014-05-15,4410.0
2014-05-16,4410.0
2014-05-19,4375.0
2014-05-20,4325.0
2014-05-21,4335.0
2014-05-22,4450.0
2014-05-23,4425.0
2014-05-26,4445.0
2014-05-27,4425.0
2014-05-28,4450.0
2014-05-29,4395.0
2014-05-30,4395.0
2014-06-02,4350.0
2014-06-03,4320.0
2014-06-05,4265.0
2014-06-09,4315.0
2014-06-10,4375.0
2014-06-11,4365.0
2014-06-12,4315.0
2014-06-13,4290.0
2014-06-16,4215.0
2014-06-17,4245.0
2014-06-18,4225.0
2014-06-19,4270.0
2014-06-20,4225.0
2014-06-23,4195.0
2014-06-24,4225.0
2014-06-25,4155.0
2014-06-26,4180.0
2014-06-27,4225.0
2014-06-30,4205.0
2014-07-01,4220.0
2014-07-02,4270.0
2014-07-03,4305.0
2014-07-04,4300.0
2014-07-07,4255.0
2014-07-08,4240.0
2014-07-09,4210.0
2014-07-10,4150.0
2014-07-11,4050.0
2014-07-14,4080.0
2014-07-15,4080.0
2014-07-16,4125.0
2014-07-17,4130.0
2014-07-18,4170.0
2014-07-21,4185.0
2014-07-22,4170.0
2014-07-23,4290.0
2014-07-24,4300.0
2014-07-25,4290.0
2014-07-28,4300.0
2014-07-29,4290.0
2014-07-30,4130.0
2014-07-31,4135.0
2014-08-01,4110.0
2014-08-04,4145.0
2014-08-05,4125.0
2014-08-06,4065.0
2014-08-07,4035.0
2014-08-08,4050.0
2014-08-11,4030.0
