Date,TIGER 200 철강소재
2014-01-13,8760.0
2014-01-14,8740.0
2014-01-15,8765.0
2014-01-16,8820.0
2014-01-17,8890.0
2014-01-20,8890.0
2014-01-21,8880.0
2014-01-22,8860.0
2014-01-23,8820.0
2014-01-24,8805.0
2014-01-27,8670.0
2014-01-28,8605.0
2014-01-29,8765.0
2014-02-03,8630.0
2014-02-04,8460.0
2014-02-05,8525.0
2014-02-06,8540.0
2014-02-07,8635.0
2014-02-10,8730.0
2014-02-11,8805.0
2014-02-12,8965.0
2014-02-13,8965.0
2014-02-14,8940.0
2014-02-17,9040.0
2014-02-18,9025.0
2014-02-19,9055.0
2014-02-20,8975.0
2014-02-21,9025.0
2014-02-24,8965.0
2014-02-25,8840.0
2014-02-26,8725.0
2014-02-27,8645.0
2014-02-28,8560.0
2014-03-03,8540.0
2014-03-04,8500.0
2014-03-05,8570.0
2014-03-06,8680.0
2014-03-07,8675.0
2014-03-10,8615.0
2014-03-11,8605.0
2014-03-12,8485.0
2014-03-13,8515.0
2014-03-14,8505.0
2014-03-17,8505.0
2014-03-18,8580.0
2014-03-19,8590.0
2014-03-20,8530.0
2014-03-21,8585.0
2014-03-24,8730.0
2014-03-25,8830.0
2014-03-26,8855.0
2014-03-27,8795.0
2014-03-28,8775.0
2014-03-31,8805.0
2014-04-01,8825.0
2014-04-02,8825.0
2014-04-03,8790.0
2014-04-04,8790.0
2014-04-07,8850.0
2014-04-08,8850.0
2014-04-09,9170.0
2014-04-10,9185.0
2014-04-11,9050.0
2014-04-14,9040.0
2014-04-15,9005.0
2014-04-16,8885.0
2014-04-17,8890.0
2014-04-18,8945.0
2014-04-21,8805.0
2014-04-22,8740.0
2014-04-23,8680.0
2014-04-24,8675.0
2014-04-25,8540.0
2014-04-28,8665.0
2014-04-29,8650.0
2014-04-30,8650.0
2014-05-02,8595.0
2014-05-07,8500.0
2014-05-08,8495.0
2014-05-09,8585.0
2014-05-12,8580.0
2014-05-13,8810.0
2014-05-14,8805.0
2014-05-15,8830.0
2014-05-16,8850.0
2014-05-19,8850.0
2014-05-20,8795.0
2014-05-21,8880.0
2014-05-22,8980.0
2014-05-23,8980.0
2014-05-26,8980.0
2014-05-27,8880.0
2014-05-28,8900.0
2014-05-29,8940.0
2014-05-30,8930.0
2014-06-02,8865.0
2014-06-03,8775.0
2014-06-05,8770.0
2014-06-09,8905.0
2014-06-10,8980.0
2014-06-11,9025.0
2014-06-12,9025.0
2014-06-13,8945.0
2014-06-16,9000.0
2014-06-17,9000.0
2014-06-18,8915.0
2014-06-19,9055.0
2014-06-20,9020.0
2014-06-23,9170.0
2014-06-24,9200.0
2014-06-25,9215.0
2014-06-26,9295.0
2014-06-27,9225.0
2014-06-30,9340.0
2014-07-01,9275.0
2014-07-02,9340.0
2014-07-03,9445.0
2014-07-04,9445.0
2014-07-07,9470.0
2014-07-08,9395.0
2014-07-09,9360.0
2014-07-10,9505.0
2014-07-11,9475.0
2014-07-14,9460.0
2014-07-15,9415.0
2014-07-16,9415.0
2014-07-17,9440.0
2014-07-18,9395.0
2014-07-21,9395.0
2014-07-22,9500.0
2014-07-23,9575.0
2014-07-24,9625.0
2014-07-25,9785.0
2014-07-28,9945.0
2014-07-29,9895.0
2014-07-30,9940.0
2014-07-31,9980.0
2014-08-01,9975.0
2014-08-04,9970.0
2014-08-05,9900.0
2014-08-06,10010.0
2014-08-07,10010.0
2014-08-08,9995.0
2014-08-11,10055.0
2014-08-12,10045.0
2014-08-13,10080.0
2014-08-14,10125.0
2014-08-18,10060.0
2014-08-19,10245.0
2014-08-20,10215.0
2014-08-21,10110.0
2014-08-22,10160.0
2014-08-25,10130.0
2014-08-26,10185.0
2014-08-27,10100.0
2014-08-28,10085.0
2014-08-29,10035.0
2014-09-01,10010.0
2014-09-02,9880.0
2014-09-03,9880.0
2014-09-04,9945.0
2014-09-05,10110.0
2014-09-11,9965.0
2014-09-12,10075.0
2014-09-15,10075.0
2014-09-16,10030.0
2014-09-17,10105.0
2014-09-18,10060.0
2014-09-19,10120.0
2014-09-22,9985.0
2014-09-23,9845.0
2014-09-24,9960.0
2014-09-25,9870.0
2014-09-26,9815.0
2014-09-29,9530.0
2014-09-30,9675.0
2014-10-01,9440.0
2014-10-02,9265.0
2014-10-06,9205.0
2014-10-07,9200.0
2014-10-08,9230.0
2014-10-10,9195.0
2014-10-13,9150.0
2014-10-14,9320.0
2014-10-15,9265.0
2014-10-16,9280.0
2014-10-17,9320.0
2014-10-20,9415.0
2014-10-21,9245.0
2014-10-22,9430.0
2014-10-23,9425.0
2014-10-24,9395.0
2014-10-27,9550.0
2014-10-28,9375.0
2014-10-29,9615.0
2014-10-30,9410.0
2014-10-31,9275.0
2014-11-03,9270.0
2014-11-04,9010.0
2014-11-05,9095.0
2014-11-06,9215.0
2014-11-07,9260.0
2014-11-10,9350.0
2014-11-11,9315.0
2014-11-12,9395.0
2014-11-13,9335.0
2014-11-14,9280.0
2014-11-17,9310.0
2014-11-18,9370.0
2014-11-19,9330.0
2014-11-20,9295.0
2014-11-21,9295.0
2014-11-24,9610.0
2014-11-25,9505.0
2014-11-26,9400.0
2014-11-27,9310.0
2014-11-28,9285.0
2014-12-01,9080.0
2014-12-02,9160.0
2014-12-03,9260.0
2014-12-04,9305.0
2014-12-05,9280.0
2014-12-08,9230.0
2014-12-09,9175.0
2014-12-10,9065.0
2014-12-11,9005.0
2014-12-12,9010.0
2014-12-15,9010.0
2014-12-16,8860.0
2014-12-17,8920.0
2014-12-18,8990.0
2014-12-19,8990.0
2014-12-22,9065.0
2014-12-23,9080.0
2014-12-24,9090.0
2014-12-26,9135.0
2014-12-29,9175.0
2014-12-30,9095.0
2015-01-02,9235.0
2015-01-05,9265.0
2015-01-06,9080.0
2015-01-07,9180.0
2015-01-08,9305.0
2015-01-09,9425.0
2015-01-12,9555.0
2015-01-13,9510.0
2015-01-14,9460.0
2015-01-15,9370.0
2015-01-16,9320.0
2015-01-19,9425.0
2015-01-20,9455.0
2015-01-21,9495.0
2015-01-22,9600.0
2015-01-23,9550.0
2015-01-26,9405.0
2015-01-27,9370.0
2015-01-28,9525.0
2015-01-29,9460.0
2015-01-30,9380.0
2015-02-02,9420.0
2015-02-03,9420.0
2015-02-04,9440.0
2015-02-05,9435.0
2015-02-06,9450.0
2015-02-09,9305.0
2015-02-10,9260.0
2015-02-11,9355.0
2015-02-12,9340.0
2015-02-13,9350.0
2015-02-16,9350.0
2015-02-17,9355.0
2015-02-23,9415.0
2015-02-24,9385.0
2015-02-25,9515.0
2015-02-26,9585.0
2015-02-27,9495.0
2015-03-02,9565.0
2015-03-03,9675.0
2015-03-04,9620.0
2015-03-05,9650.0
2015-03-06,9610.0
2015-03-09,9465.0
2015-03-10,9465.0
2015-03-11,9390.0
2015-03-12,9310.0
2015-03-13,9415.0
2015-03-16,9370.0
2015-03-17,9420.0
2015-03-18,9530.0
2015-03-19,9555.0
2015-03-20,9555.0
2015-03-23,9545.0
2015-03-24,9720.0
2015-03-25,9720.0
2015-03-26,9720.0
2015-03-27,9780.0
2015-03-30,9700.0
2015-03-31,9650.0
2015-04-01,9675.0
2015-04-02,9675.0
2015-04-03,9715.0
2015-04-06,9675.0
2015-04-07,9815.0
2015-04-08,10045.0
2015-04-09,10030.0
2015-04-10,10030.0
2015-04-13,10005.0
2015-04-14,10060.0
2015-04-15,9995.0
2015-04-16,10050.0
2015-04-17,10070.0
2015-04-20,10090.0
2015-04-21,10085.0
2015-04-22,9960.0
2015-04-23,10275.0
2015-04-24,10290.0
2015-04-27,10290.0
2015-04-28,10465.0
2015-04-29,10315.0
2015-04-30,10185.0
2015-05-04,10290.0
2015-05-06,10315.0
2015-05-07,10125.0
2015-05-08,10125.0
2015-05-11,10205.0
2015-05-12,10195.0
2015-05-13,10245.0
2015-05-14,10330.0
2015-05-15,10245.0
2015-05-18,10135.0
2015-05-19,10110.0
2015-05-20,10100.0
2015-05-21,10015.0
2015-05-22,10210.0
2015-05-26,10185.0
2015-05-27,9935.0
2015-05-28,9945.0
2015-05-29,10155.0
2015-06-01,9995.0
2015-06-02,9965.0
2015-06-03,9860.0
2015-06-04,9785.0
2015-06-05,9680.0
2015-06-08,9690.0
2015-06-09,9795.0
2015-06-10,9845.0
2015-06-11,9835.0
2015-06-12,9785.0
2015-06-15,9785.0
2015-06-16,9800.0
2015-06-17,9625.0
2015-06-18,9640.0
2015-06-19,9665.0
2015-06-22,9885.0
2015-06-23,9975.0
2015-06-24,9975.0
2015-06-25,9975.0
2015-06-26,9900.0
2015-06-29,9835.0
2015-06-30,9905.0
2015-07-01,9925.0
2015-07-02,10000.0
2015-07-03,9960.0
2015-07-06,9730.0
2015-07-07,9655.0
2015-07-08,9585.0
2015-07-09,9585.0
2015-07-10,9495.0
2015-07-13,9660.0
2015-07-14,9800.0
2015-07-15,9665.0
2015-07-16,9630.0
2015-07-17,9505.0
2015-07-20,9380.0
2015-07-21,9400.0
2015-07-22,9425.0
2015-07-23,9225.0
2015-07-24,9100.0
2015-07-27,9015.0
2015-07-28,8895.0
2015-07-29,8895.0
2015-07-30,9000.0
2015-07-31,9000.0
2015-08-03,8870.0
2015-08-04,8955.0
2015-08-05,9015.0
2015-08-06,8880.0
2015-08-07,8880.0
2015-08-10,8710.0
2015-08-11,8725.0
2015-08-12,8675.0
2015-08-13,8675.0
2015-08-17,8675.0
2015-08-18,8815.0
2015-08-19,8710.0
2015-08-20,8495.0
2015-08-21,8280.0
2015-08-24,8190.0
2015-08-25,8290.0
2015-08-26,8425.0
2015-08-27,8395.0
2015-08-28,8585.0
2015-08-31,8670.0
2015-09-01,8560.0
2015-09-02,8430.0
2015-09-03,8430.0
2015-09-04,8350.0
2015-09-07,8255.0
2015-09-08,8270.0
2015-09-09,8740.0
2015-09-10,8935.0
2015-09-11,8755.0
2015-09-14,8750.0
2015-09-15,8695.0
2015-09-16,8895.0
2015-09-17,8920.0
2015-09-18,8820.0
2015-09-21,8670.0
2015-09-22,8640.0
2015-09-23,8485.0
2015-09-24,8460.0
2015-09-25,8440.0
2015-09-30,8350.0
2015-10-01,8500.0
2015-10-02,8415.0
2015-10-05,8405.0
2015-10-06,8410.0
2015-10-07,8490.0
2015-10-08,8765.0
2015-10-12,9095.0
2015-10-13,8990.0
2015-10-14,8900.0
2015-10-15,8965.0
2015-10-16,8925.0
2015-10-19,8830.0
2015-10-20,8735.0
2015-10-21,8885.0
2015-10-22,8755.0
2015-10-23,8770.0
2015-10-26,8835.0
2015-10-27,8705.0
2015-10-28,8675.0
2015-10-29,8615.0
2015-10-30,8395.0
2015-11-02,8395.0
2015-11-03,8550.0
2015-11-04,8565.0
2015-11-05,8495.0
2015-11-06,8420.0
2015-11-09,8160.0
2015-11-10,8070.0
2015-11-11,7945.0
2015-11-12,7950.0
2015-11-13,7880.0
2015-11-16,7800.0
2015-11-17,7880.0
2015-11-18,7860.0
2015-11-19,7955.0
2015-11-20,7960.0
2015-11-23,7965.0
2015-11-24,7930.0
2015-11-25,7950.0
2015-11-26,8070.0
2015-11-27,8090.0
2015-11-30,8030.0
2015-12-01,8130.0
2015-12-02,8145.0
2015-12-03,8130.0
2015-12-04,8065.0
2015-12-07,8065.0
2015-12-08,7920.0
2015-12-09,7885.0
2015-12-10,7910.0
2015-12-11,7910.0
2015-12-14,7700.0
2015-12-15,7700.0
2015-12-16,7925.0
2015-12-17,7925.0
2015-12-18,7975.0
2015-12-21,8015.0
2015-12-22,8050.0
2015-12-23,8320.0
2015-12-24,8325.0
2015-12-28,8100.0
2015-12-29,8150.0
2015-12-30,8060.0
2016-01-04,7880.0
2016-01-05,7855.0
2016-01-06,7910.0
2016-01-07,7825.0
2016-01-08,7840.0
2016-01-11,7685.0
2016-01-12,7615.0
2016-01-13,7625.0
2016-01-14,7520.0
2016-01-15,7555.0
2016-01-18,7535.0
2016-01-19,7340.0
2016-01-20,7110.0
2016-01-21,7180.0
2016-01-22,7245.0
2016-01-25,7490.0
2016-01-26,7425.0
2016-01-27,7615.0
2016-01-28,7530.0
2016-01-29,7665.0
2016-02-01,7675.0
2016-02-02,7580.0
2016-02-03,7480.0
2016-02-04,7830.0
2016-02-05,7885.0
2016-02-11,7825.0
2016-02-12,7785.0
2016-02-15,8070.0
2016-02-16,8160.0
2016-02-17,8070.0
2016-02-18,8225.0
2016-02-19,8225.0
2016-02-22,8215.0
2016-02-23,8405.0
2016-02-24,8420.0
2016-02-25,8380.0
2016-02-26,8325.0
2016-02-29,8415.0
2016-03-02,8595.0
2016-03-03,8665.0
2016-03-04,8695.0
2016-03-07,8840.0
2016-03-08,8960.0
2016-03-09,8870.0
2016-03-10,8980.0
2016-03-11,8985.0
2016-03-14,8750.0
2016-03-15,8730.0
2016-03-16,8620.0
2016-03-17,8830.0
2016-03-18,9020.0
2016-03-21,8915.0
2016-03-22,8845.0
2016-03-23,8935.0
2016-03-24,8790.0
2016-03-25,8715.0
2016-03-28,8790.0
2016-03-29,8925.0
2016-03-30,9040.0
2016-03-31,9025.0
2016-04-01,8820.0
2016-04-04,8850.0
2016-04-05,8925.0
2016-04-06,9170.0
2016-04-07,9190.0
2016-04-08,9190.0
2016-04-11,9365.0
2016-04-12,9455.0
2016-04-14,9740.0
2016-04-15,9740.0
2016-04-18,9705.0
2016-04-19,9660.0
2016-04-20,9690.0
2016-04-21,9850.0
2016-04-22,9825.0
2016-04-25,9595.0
2016-04-26,9515.0
2016-04-27,9570.0
2016-04-28,9530.0
2016-04-29,9590.0
2016-05-02,9355.0
2016-05-03,9395.0
2016-05-04,9060.0
2016-05-09,8930.0
2016-05-10,8820.0
2016-05-11,8800.0
2016-05-12,8850.0
2016-05-13,8645.0
2016-05-16,8700.0
2016-05-17,8690.0
2016-05-18,8600.0
2016-05-19,8640.0
2016-05-20,8510.0
2016-05-23,8560.0
2016-05-24,8435.0
2016-05-25,8515.0
2016-05-26,8435.0
2016-05-27,8545.0
2016-05-30,8410.0
2016-05-31,8440.0
2016-06-01,8430.0
2016-06-02,8390.0
2016-06-03,8310.0
2016-06-07,8690.0
2016-06-08,8770.0
2016-06-09,8850.0
2016-06-10,8710.0
2016-06-13,8570.0
2016-06-14,8410.0
2016-06-15,8405.0
2016-06-16,8310.0
2016-06-17,8260.0
2016-06-20,8455.0
2016-06-21,8410.0
2016-06-22,8425.0
2016-06-23,8370.0
2016-06-24,8060.0
2016-06-27,8095.0
2016-06-28,8180.0
2016-06-29,8355.0
2016-06-30,8340.0
2016-07-01,8395.0
2016-07-04,8560.0
2016-07-05,8570.0
2016-07-06,8390.0
2016-07-07,8490.0
2016-07-08,8375.0
2016-07-11,8635.0
2016-07-12,8720.0
2016-07-13,9165.0
2016-07-14,9185.0
2016-07-15,9150.0
2016-07-18,9250.0
2016-07-19,9015.0
2016-07-20,8900.0
2016-07-21,8935.0
2016-07-22,8945.0
2016-07-25,8870.0
2016-07-26,8975.0
2016-07-27,9065.0
2016-07-28,9015.0
2016-07-29,8935.0
2016-08-01,9105.0
2016-08-02,9070.0
2016-08-03,8910.0
2016-08-04,8905.0
2016-08-05,8945.0
2016-08-08,8745.0
2016-08-09,8745.0
2016-08-10,8905.0
2016-08-11,8860.0
2016-08-12,8955.0
2016-08-16,8945.0
2016-08-17,8935.0
2016-08-18,8905.0
2016-08-19,8850.0
2016-08-22,8810.0
2016-08-23,8790.0
2016-08-24,8955.0
2016-08-25,8875.0
2016-08-26,8830.0
2016-08-29,8790.0
2016-08-30,8890.0
2016-08-31,8885.0
2016-09-01,8820.0
2016-09-02,8800.0
2016-09-05,9085.0
2016-09-06,9110.0
2016-09-07,9270.0
2016-09-08,9045.0
2016-09-09,8950.0
2016-09-12,8870.0
2016-09-13,8750.0
2016-09-19,8635.0
2016-09-20,8520.0
2016-09-21,8635.0
2016-09-22,8645.0
2016-09-23,8745.0
2016-09-26,8640.0
2016-09-27,8845.0
2016-09-28,8825.0
2016-09-29,8865.0
2016-09-30,8775.0
2016-10-04,8800.0
2016-10-05,8665.0
2016-10-06,8685.0
2016-10-07,8545.0
2016-10-10,8665.0
2016-10-11,8780.0
2016-10-12,8835.0
2016-10-13,8625.0
2016-10-14,8635.0
2016-10-17,8635.0
2016-10-18,8825.0
2016-10-19,8850.0
2016-10-20,8850.0
2016-10-21,8875.0
2016-10-24,8950.0
2016-10-25,8930.0
2016-10-26,8790.0
2016-10-27,8820.0
2016-10-28,8680.0
2016-10-31,8630.0
2016-11-01,8685.0
2016-11-02,8600.0
2016-11-03,8715.0
2016-11-04,8715.0
2016-11-07,8885.0
2016-11-08,8885.0
2016-11-09,8685.0
2016-11-10,8990.0
2016-11-11,9245.0
2016-11-14,9300.0
2016-11-15,9385.0
2016-11-16,9415.0
2016-11-17,9320.0
2016-11-18,9210.0
2016-11-21,9220.0
2016-11-22,9435.0
2016-11-23,9565.0
2016-11-24,9505.0
2016-11-25,9440.0
2016-11-28,9370.0
2016-11-29,9360.0
2016-11-30,9210.0
2016-12-01,9290.0
2016-12-02,9295.0
2016-12-05,9440.0
2016-12-06,9845.0
2016-12-07,9830.0
2016-12-08,10220.0
2016-12-09,10075.0
2016-12-12,10130.0
2016-12-13,10000.0
2016-12-14,9920.0
2016-12-15,9900.0
2016-12-16,9810.0
2016-12-19,9765.0
2016-12-20,9845.0
2016-12-21,9980.0
2016-12-22,9940.0
2016-12-23,9940.0
2016-12-26,9725.0
2016-12-27,9770.0
2016-12-28,9865.0
2016-12-29,9830.0
2017-01-02,9970.0
2017-01-03,9935.0
2017-01-04,9965.0
2017-01-05,9855.0
2017-01-06,9940.0
2017-01-09,9785.0
2017-01-10,9785.0
2017-01-11,10430.0
2017-01-12,10500.0
2017-01-13,10490.0
2017-01-16,10520.0
2017-01-17,10450.0
2017-01-18,10435.0
2017-01-19,10645.0
2017-01-20,10475.0
2017-01-23,10470.0
2017-01-24,10490.0
2017-01-25,10310.0
2017-01-26,10395.0
2017-01-31,10280.0
2017-02-01,10525.0
2017-02-02,10340.0
2017-02-03,10210.0
2017-02-06,10135.0
2017-02-07,10000.0
2017-02-08,9965.0
2017-02-09,10020.0
2017-02-10,10110.0
2017-02-13,10215.0
2017-02-14,10365.0
2017-02-15,10405.0
2017-02-16,10320.0
2017-02-17,10325.0
2017-02-20,10295.0
2017-02-21,10455.0
2017-02-22,10440.0
2017-02-23,10360.0
2017-02-24,10120.0
2017-02-27,10180.0
2017-02-28,10250.0
2017-03-02,10370.0
2017-03-03,10170.0
2017-03-06,10175.0
2017-03-07,10150.0
2017-03-08,10295.0
2017-03-09,10140.0
2017-03-10,10110.0
2017-03-13,9990.0
2017-03-14,9940.0
2017-03-15,9935.0
2017-03-16,10255.0
2017-03-17,10280.0
2017-03-20,10315.0
2017-03-21,10250.0
2017-03-22,9930.0
2017-03-23,10090.0
2017-03-24,9925.0
2017-03-27,9820.0
2017-03-28,9905.0
2017-03-29,9980.0
2017-03-30,10005.0
2017-03-31,10135.0
2017-04-03,9880.0
2017-04-04,9780.0
2017-04-05,9860.0
2017-04-06,9865.0
2017-04-07,9840.0
2017-04-10,9775.0
2017-04-11,9735.0
2017-04-12,9800.0
2017-04-13,9605.0
2017-04-14,9585.0
2017-04-17,9585.0
2017-04-18,9585.0
2017-04-19,9430.0
2017-04-20,9490.0
2017-04-21,9560.0
2017-04-24,9645.0
2017-04-25,9680.0
2017-04-26,9685.0
2017-04-27,9450.0
2017-04-28,9495.0
2017-05-02,9595.0
2017-05-04,9495.0
2017-05-08,9525.0
2017-05-10,9585.0
2017-05-11,9695.0
2017-05-12,9640.0
2017-05-15,9605.0
2017-05-16,9610.0
2017-05-17,9475.0
2017-05-18,9535.0
2017-05-19,9560.0
2017-05-22,9940.0
2017-05-23,9910.0
2017-05-24,9945.0
2017-05-25,10070.0
2017-05-26,10050.0
2017-05-29,10030.0
2017-05-30,10035.0
2017-05-31,10060.0
2017-06-01,9940.0
2017-06-02,9930.0
2017-06-05,9905.0
2017-06-07,9915.0
2017-06-08,9935.0
2017-06-09,10005.0
2017-06-12,10040.0
2017-06-13,10095.0
2017-06-14,10075.0
2017-06-15,9920.0
2017-06-16,9915.0
2017-06-19,9810.0
2017-06-20,9810.0
2017-06-21,9745.0
2017-06-22,9790.0
2017-06-23,9860.0
2017-06-26,9955.0
2017-06-27,9990.0
2017-06-28,10315.0
2017-06-29,10425.0
2017-06-30,10575.0
2017-07-03,10900.0
2017-07-04,10625.0
2017-07-05,10675.0
2017-07-06,10635.0
2017-07-07,10720.0
2017-07-10,10685.0
2017-07-11,10835.0
2017-07-12,10760.0
2017-07-13,10910.0
2017-07-14,10885.0
2017-07-17,11050.0
2017-07-18,10990.0
2017-07-19,11025.0
2017-07-20,11105.0
2017-07-21,10920.0
2017-07-24,10750.0
2017-07-25,10915.0
2017-07-26,11140.0
2017-07-27,11335.0
2017-07-28,11225.0
2017-07-31,11315.0
2017-08-01,11490.0
