Date,TIGER 200
2014-01-13,25680.0
2014-01-14,25650.0
2014-01-15,25700.0
2014-01-16,25820.0
2014-01-17,25600.0
2014-01-20,25755.0
2014-01-21,25945.0
2014-01-22,25905.0
2014-01-23,25615.0
2014-01-24,25555.0
2014-01-27,25260.0
2014-01-28,25300.0
2014-01-29,25610.0
2014-02-03,25275.0
2014-02-04,24815.0
2014-02-05,24925.0
2014-02-06,25110.0
2014-02-07,25300.0
2014-02-10,25290.0
2014-02-11,25430.0
2014-02-12,25485.0
2014-02-13,25270.0
2014-02-14,25600.0
2014-02-17,25630.0
2014-02-18,25650.0
2014-02-19,25500.0
2014-02-20,25380.0
2014-02-21,25750.0
2014-02-24,25645.0
2014-02-25,25865.0
2014-02-26,25995.0
2014-02-27,26010.0
2014-02-28,26010.0
2014-03-03,25840.0
2014-03-04,25775.0
2014-03-05,26010.0
2014-03-06,26020.0
2014-03-07,25970.0
2014-03-10,25655.0
2014-03-11,25740.0
2014-03-12,25375.0
2014-03-13,25455.0
2014-03-14,25175.0
2014-03-17,25280.0
2014-03-18,25430.0
2014-03-19,25445.0
2014-03-20,25150.0
2014-03-21,25335.0
2014-03-24,25475.0
2014-03-25,25425.0
2014-03-26,25800.0
2014-03-27,25920.0
2014-03-28,25930.0
2014-03-31,26005.0
2014-04-01,26100.0
2014-04-02,26165.0
2014-04-03,26145.0
2014-04-04,26220.0
2014-04-07,26205.0
2014-04-08,26325.0
2014-04-09,26345.0
2014-04-10,26420.0
2014-04-11,26220.0
2014-04-14,26290.0
2014-04-15,26150.0
2014-04-16,26255.0
2014-04-17,26215.0
2014-04-18,26430.0
2014-04-21,26365.0
2014-04-22,26360.0
2014-04-23,26335.0
2014-04-24,26330.0
2014-04-25,25945.0
2014-04-28,25955.0
2014-04-29,25540.0
2014-04-30,25470.0
2014-05-02,25465.0
2014-05-07,25215.0
2014-05-08,25325.0
2014-05-09,25335.0
2014-05-12,25485.0
2014-05-13,25835.0
2014-05-14,26175.0
2014-05-15,26180.0
2014-05-16,26170.0
2014-05-19,26240.0
2014-05-20,26195.0
2014-05-21,26225.0
2014-05-22,26350.0
2014-05-23,26285.0
2014-05-26,26235.0
2014-05-27,25970.0
2014-05-28,26280.0
2014-05-29,26220.0
2014-05-30,26045.0
2014-06-02,26090.0
2014-06-03,26135.0
2014-06-05,25965.0
2014-06-09,25945.0
2014-06-10,26210.0
2014-06-11,26210.0
2014-06-12,26095.0
2014-06-13,25780.0
2014-06-16,25920.0
2014-06-17,25975.0
2014-06-18,25820.0
2014-06-19,25885.0
2014-06-20,25530.0
2014-06-23,25660.0
2014-06-24,25925.0
2014-06-25,25775.0
2014-06-26,25950.0
2014-06-27,25895.0
2014-06-30,25935.0
2014-07-01,25965.0
2014-07-02,26155.0
2014-07-03,26095.0
2014-07-04,26070.0
2014-07-07,25915.0
2014-07-08,25930.0
2014-07-09,25790.0
2014-07-10,25845.0
2014-07-11,25670.0
2014-07-14,25730.0
2014-07-15,26000.0
2014-07-16,26030.0
2014-07-17,26120.0
2014-07-18,26080.0
2014-07-21,26095.0
2014-07-22,26250.0
2014-07-23,26240.0
2014-07-24,26275.0
2014-07-25,26340.0
2014-07-28,26560.0
2014-07-29,26800.0
2014-07-30,27110.0
2014-07-31,26970.0
2014-08-01,26855.0
2014-08-04,26860.0
2014-08-05,26695.0
2014-08-06,26610.0
2014-08-07,26500.0
2014-08-08,26195.0
2014-08-11,26335.0
2014-08-12,26345.0
2014-08-13,26460.0
2014-08-14,26580.0
2014-08-18,26395.0
2014-08-19,26610.0
2014-08-20,26580.0
2014-08-21,26185.0
2014-08-22,26345.0
2014-08-25,26420.0
2014-08-26,26505.0
2014-08-27,26550.0
2014-08-28,26550.0
2014-08-29,26465.0
2014-09-01,26445.0
2014-09-02,26205.0
2014-09-03,26145.0
2014-09-04,26230.0
2014-09-05,26155.0
2014-09-11,26040.0
2014-09-12,26115.0
2014-09-15,25995.0
2014-09-16,26100.0
2014-09-17,26320.0
2014-09-18,26195.0
2014-09-19,26250.0
2014-09-22,25980.0
2014-09-23,25875.0
2014-09-24,25865.0
2014-09-25,25860.0
2014-09-26,25770.0
2014-09-29,25720.0
2014-09-30,25695.0
2014-10-01,25290.0
2014-10-02,24960.0
2014-10-06,24910.0
2014-10-07,24970.0
2014-10-08,24885.0
2014-10-10,24500.0
2014-10-13,24420.0
2014-10-14,24445.0
2014-10-15,24370.0
2014-10-16,24290.0
2014-10-17,24005.0
2014-10-20,24285.0
2014-10-21,24170.0
2014-10-22,24325.0
2014-10-23,24350.0
2014-10-24,24255.0
2014-10-27,24385.0
2014-10-28,24355.0
2014-10-29,24815.0
2014-10-30,24780.0
2014-10-31,24990.0
2014-11-03,24855.0
2014-11-04,24640.0
2014-11-05,24565.0
2014-11-06,24710.0
2014-11-07,24755.0
2014-11-10,24975.0
2014-11-11,24965.0
2014-11-12,25050.0
2014-11-13,25005.0
2014-11-14,24790.0
2014-11-17,24850.0
2014-11-18,25030.0
2014-11-19,25005.0
2014-11-20,24925.0
2014-11-21,24995.0
2014-11-24,25240.0
2014-11-25,25195.0
2014-11-26,25185.0
2014-11-27,25325.0
2014-11-28,25320.0
2014-12-01,25105.0
2014-12-02,25065.0
2014-12-03,25140.0
2014-12-04,25400.0
2014-12-05,25410.0
2014-12-08,25375.0
2014-12-09,25300.0
2014-12-10,24935.0
2014-12-11,24625.0
2014-12-12,24670.0
2014-12-15,24660.0
2014-12-16,24470.0
2014-12-17,24425.0
2014-12-18,24380.0
2014-12-19,24795.0
2014-12-22,24975.0
2014-12-23,24955.0
2014-12-24,25000.0
2014-12-26,25015.0
2014-12-29,24970.0
2014-12-30,24635.0
2015-01-02,24755.0
2015-01-05,24710.0
2015-01-06,24255.0
2015-01-07,24325.0
2015-01-08,24635.0
2015-01-09,24920.0
2015-01-12,24835.0
2015-01-13,24945.0
2015-01-14,24870.0
2015-01-15,24920.0
2015-01-16,24560.0
2015-01-19,24820.0
2015-01-20,25025.0
2015-01-21,25115.0
2015-01-22,25155.0
2015-01-23,25320.0
2015-01-26,25320.0
2015-01-27,25480.0
2015-01-28,25510.0
2015-01-29,25385.0
2015-01-30,25370.0
2015-02-02,25305.0
2015-02-03,25290.0
2015-02-04,25450.0
2015-02-05,25240.0
2015-02-06,25265.0
2015-02-09,25245.0
2015-02-10,25105.0
2015-02-11,25140.0
2015-02-12,25045.0
2015-02-13,25245.0
2015-02-16,25280.0
2015-02-17,25325.0
2015-02-23,25430.0
2015-02-24,25440.0
2015-02-25,25545.0
2015-02-26,25520.0
2015-02-27,25430.0
2015-03-02,25605.0
2015-03-03,25690.0
2015-03-04,25700.0
2015-03-05,25690.0
2015-03-06,25835.0
2015-03-09,25575.0
2015-03-10,25480.0
2015-03-11,25495.0
2015-03-12,25440.0
2015-03-13,25515.0
2015-03-16,25535.0
2015-03-17,26105.0
2015-03-18,26140.0
2015-03-19,26210.0
2015-03-20,26140.0
2015-03-23,26155.0
2015-03-24,26180.0
2015-03-25,26185.0
2015-03-26,25960.0
2015-03-27,25875.0
2015-03-30,25955.0
2015-03-31,25980.0
2015-04-01,25765.0
2015-04-02,25785.0
2015-04-03,25990.0
2015-04-06,25990.0
2015-04-07,25935.0
2015-04-08,26120.0
2015-04-09,26085.0
2015-04-10,26440.0
2015-04-13,26600.0
2015-04-14,26745.0
2015-04-15,26840.0
2015-04-16,27060.0
2015-04-17,27085.0
2015-04-20,27050.0
2015-04-21,27050.0
2015-04-22,27155.0
2015-04-23,27520.0
2015-04-24,27370.0
2015-04-27,27270.0
2015-04-28,27175.0
2015-04-29,26790.0
2015-04-30,26635.0
2015-05-04,26725.0
2015-05-06,26315.0
2015-05-07,26185.0
2015-05-08,26075.0
2015-05-11,26130.0
2015-05-12,26090.0
2015-05-13,26255.0
2015-05-14,26295.0
2015-05-15,26040.0
2015-05-18,26105.0
2015-05-19,26200.0
2015-05-20,26455.0
2015-05-21,26175.0
2015-05-22,26525.0
2015-05-26,26470.0
2015-05-27,25945.0
2015-05-28,25925.0
2015-05-29,26020.0
2015-06-01,25825.0
2015-06-02,25590.0
2015-06-03,25375.0
2015-06-04,25460.0
