Date,TIGER 200커버드콜5%OTM
2014-01-13,10325.0
2014-01-14,10345.0
2014-01-15,10350.0
2014-01-16,10395.0
2014-01-17,10360.0
2014-01-20,10360.0
2014-01-21,10440.0
2014-01-22,10440.0
2014-01-23,10325.0
2014-01-24,10295.0
2014-01-27,10175.0
2014-01-28,10185.0
2014-01-29,10325.0
2014-02-03,10170.0
2014-02-04,10020.0
2014-02-05,10025.0
2014-02-06,10100.0
2014-02-07,10175.0
2014-02-10,10190.0
2014-02-11,10230.0
2014-02-12,10215.0
2014-02-13,10215.0
2014-02-14,10290.0
2014-02-17,10305.0
2014-02-18,10315.0
2014-02-19,10290.0
2014-02-20,10240.0
2014-02-21,10345.0
2014-02-24,10325.0
2014-02-25,10400.0
2014-02-26,10445.0
2014-02-27,10450.0
2014-02-28,10485.0
2014-03-03,10465.0
2014-03-04,10385.0
2014-03-05,10465.0
2014-03-06,10470.0
2014-03-07,10470.0
2014-03-10,10340.0
2014-03-11,10370.0
2014-03-12,10220.0
2014-03-13,10260.0
2014-03-14,10155.0
2014-03-17,10155.0
2014-03-18,10235.0
2014-03-19,10235.0
2014-03-20,10110.0
2014-03-21,10195.0
2014-03-24,10250.0
2014-03-25,10250.0
2014-03-26,10380.0
2014-03-27,10425.0
2014-03-28,10460.0
2014-03-31,10460.0
2014-04-01,10490.0
2014-04-02,10525.0
2014-04-03,10525.0
2014-04-04,10550.0
2014-04-07,10545.0
2014-04-08,10600.0
2014-04-09,10615.0
2014-04-10,10640.0
2014-04-11,10595.0
2014-04-14,10595.0
2014-04-15,10575.0
2014-04-16,10585.0
2014-04-17,10585.0
2014-04-18,10675.0
2014-04-21,10625.0
2014-04-22,10675.0
2014-04-23,10650.0
2014-04-24,10625.0
2014-04-25,10550.0
2014-04-28,10485.0
2014-04-29,10480.0
2014-04-30,10390.0
2014-05-02,10390.0
2014-05-07,10285.0
2014-05-08,10280.0
2014-05-09,10340.0
2014-05-12,10390.0
2014-05-13,10515.0
2014-05-14,10610.0
2014-05-15,10630.0
2014-05-16,10630.0
2014-05-19,10635.0
2014-05-20,10635.0
2014-05-21,10635.0
2014-05-22,10680.0
2014-05-23,10680.0
2014-05-26,10675.0
2014-05-27,10600.0
2014-05-28,10675.0
2014-05-29,10675.0
2014-05-30,10695.0
2014-06-02,10640.0
2014-06-03,10645.0
2014-06-05,10605.0
2014-06-09,10700.0
2014-06-10,10690.0
2014-06-11,10690.0
2014-06-12,10670.0
2014-06-13,10535.0
2014-06-16,10540.0
2014-06-17,10590.0
2014-06-18,10555.0
2014-06-19,10555.0
2014-06-20,10425.0
2014-06-23,10460.0
2014-06-24,10575.0
2014-06-25,10550.0
2014-06-26,10605.0
2014-06-27,10565.0
2014-06-30,10580.0
2014-07-01,10580.0
2014-07-02,10635.0
2014-07-03,10640.0
2014-07-04,10635.0
2014-07-07,10560.0
2014-07-08,10560.0
2014-07-09,10500.0
2014-07-10,10585.0
2014-07-11,10450.0
2014-07-14,10485.0
2014-07-15,10595.0
2014-07-16,10615.0
2014-07-17,10650.0
2014-07-18,10610.0
2014-07-21,10665.0
2014-07-22,10700.0
2014-07-23,10700.0
2014-07-24,10700.0
2014-07-25,10725.0
2014-07-28,10805.0
2014-07-29,10850.0
2014-07-30,10935.0
2014-07-31,10935.0
2014-08-01,10910.0
2014-08-04,10910.0
2014-08-05,10860.0
2014-08-06,10855.0
2014-08-07,10835.0
2014-08-08,10700.0
2014-08-11,10750.0
2014-08-12,10750.0
2014-08-13,10775.0
2014-08-14,10840.0
2014-08-18,10785.0
2014-08-19,10865.0
2014-08-20,10865.0
2014-08-21,10700.0
2014-08-22,10760.0
2014-08-25,10785.0
2014-08-26,10825.0
2014-08-27,10840.0
2014-08-28,10855.0
2014-08-29,10820.0
2014-09-01,10815.0
2014-09-02,10715.0
2014-09-03,10690.0
2014-09-04,10725.0
2014-09-05,10655.0
2014-09-11,10650.0
2014-09-12,10655.0
2014-09-15,10640.0
2014-09-16,10650.0
2014-09-17,10745.0
2014-09-18,10700.0
2014-09-19,10715.0
2014-09-22,10615.0
2014-09-23,10485.0
2014-09-24,10555.0
2014-09-25,10555.0
2014-09-26,10540.0
2014-09-29,10525.0
2014-09-30,10465.0
2014-10-01,10340.0
2014-10-02,10175.0
2014-10-06,10175.0
2014-10-07,10180.0
2014-10-08,10165.0
2014-10-10,10025.0
2014-10-13,9995.0
2014-10-14,10120.0
2014-10-15,9985.0
2014-10-16,9935.0
2014-10-17,9865.0
2014-10-20,9950.0
2014-10-21,9885.0
2014-10-22,9935.0
2014-10-23,9950.0
2014-10-24,9935.0
2014-10-27,9955.0
2014-10-28,9955.0
2014-10-29,10140.0
2014-10-30,10140.0
2014-10-31,10200.0
2014-11-03,10170.0
2014-11-04,10090.0
2014-11-05,10070.0
2014-11-06,10110.0
2014-11-07,10100.0
2014-11-10,10220.0
2014-11-11,10220.0
2014-11-12,10260.0
2014-11-13,10235.0
2014-11-14,10145.0
2014-11-17,10170.0
2014-11-18,10250.0
2014-11-19,10245.0
2014-11-20,10205.0
2014-11-21,10225.0
2014-11-24,10345.0
2014-11-25,10325.0
2014-11-26,10315.0
2014-11-27,10385.0
2014-11-28,10375.0
2014-12-01,10285.0
2014-12-02,10285.0
2014-12-03,10295.0
2014-12-04,10395.0
2014-12-05,10400.0
2014-12-08,10390.0
2014-12-09,10360.0
2014-12-10,10215.0
2014-12-11,10080.0
2014-12-12,10080.0
2014-12-15,10085.0
2014-12-16,10030.0
2014-12-17,9995.0
2014-12-18,9985.0
2014-12-19,10125.0
2014-12-22,10200.0
2014-12-23,10200.0
2014-12-24,10215.0
2014-12-26,10230.0
2014-12-29,10220.0
2014-12-30,10120.0
2015-01-02,10130.0
2015-01-05,10130.0
2015-01-06,9945.0
2015-01-07,9945.0
