Date,TIGER KRX100
2014-01-13,42415.0
2014-01-14,42445.0
2014-01-15,42480.0
2014-01-16,42705.0
2014-01-17,42380.0
2014-01-20,42530.0
2014-01-21,42675.0
2014-01-22,42850.0
2014-01-23,42430.0
2014-01-24,42155.0
2014-01-27,41500.0
2014-01-28,41800.0
2014-01-29,42295.0
2014-02-03,41760.0
2014-02-04,41025.0
2014-02-05,41275.0
2014-02-06,41650.0
2014-02-07,41830.0
2014-02-10,41785.0
2014-02-11,41950.0
2014-02-12,41990.0
2014-02-13,41785.0
2014-02-14,42080.0
2014-02-17,42300.0
2014-02-18,42280.0
2014-02-19,42155.0
2014-02-20,41790.0
2014-02-21,42400.0
2014-02-24,42115.0
2014-02-25,42560.0
2014-02-26,42695.0
2014-02-27,42755.0
2014-02-28,42900.0
2014-03-03,42690.0
2014-03-04,42430.0
2014-03-05,42890.0
2014-03-06,42725.0
2014-03-07,42760.0
2014-03-10,42405.0
2014-03-11,42370.0
2014-03-12,41745.0
2014-03-13,41800.0
2014-03-14,41285.0
2014-03-17,41595.0
2014-03-18,41970.0
2014-03-19,41860.0
2014-03-20,41385.0
2014-03-21,41655.0
2014-03-24,41980.0
2014-03-25,41900.0
2014-03-26,42445.0
2014-03-27,42745.0
2014-03-28,42590.0
2014-03-31,42760.0
2014-04-01,42945.0
2014-04-02,42980.0
2014-04-03,42905.0
2014-04-04,42910.0
2014-04-07,42815.0
2014-04-08,43130.0
2014-04-09,43195.0
2014-04-10,43365.0
2014-04-11,43140.0
2014-04-14,43175.0
2014-04-15,43080.0
2014-04-16,43085.0
2014-04-17,43050.0
2014-04-18,43370.0
2014-04-21,43245.0
2014-04-22,43325.0
2014-04-23,43255.0
2014-04-24,43185.0
2014-04-25,42575.0
2014-04-28,42555.0
2014-04-29,41895.0
2014-04-30,41885.0
2014-05-02,41830.0
2014-05-07,41345.0
2014-05-08,41600.0
2014-05-09,41600.0
2014-05-12,41835.0
2014-05-13,42215.0
2014-05-14,42880.0
2014-05-15,42870.0
2014-05-16,42920.0
2014-05-19,43075.0
2014-05-20,42735.0
2014-05-21,42855.0
2014-05-22,43110.0
2014-05-23,43080.0
2014-05-26,42875.0
2014-05-27,42570.0
2014-05-28,42875.0
2014-05-29,42795.0
2014-05-30,42400.0
2014-06-02,42620.0
2014-06-03,42640.0
2014-06-05,42640.0
2014-06-09,42505.0
2014-06-10,42965.0
2014-06-11,42895.0
2014-06-12,42895.0
2014-06-13,42445.0
2014-06-16,42615.0
2014-06-17,42745.0
2014-06-18,42455.0
2014-06-19,42620.0
2014-06-20,41990.0
2014-06-23,42090.0
2014-06-24,42695.0
2014-06-25,42465.0
2014-06-26,42640.0
2014-06-27,42595.0
2014-06-30,42875.0
2014-07-01,42575.0
2014-07-02,42980.0
2014-07-03,42880.0
2014-07-04,42820.0
2014-07-07,42780.0
2014-07-08,42730.0
2014-07-09,42470.0
2014-07-10,42550.0
2014-07-11,42125.0
2014-07-14,42265.0
2014-07-15,42630.0
2014-07-16,42795.0
2014-07-17,42885.0
2014-07-18,42710.0
2014-07-21,42805.0
2014-07-22,42960.0
2014-07-23,42875.0
2014-07-24,42775.0
2014-07-25,43125.0
2014-07-28,43650.0
2014-07-29,43955.0
2014-07-30,44580.0
2014-07-31,44340.0
2014-08-01,44225.0
2014-08-04,44225.0
2014-08-05,43960.0
2014-08-06,43920.0
2014-08-07,43765.0
2014-08-08,43270.0
2014-08-11,43575.0
2014-08-12,43440.0
