Date,TIGER LG그룹+펀더멘털
2014-01-13,6110.0
2014-01-14,6085.0
2014-01-15,6165.0
2014-01-16,6180.0
2014-01-17,6200.0
2014-01-20,6135.0
2014-01-21,6265.0
2014-01-22,6240.0
2014-01-23,6235.0
2014-01-24,6125.0
2014-01-27,6025.0
2014-01-28,5890.0
2014-01-29,5975.0
2014-02-03,5850.0
2014-02-04,5795.0
2014-02-05,5780.0
2014-02-06,5805.0
2014-02-07,5705.0
2014-02-10,5755.0
2014-02-11,5755.0
2014-02-12,5780.0
2014-02-13,5765.0
2014-02-14,5795.0
2014-02-17,5845.0
2014-02-18,5785.0
2014-02-19,5805.0
2014-02-20,5800.0
2014-02-21,5845.0
2014-02-24,5810.0
2014-02-25,5880.0
2014-02-26,5860.0
2014-02-27,5795.0
2014-02-28,5805.0
2014-03-03,5745.0
2014-03-04,5725.0
2014-03-05,5775.0
2014-03-06,5795.0
2014-03-07,5785.0
2014-03-10,5690.0
2014-03-11,5685.0
2014-03-12,5595.0
2014-03-13,5650.0
2014-03-14,5655.0
2014-03-17,5765.0
2014-03-18,5820.0
2014-03-19,5825.0
2014-03-20,5805.0
2014-03-21,5800.0
2014-03-24,5835.0
2014-03-25,5920.0
2014-03-26,5955.0
2014-03-27,5920.0
2014-03-28,5920.0
2014-03-31,5950.0
2014-04-01,6000.0
2014-04-02,6045.0
2014-04-03,6055.0
2014-04-04,6120.0
2014-04-07,6165.0
2014-04-08,6180.0
2014-04-09,6150.0
2014-04-10,6190.0
2014-04-11,6190.0
2014-04-14,6225.0
2014-04-15,6185.0
2014-04-16,6235.0
2014-04-17,6315.0
2014-04-18,6305.0
2014-04-21,6295.0
2014-04-22,6325.0
2014-04-23,6350.0
2014-04-24,6260.0
2014-04-25,6175.0
2014-04-28,6200.0
2014-04-29,6150.0
2014-04-30,6105.0
2014-05-02,6180.0
2014-05-07,6065.0
2014-05-08,6020.0
2014-05-09,6025.0
2014-05-12,5995.0
2014-05-13,6045.0
2014-05-14,6090.0
2014-05-15,6130.0
2014-05-16,6080.0
2014-05-19,6085.0
2014-05-20,6110.0
2014-05-21,6135.0
2014-05-22,6210.0
2014-05-23,6160.0
2014-05-26,6170.0
2014-05-27,6190.0
2014-05-28,6205.0
2014-05-29,6170.0
2014-05-30,6070.0
2014-06-02,6110.0
2014-06-03,6110.0
2014-06-05,6060.0
2014-06-09,6125.0
2014-06-10,6300.0
2014-06-11,6315.0
2014-06-12,6320.0
2014-06-13,6325.0
2014-06-16,6355.0
2014-06-17,6420.0
2014-06-18,6380.0
2014-06-19,6430.0
2014-06-20,6315.0
2014-06-23,6330.0
2014-06-24,6430.0
2014-06-25,6440.0
2014-06-26,6455.0
2014-06-27,6460.0
2014-06-30,6510.0
2014-07-01,6515.0
2014-07-02,6580.0
