Date,TIGER 경기방어
2014-01-13,10260.0
2014-01-14,10190.0
2014-01-15,10230.0
2014-01-16,10340.0
2014-01-17,10250.0
2014-01-20,10140.0
2014-01-21,10140.0
2014-01-22,10150.0
2014-01-23,10105.0
2014-01-24,9965.0
2014-01-27,9860.0
2014-01-28,9965.0
2014-01-29,10155.0
2014-02-03,10100.0
2014-02-04,9980.0
2014-02-05,9900.0
2014-02-06,9960.0
2014-02-07,10070.0
2014-02-10,10135.0
2014-02-11,10060.0
2014-02-12,10140.0
2014-02-13,10100.0
2014-02-14,10115.0
2014-02-17,10060.0
2014-02-18,10070.0
2014-02-19,10060.0
2014-02-20,10065.0
2014-02-21,10115.0
2014-02-24,10005.0
2014-02-25,10130.0
2014-02-26,10165.0
2014-02-27,10260.0
2014-02-28,10275.0
2014-03-03,10220.0
2014-03-04,10185.0
2014-03-05,10150.0
2014-03-06,10235.0
2014-03-07,10235.0
2014-03-10,10175.0
2014-03-11,10260.0
2014-03-12,10140.0
2014-03-13,10265.0
2014-03-14,10200.0
2014-03-17,10195.0
2014-03-18,10350.0
2014-03-19,10250.0
2014-03-20,10180.0
2014-03-21,10145.0
2014-03-24,10155.0
2014-03-25,10180.0
2014-03-26,10245.0
2014-03-27,10295.0
2014-03-28,10260.0
2014-03-31,10250.0
2014-04-01,10220.0
2014-04-02,10185.0
2014-04-03,10100.0
2014-04-04,10095.0
2014-04-07,10085.0
2014-04-08,10125.0
2014-04-09,10375.0
2014-04-10,10355.0
2014-04-11,10370.0
2014-04-14,10395.0
2014-04-15,10440.0
2014-04-16,10375.0
2014-04-17,10400.0
2014-04-18,10385.0
2014-04-21,10400.0
2014-04-22,10425.0
2014-04-23,10455.0
2014-04-24,10415.0
2014-04-25,10310.0
2014-04-28,10305.0
2014-04-29,10175.0
2014-04-30,10275.0
2014-05-02,10410.0
2014-05-07,10410.0
2014-05-08,10325.0
2014-05-09,10485.0
2014-05-12,10490.0
2014-05-13,10430.0
2014-05-14,10575.0
2014-05-15,10590.0
2014-05-16,10535.0
2014-05-19,10630.0
2014-05-20,10605.0
2014-05-21,10585.0
2014-05-22,10630.0
2014-05-23,10585.0
2014-05-26,10635.0
2014-05-27,10610.0
2014-05-28,10600.0
2014-05-29,10430.0
2014-05-30,10430.0
2014-06-02,10480.0
2014-06-03,10380.0
2014-06-05,10355.0
2014-06-09,10380.0
2014-06-10,10325.0
2014-06-11,10375.0
2014-06-12,10495.0
2014-06-13,10435.0
2014-06-16,10385.0
2014-06-17,10345.0
2014-06-18,10360.0
2014-06-19,10635.0
2014-06-20,10565.0
2014-06-23,10530.0
2014-06-24,10590.0
2014-06-25,10585.0
2014-06-26,10520.0
2014-06-27,10520.0
2014-06-30,10605.0
2014-07-01,10700.0
2014-07-02,10750.0
2014-07-03,10740.0
2014-07-04,10800.0
2014-07-07,10785.0
2014-07-08,10775.0
2014-07-09,10760.0
2014-07-10,10825.0
2014-07-11,10800.0
2014-07-14,10835.0
2014-07-15,10840.0
2014-07-16,10750.0
2014-07-17,10760.0
2014-07-18,10785.0
2014-07-21,10860.0
