Date,TIGER 구리실물
2014-01-13,7910.0
2014-01-14,7920.0
2014-01-15,7965.0
2014-01-16,7965.0
2014-01-17,7970.0
2014-01-20,8000.0
2014-01-21,8010.0
2014-01-22,8030.0
2014-01-23,8020.0
2014-01-24,8015.0
2014-01-27,8030.0
2014-01-28,7985.0
2014-01-29,7885.0
2014-02-03,7850.0
2014-02-04,7850.0
2014-02-05,7820.0
2014-02-06,7840.0
2014-02-07,7840.0
2014-02-10,7895.0
2014-02-11,7880.0
2014-02-12,7785.0
2014-02-13,7850.0
2014-02-14,7795.0
2014-02-17,7895.0
2014-02-18,7860.0
2014-02-19,7860.0
2014-02-20,7910.0
2014-02-21,7885.0
2014-02-24,7940.0
2014-02-25,7790.0
2014-02-26,7790.0
2014-02-27,7750.0
2014-02-28,7720.0
2014-03-03,7765.0
2014-03-04,7700.0
2014-03-05,7745.0
2014-03-06,7690.0
2014-03-07,7715.0
2014-03-10,7575.0
2014-03-11,7330.0
2014-03-12,7330.0
2014-03-13,7195.0
2014-03-14,7160.0
2014-03-17,7120.0
2014-03-18,7180.0
2014-03-19,7180.0
2014-03-20,7190.0
2014-03-21,7150.0
2014-03-24,7210.0
2014-03-25,7200.0
2014-03-26,7200.0
2014-03-27,7215.0
2014-03-28,7250.0
2014-03-31,7290.0
2014-04-01,7320.0
2014-04-02,7190.0
2014-04-03,7280.0
2014-04-04,7150.0
2014-04-07,7240.0
2014-04-08,7170.0
2014-04-09,7130.0
2014-04-10,7115.0
2014-04-11,7055.0
2014-04-14,7120.0
2014-04-15,7085.0
2014-04-16,7110.0
2014-04-17,7020.0
2014-04-18,7075.0
2014-04-21,7070.0
2014-04-22,7050.0
2014-04-23,7085.0
2014-04-24,7050.0
2014-04-25,7185.0
2014-04-28,7200.0
2014-04-29,7180.0
2014-04-30,7175.0
2014-05-02,7060.0
2014-05-07,7080.0
2014-05-08,7055.0
2014-05-09,7065.0
2014-05-12,7130.0
2014-05-13,7200.0
2014-05-14,7255.0
2014-05-15,7265.0
2014-05-16,7300.0
2014-05-19,7295.0
2014-05-20,7340.0
2014-05-21,7295.0
2014-05-22,7200.0
2014-05-23,7230.0
2014-05-26,7345.0
2014-05-27,7345.0
2014-05-28,7355.0
2014-05-29,7355.0
2014-05-30,7295.0
2014-06-02,7345.0
2014-06-03,7345.0
2014-06-05,7100.0
2014-06-09,6955.0
2014-06-10,6965.0
2014-06-11,6930.0
2014-06-12,6945.0
2014-06-13,6990.0
2014-06-16,6980.0
2014-06-17,6985.0
2014-06-18,6985.0
2014-06-19,6985.0
2014-06-20,6955.0
2014-06-23,7010.0
2014-06-24,7140.0
2014-06-25,7220.0
2014-06-26,7165.0
2014-06-27,7165.0
2014-06-30,7230.0
2014-07-01,7205.0
2014-07-02,7240.0
2014-07-03,7295.0
2014-07-04,7355.0
2014-07-07,7410.0
2014-07-08,7310.0
2014-07-09,7420.0
2014-07-10,7425.0
2014-07-11,7350.0
2014-07-14,7440.0
2014-07-15,7470.0
2014-07-16,7435.0
2014-07-17,7480.0
2014-07-18,7350.0
2014-07-21,7310.0
2014-07-22,7245.0
2014-07-23,7400.0
2014-07-24,7400.0
2014-07-25,7480.0
2014-07-28,7485.0
2014-07-29,7465.0
2014-07-30,7420.0
2014-07-31,7395.0
2014-08-01,7515.0
2014-08-04,7470.0
2014-08-05,7435.0
2014-08-06,7515.0
2014-08-07,7370.0
2014-08-08,7350.0
2014-08-11,7230.0
2014-08-12,7125.0
2014-08-13,7340.0
2014-08-14,7245.0
2014-08-18,7155.0
2014-08-19,7135.0
2014-08-20,7235.0
2014-08-21,7225.0
2014-08-22,7270.0
2014-08-25,7330.0
2014-08-26,7325.0
2014-08-27,7325.0
2014-08-28,7320.0
2014-08-29,7310.0
2014-09-01,7260.0
2014-09-02,7195.0
2014-09-03,7230.0
2014-09-04,7215.0
2014-09-05,7285.0
2014-09-11,7260.0
2014-09-12,7230.0
2014-09-15,7260.0
2014-09-16,7235.0
2014-09-17,7245.0
2014-09-18,7355.0
2014-09-19,7365.0
2014-09-22,7250.0
2014-09-23,7185.0
2014-09-24,7185.0
2014-09-25,7145.0
2014-09-26,7175.0
2014-09-29,7215.0
2014-09-30,7255.0
2014-10-01,7260.0
2014-10-02,7340.0
2014-10-06,7305.0
2014-10-07,7325.0
2014-10-08,7370.0
2014-10-10,7345.0
2014-10-13,7245.0
2014-10-14,7370.0
2014-10-15,7390.0
2014-10-16,7350.0
2014-10-17,7195.0
2014-10-20,7195.0
2014-10-21,7135.0
2014-10-22,7190.0
2014-10-23,7270.0
2014-10-24,7280.0
2014-10-27,7295.0
2014-10-28,7280.0
2014-10-29,7335.0
2014-10-30,7335.0
2014-10-31,7410.0
2014-11-03,7480.0
2014-11-04,7450.0
2014-11-05,7400.0
2014-11-06,7400.0
2014-11-07,7470.0
2014-11-10,7325.0
2014-11-11,7325.0
2014-11-12,7325.0
2014-11-13,7440.0
2014-11-14,7445.0
2014-11-17,7375.0
2014-11-18,7475.0
2014-11-19,7475.0
2014-11-20,7475.0
2014-11-21,7475.0
2014-11-24,7530.0
2014-11-25,7525.0
2014-11-26,7460.0
2014-11-27,7380.0
2014-11-28,7370.0
2014-12-01,7290.0
2014-12-02,7125.0
2014-12-03,7250.0
2014-12-04,7245.0
2014-12-05,7290.0
2014-12-08,7355.0
2014-12-09,7215.0
2014-12-10,7085.0
2014-12-11,7160.0
2014-12-12,7185.0
2014-12-15,7210.0
2014-12-16,7230.0
2014-12-17,7065.0
2014-12-18,6970.0
2014-12-19,7000.0
2014-12-22,7100.0
2014-12-23,7115.0
2014-12-24,7020.0
2014-12-26,7060.0
2014-12-29,6975.0
2014-12-30,7045.0
2015-01-02,7055.0
2015-01-05,7085.0
2015-01-06,6905.0
2015-01-07,6820.0
2015-01-08,6830.0
2015-01-09,6875.0
2015-01-12,6740.0
2015-01-13,6685.0
2015-01-14,6425.0
2015-01-15,6240.0
2015-01-16,6265.0
2015-01-19,6230.0
2015-01-20,6255.0
2015-01-21,6290.0
2015-01-22,6185.0
2015-01-23,6300.0
2015-01-26,6045.0
2015-01-27,6040.0
2015-01-28,6145.0
2015-01-29,6080.0
2015-01-30,5990.0
2015-02-02,6115.0
2015-02-03,6205.0
2015-02-04,6290.0
2015-02-05,6295.0
2015-02-06,6205.0
2015-02-09,6310.0
2015-02-10,6270.0
2015-02-11,6205.0
2015-02-12,6340.0
2015-02-13,6365.0
2015-02-16,6380.0
2015-02-17,6375.0
2015-02-23,6430.0
2015-02-24,6345.0
2015-02-25,6385.0
2015-02-26,6450.0
2015-02-27,6585.0
2015-03-02,6515.0
2015-03-03,6550.0
2015-03-04,6485.0
2015-03-05,6525.0
2015-03-06,6480.0
2015-03-09,6545.0
2015-03-10,6560.0
2015-03-11,6560.0
2015-03-12,6570.0
2015-03-13,6670.0
2015-03-16,6700.0
2015-03-17,6640.0
2015-03-18,6590.0
2015-03-19,6440.0
2015-03-20,6610.0
2015-03-23,6685.0
2015-03-24,6865.0
2015-03-25,6825.0
2015-03-26,6810.0
2015-03-27,6920.0
2015-03-30,6855.0
2015-03-31,6845.0
2015-04-01,6740.0
2015-04-02,6675.0
2015-04-03,6640.0
2015-04-06,6565.0
2015-04-07,6595.0
2015-04-08,6620.0
2015-04-09,6680.0
2015-04-10,6665.0
2015-04-13,6675.0
2015-04-14,6640.0
2015-04-15,6555.0
2015-04-16,6510.0
2015-04-17,6610.0
2015-04-20,6625.0
2015-04-21,6555.0
2015-04-22,6515.0
2015-04-23,6470.0
2015-04-24,6460.0
2015-04-27,6525.0
2015-04-28,6580.0
2015-04-29,6560.0
