Date,TIGER 국채3년
2014-01-13,106005.0
2014-01-14,106005.0
2014-01-15,106005.0
2014-01-16,106005.0
2014-01-17,106160.0
2014-01-20,106130.0
2014-01-21,106115.0
2014-01-22,106100.0
2014-01-23,106060.0
2014-01-24,106140.0
2014-01-27,106140.0
2014-01-28,106195.0
2014-01-29,106165.0
2014-02-03,106325.0
2014-02-04,106335.0
2014-02-05,106375.0
2014-02-06,106375.0
2014-02-07,106440.0
2014-02-10,106395.0
2014-02-11,106550.0
2014-02-12,106465.0
2014-02-13,106595.0
2014-02-14,106645.0
2014-02-17,106565.0
2014-02-18,106505.0
2014-02-19,106555.0
2014-02-20,106595.0
2014-02-21,106600.0
2014-02-24,106600.0
2014-02-25,106640.0
2014-02-26,106700.0
2014-02-27,106745.0
2014-02-28,106755.0
2014-03-03,106640.0
2014-03-04,106585.0
2014-03-05,106600.0
2014-03-06,106115.0
2014-03-07,106035.0
2014-03-10,106055.0
2014-03-11,106130.0
2014-03-12,106155.0
2014-03-13,106215.0
2014-03-14,106340.0
2014-03-17,106305.0
2014-03-18,106285.0
2014-03-19,106340.0
2014-03-20,106295.0
2014-03-21,106215.0
2014-03-24,106240.0
2014-03-25,106290.0
2014-03-26,106250.0
2014-03-27,106320.0
2014-03-28,106345.0
2014-03-31,106385.0
2014-04-01,106350.0
2014-04-02,106295.0
2014-04-03,106300.0
2014-04-04,106395.0
2014-04-07,106400.0
2014-04-08,106430.0
2014-04-09,106480.0
2014-04-10,106480.0
2014-04-11,106505.0
2014-04-14,106460.0
2014-04-15,106500.0
2014-04-16,106480.0
2014-04-17,106540.0
2014-04-18,106520.0
2014-04-21,106520.0
2014-04-22,106535.0
2014-04-23,106565.0
2014-04-24,106570.0
2014-04-25,106600.0
2014-04-28,106580.0
2014-04-29,106660.0
2014-04-30,106690.0
2014-05-02,106740.0
2014-05-07,106725.0
2014-05-08,106805.0
2014-05-09,106870.0
2014-05-12,106810.0
2014-05-13,106885.0
2014-05-14,106840.0
2014-05-15,107020.0
2014-05-16,106945.0
2014-05-19,106945.0
2014-05-20,106935.0
2014-05-21,106965.0
2014-05-22,106945.0
2014-05-23,107020.0
2014-05-26,107070.0
2014-05-27,107040.0
2014-05-28,107085.0
2014-05-29,107180.0
2014-05-30,107125.0
2014-06-02,107110.0
2014-06-03,107115.0
2014-06-05,106145.0
2014-06-09,106185.0
2014-06-10,106220.0
2014-06-11,106245.0
2014-06-12,106330.0
2014-06-13,106510.0
2014-06-16,106535.0
2014-06-17,106540.0
2014-06-18,106555.0
2014-06-19,106675.0
2014-06-20,106725.0
2014-06-23,106770.0
2014-06-24,106760.0
2014-06-25,106710.0
2014-06-26,106670.0
2014-06-27,106800.0
2014-06-30,106860.0
2014-07-01,106860.0
2014-07-02,107090.0
2014-07-03,107110.0
2014-07-04,107120.0
2014-07-07,107100.0
2014-07-08,107000.0
2014-07-09,107055.0
2014-07-10,107270.0
2014-07-11,107250.0
2014-07-14,107280.0
2014-07-15,107240.0
2014-07-16,107340.0
2014-07-17,107500.0
2014-07-18,107485.0
2014-07-21,107480.0
2014-07-22,107510.0
2014-07-23,107615.0
2014-07-24,107565.0
2014-07-25,107545.0
2014-07-28,107565.0
2014-07-29,107560.0
2014-07-30,107530.0
2014-07-31,107570.0
2014-08-01,107490.0
2014-08-04,107465.0
2014-08-05,107490.0
2014-08-06,107570.0
2014-08-07,107640.0
2014-08-08,107725.0
2014-08-11,107695.0
2014-08-12,107630.0
2014-08-13,107685.0
2014-08-14,107685.0
2014-08-18,107635.0
2014-08-19,107535.0
2014-08-20,107530.0
2014-08-21,107500.0
2014-08-22,107500.0
2014-08-25,107615.0
2014-08-26,107685.0
2014-08-27,107750.0
2014-08-28,107750.0
2014-08-29,107825.0
2014-09-01,107795.0
2014-09-02,107860.0
2014-09-03,107765.0
2014-09-04,107250.0
2014-09-05,107330.0
2014-09-11,107405.0
2014-09-12,107645.0
2014-09-15,107650.0
2014-09-16,107840.0
2014-09-17,107795.0
2014-09-18,107820.0
2014-09-19,107820.0
2014-09-22,107905.0
2014-09-23,107945.0
2014-09-24,107985.0
2014-09-25,108020.0
2014-09-26,108085.0
2014-09-29,108060.0
2014-09-30,108180.0
2014-10-01,108440.0
2014-10-02,108435.0
2014-10-06,108405.0
2014-10-07,108395.0
2014-10-08,108340.0
2014-10-10,108435.0
2014-10-13,108435.0
2014-10-14,108395.0
2014-10-15,108460.0
2014-10-16,108525.0
2014-10-17,108470.0
2014-10-20,108500.0
2014-10-21,108490.0
2014-10-22,108490.0
2014-10-23,108655.0
2014-10-24,108725.0
2014-10-27,108690.0
2014-10-28,108695.0
2014-10-29,108740.0
2014-10-30,108800.0
2014-10-31,109010.0
2014-11-03,109045.0
2014-11-04,109125.0
2014-11-05,109125.0
2014-11-06,109205.0
2014-11-07,109135.0
2014-11-10,109075.0
2014-11-11,108915.0
2014-11-12,108770.0
2014-11-13,108725.0
2014-11-14,108805.0
2014-11-17,108855.0
2014-11-18,108915.0
2014-11-19,108905.0
2014-11-20,108995.0
2014-11-21,109050.0
2014-11-24,109185.0
2014-11-25,109245.0
2014-11-26,109280.0
2014-11-27,109285.0
2014-11-28,109355.0
2014-12-01,109380.0
2014-12-02,109335.0
2014-12-03,109230.0
2014-12-04,109000.0
2014-12-05,109005.0
2014-12-08,107990.0
2014-12-09,108130.0
2014-12-10,107995.0
2014-12-11,108160.0
2014-12-12,108265.0
2014-12-15,108215.0
2014-12-16,108195.0
2014-12-17,108175.0
2014-12-18,108120.0
2014-12-19,108095.0
2014-12-22,108130.0
2014-12-23,108235.0
