Date,TIGER 금속선물(H)
2014-01-13,6400.0
2014-01-14,6380.0
2014-01-15,6375.0
2014-01-16,6395.0
2014-01-17,6410.0
2014-01-20,6500.0
2014-01-21,6470.0
2014-01-22,6470.0
2014-01-23,6380.0
2014-01-24,6360.0
2014-01-27,6340.0
2014-01-28,6310.0
2014-01-29,6290.0
2014-02-03,6210.0
2014-02-04,6150.0
2014-02-05,6150.0
2014-02-06,6170.0
2014-02-07,6240.0
2014-02-10,6250.0
2014-02-11,6210.0
2014-02-12,6210.0
2014-02-13,6250.0
2014-02-14,6250.0
2014-02-17,6250.0
2014-02-18,6245.0
2014-02-19,6310.0
2014-02-20,6305.0
2014-02-21,6330.0
2014-02-24,6270.0
2014-02-25,6280.0
2014-02-26,6290.0
2014-02-27,6260.0
2014-02-28,6260.0
2014-03-03,6260.0
2014-03-04,6190.0
2014-03-05,6260.0
2014-03-06,6315.0
2014-03-07,6345.0
2014-03-10,6175.0
2014-03-11,6130.0
2014-03-12,6040.0
2014-03-13,6060.0
2014-03-14,6030.0
2014-03-17,6020.0
2014-03-18,6025.0
2014-03-19,6050.0
2014-03-20,6090.0
2014-03-21,5975.0
2014-03-24,6005.0
2014-03-25,6020.0
2014-03-26,6115.0
2014-03-27,6025.0
2014-03-28,6035.0
2014-03-31,6140.0
2014-04-01,6160.0
2014-04-02,6175.0
2014-04-03,6185.0
2014-04-04,6245.0
2014-04-07,6150.0
2014-04-08,6155.0
2014-04-09,6180.0
2014-04-10,6195.0
2014-04-11,6265.0
2014-04-14,6285.0
2014-04-15,6310.0
2014-04-16,6235.0
2014-04-17,6255.0
2014-04-18,6265.0
2014-04-21,6300.0
2014-04-22,6300.0
2014-04-23,6325.0
2014-04-24,6325.0
2014-04-25,6350.0
2014-04-28,6325.0
2014-04-29,6320.0
2014-04-30,6305.0
2014-05-02,6245.0
2014-05-07,6245.0
2014-05-08,6245.0
2014-05-09,6310.0
2014-05-12,6310.0
2014-05-13,6410.0
2014-05-14,6445.0
2014-05-15,6475.0
2014-05-16,6375.0
2014-05-19,6355.0
2014-05-20,6450.0
2014-05-21,6420.0
2014-05-22,6370.0
2014-05-23,6375.0
2014-05-26,6420.0
2014-05-27,6415.0
2014-05-28,6445.0
2014-05-29,6460.0
2014-05-30,6485.0
2014-06-02,6470.0
2014-06-03,6470.0
2014-06-05,6470.0
2014-06-09,6410.0
2014-06-10,6425.0
2014-06-11,6350.0
2014-06-12,6350.0
2014-06-13,6275.0
2014-06-16,6275.0
2014-06-17,6365.0
2014-06-18,6365.0
2014-06-19,6365.0
