Date,TIGER 금은선물(H)
2014-01-13,7905.0
2014-01-14,7980.0
2014-01-15,7930.0
2014-01-16,7925.0
2014-01-17,7920.0
2014-01-20,7965.0
2014-01-21,7980.0
2014-01-22,7925.0
2014-01-23,7875.0
2014-01-24,8005.0
2014-01-27,8050.0
2014-01-28,8000.0
2014-01-29,7965.0
2014-02-03,7870.0
2014-02-04,7995.0
2014-02-05,7965.0
2014-02-06,7960.0
2014-02-07,8005.0
2014-02-10,8015.0
2014-02-11,8055.0
2014-02-12,8185.0
2014-02-13,8165.0
2014-02-14,8255.0
2014-02-17,8420.0
2014-02-18,8455.0
2014-02-19,8440.0
2014-02-20,8400.0
2014-02-21,8395.0
2014-02-24,8390.0
2014-02-25,8490.0
2014-02-26,8570.0
2014-02-27,8490.0
2014-02-28,8490.0
2014-03-03,8545.0
2014-03-04,8600.0
2014-03-05,8470.0
2014-03-06,8510.0
2014-03-07,8560.0
2014-03-10,8445.0
2014-03-11,8465.0
2014-03-12,8570.0
2014-03-13,8685.0
2014-03-14,8700.0
2014-03-17,8755.0
2014-03-18,8695.0
2014-03-19,8610.0
2014-03-20,8460.0
2014-03-21,8400.0
2014-03-24,8375.0
2014-03-25,8315.0
2014-03-26,8315.0
2014-03-27,8275.0
2014-03-28,8210.0
2014-03-31,8175.0
2014-04-01,8160.0
2014-04-02,8090.0
2014-04-03,8200.0
2014-04-04,8165.0
2014-04-07,8265.0
2014-04-08,8255.0
2014-04-09,8260.0
2014-04-10,8320.0
2014-04-11,8305.0
2014-04-14,8365.0
2014-04-15,8405.0
2014-04-16,8255.0
2014-04-17,8265.0
2014-04-18,8190.0
2014-04-21,8200.0
2014-04-22,8180.0
2014-04-23,8155.0
2014-04-24,8150.0
2014-04-25,8145.0
2014-04-28,8215.0
2014-04-29,8195.0
2014-04-30,8220.0
2014-05-02,8130.0
2014-05-07,8230.0
2014-05-08,8185.0
2014-05-09,8170.0
2014-05-12,8130.0
2014-05-13,8225.0
2014-05-14,8220.0
2014-05-15,8230.0
2014-05-16,8230.0
2014-05-19,8190.0
2014-05-20,8150.0
2014-05-21,8150.0
2014-05-22,8135.0
2014-05-23,8215.0
2014-05-26,8140.0
2014-05-27,8140.0
2014-05-28,8025.0
2014-05-29,7990.0
2014-05-30,7990.0
2014-06-02,7865.0
2014-06-03,7930.0
2014-06-05,7910.0
2014-06-09,7965.0
2014-06-10,7955.0
2014-06-11,8010.0
2014-06-12,8020.0
2014-06-13,8045.0
2014-06-16,8100.0
2014-06-17,8045.0
2014-06-18,8050.0
2014-06-19,8095.0
2014-06-20,8360.0
2014-06-23,8355.0
2014-06-24,8350.0
2014-06-25,8380.0
2014-06-26,8375.0
2014-06-27,8375.0
2014-06-30,8400.0
2014-07-01,8415.0
2014-07-02,8420.0
2014-07-03,8435.0
2014-07-04,8395.0
2014-07-07,8440.0
2014-07-08,8430.0
2014-07-09,8380.0
2014-07-10,8465.0
2014-07-11,8500.0
2014-07-14,8520.0
2014-07-15,8370.0
2014-07-16,8230.0
2014-07-17,8280.0
2014-07-18,8390.0
2014-07-21,8330.0
2014-07-22,8395.0
2014-07-23,8370.0
2014-07-24,8350.0
2014-07-25,8230.0
2014-07-28,8350.0
2014-07-29,8345.0
2014-07-30,8315.0
2014-07-31,8290.0
2014-08-01,8205.0
2014-08-04,8265.0
2014-08-05,8220.0
2014-08-06,8200.0
2014-08-07,8315.0
2014-08-08,8345.0
2014-08-11,8270.0
2014-08-12,8320.0
2014-08-13,8320.0
2014-08-14,8320.0
2014-08-18,8260.0
2014-08-19,8250.0
2014-08-20,8180.0
2014-08-21,8200.0
2014-08-22,8130.0
2014-08-25,8125.0
2014-08-26,8105.0
2014-08-27,8115.0
2014-08-28,8160.0
2014-08-29,8205.0
2014-09-01,8180.0
2014-09-02,8180.0
2014-09-03,8060.0
2014-09-04,8070.0
2014-09-05,8010.0
2014-09-11,7910.0
2014-09-12,7885.0
2014-09-15,7825.0
2014-09-16,7850.0
2014-09-17,7860.0
2014-09-18,7775.0
2014-09-19,7790.0
2014-09-22,7690.0
2014-09-23,7690.0
2014-09-24,7735.0
2014-09-25,7690.0
2014-09-26,7735.0
2014-09-29,7695.0
2014-09-30,7690.0
2014-10-01,7630.0
2014-10-02,7670.0
2014-10-06,7505.0
2014-10-07,7590.0
2014-10-08,7585.0
2014-10-10,7725.0
2014-10-13,7715.0
2014-10-14,7745.0
2014-10-15,7765.0
2014-10-16,7835.0
2014-10-17,7795.0
2014-10-20,7785.0
2014-10-21,7800.0
2014-10-22,7820.0
2014-10-23,7825.0
2014-10-24,7760.0
2014-10-27,7745.0
2014-10-28,7735.0
2014-10-29,7750.0
2014-10-30,7595.0
2014-10-31,7560.0
2014-11-03,7295.0
2014-11-04,7300.0
2014-11-05,7355.0
2014-11-06,7175.0
2014-11-07,7140.0
2014-11-10,7300.0
2014-11-11,7260.0
2014-11-12,7290.0
2014-11-13,7260.0
2014-11-14,7220.0
2014-11-17,7435.0
2014-11-18,7390.0
2014-11-19,7480.0
2014-11-20,7395.0
2014-11-21,7440.0
2014-11-24,7500.0
2014-11-25,7500.0
2014-11-26,7575.0
2014-11-27,7480.0
2014-11-28,7420.0
2014-12-01,7190.0
2014-12-02,7550.0
2014-12-03,7500.0
2014-12-04,7585.0
2014-12-05,7520.0
2014-12-08,7425.0
2014-12-09,7530.0
2014-12-10,7730.0
2014-12-11,7730.0
2014-12-12,7725.0
2014-12-15,7665.0
2014-12-16,7475.0
2014-12-17,7515.0
2014-12-18,7445.0
2014-12-19,7505.0
2014-12-22,7500.0
2014-12-23,7365.0
2014-12-24,7360.0
2014-12-26,7340.0
2014-12-29,7475.0
2014-12-30,7420.0
2015-01-02,7455.0
2015-01-05,7420.0
2015-01-06,7500.0
2015-01-07,7630.0
2015-01-08,7600.0
2015-01-09,7605.0
2015-01-12,7655.0
2015-01-13,7690.0
2015-01-14,7720.0
2015-01-15,7725.0
2015-01-16,7900.0
2015-01-19,8030.0
2015-01-20,8040.0
2015-01-21,8210.0
2015-01-22,8150.0
2015-01-23,8130.0
2015-01-26,8170.0
2015-01-27,8040.0
2015-01-28,8090.0
2015-01-29,8090.0
2015-01-30,7915.0
2015-02-02,8020.0
2015-02-03,7960.0
2015-02-04,7945.0
2015-02-05,7985.0
2015-02-06,7970.0
2015-02-09,7790.0
2015-02-10,7825.0
2015-02-11,7790.0
2015-02-12,7675.0
2015-02-13,7720.0
2015-02-16,7765.0
2015-02-17,7755.0
2015-02-23,7565.0
2015-02-24,7550.0
2015-02-25,7615.0
2015-02-26,7560.0
2015-02-27,7570.0
2015-03-02,7640.0
2015-03-03,7595.0
2015-03-04,7580.0
2015-03-05,7560.0
2015-03-06,7520.0
2015-03-09,7360.0
2015-03-10,7300.0
2015-03-11,7290.0
2015-03-12,7265.0
2015-03-13,7270.0
2015-03-16,7275.0
2015-03-17,7220.0
2015-03-18,7200.0
2015-03-19,7350.0
2015-03-20,7370.0
2015-03-23,7405.0
2015-03-24,7465.0
2015-03-25,7460.0
2015-03-26,7530.0
2015-03-27,7530.0
2015-03-30,7490.0
2015-03-31,7430.0
2015-04-01,7450.0
2015-04-02,7535.0
2015-04-03,7510.0
2015-04-06,7600.0
2015-04-07,7590.0
2015-04-08,7590.0
2015-04-09,7500.0
2015-04-10,7480.0
2015-04-13,7550.0
2015-04-14,7505.0
2015-04-15,7490.0
2015-04-16,7545.0
2015-04-17,7530.0
2015-04-20,7550.0
2015-04-21,7490.0
2015-04-22,7475.0
2015-04-23,7440.0
2015-04-24,7450.0
2015-04-27,7420.0
2015-04-28,7540.0
2015-04-29,7590.0
2015-04-30,7545.0
2015-05-04,7395.0
2015-05-06,7520.0
2015-05-07,7465.0
2015-05-08,7435.0
2015-05-11,7470.0
2015-05-12,7420.0
2015-05-13,7490.0
2015-05-14,7660.0
2015-05-15,7680.0
2015-05-18,7700.0
2015-05-19,7690.0
2015-05-20,7600.0
2015-05-21,7630.0
2015-05-22,7610.0
2015-05-26,7595.0
2015-05-27,7490.0
2015-05-28,7480.0
2015-05-29,7485.0
2015-06-01,7485.0
2015-06-02,7475.0
2015-06-03,7500.0
2015-06-04,7445.0
2015-06-05,7395.0
2015-06-08,7350.0
2015-06-09,7385.0
2015-06-10,7350.0
2015-06-11,7425.0
2015-06-12,7410.0
2015-06-15,7395.0
2015-06-16,7370.0
2015-06-17,7335.0
2015-06-18,7420.0
2015-06-19,7470.0
2015-06-22,7490.0
2015-06-23,7395.0
2015-06-24,7375.0
2015-06-25,7350.0
2015-06-26,7355.0
2015-06-29,7360.0
2015-06-30,7365.0
2015-07-01,7340.0
2015-07-02,7255.0
2015-07-03,7305.0
2015-07-06,7300.0
2015-07-07,7310.0
2015-07-08,7165.0
2015-07-09,7195.0
2015-07-10,7200.0
2015-07-13,7250.0
2015-07-14,7225.0
2015-07-15,7185.0
2015-07-16,7155.0
2015-07-17,7140.0
2015-07-20,6910.0
2015-07-21,6880.0
2015-07-22,6815.0
2015-07-23,6855.0
2015-07-24,6780.0
2015-07-27,6825.0
2015-07-28,6830.0
2015-07-29,6840.0
2015-07-30,6825.0
2015-07-31,6780.0
2015-08-03,6820.0
2015-08-04,6765.0
2015-08-05,6780.0
2015-08-06,6785.0
2015-08-07,6795.0
2015-08-10,6825.0
2015-08-11,6825.0
2015-08-12,6940.0
2015-08-13,7000.0
2015-08-17,6950.0
2015-08-18,6940.0
2015-08-19,6970.0
2015-08-20,7120.0
2015-08-21,7255.0
2015-08-24,7195.0
2015-08-25,7150.0
2015-08-26,7020.0
2015-08-27,7000.0
2015-08-28,6990.0
2015-08-31,7055.0
2015-09-01,7110.0
2015-09-02,7035.0
2015-09-03,6995.0
2015-09-04,6965.0
2015-09-07,7005.0
2015-09-08,6985.0
2015-09-09,7005.0
2015-09-10,6915.0
2015-09-11,6940.0
2015-09-14,6910.0
2015-09-15,6900.0
2015-09-16,6840.0
2015-09-17,6940.0
2015-09-18,7045.0
2015-09-21,7085.0
2015-09-22,7090.0
2015-09-23,7025.0
2015-09-24,7020.0
2015-09-25,7110.0
2015-09-30,7035.0
2015-10-01,6955.0
2015-10-02,6935.0
2015-10-05,7090.0
2015-10-06,7110.0
2015-10-07,7170.0
2015-10-08,7140.0
2015-10-12,7260.0
2015-10-13,7225.0
2015-10-14,7345.0
2015-10-15,7400.0
2015-10-16,7360.0
2015-10-19,7340.0
2015-10-20,7315.0
2015-10-21,7315.0
2015-10-22,7280.0
2015-10-23,7260.0
2015-10-26,7275.0
2015-10-27,7235.0
2015-10-28,7260.0
2015-10-29,7230.0
2015-10-30,7150.0
2015-11-02,7100.0
2015-11-03,7100.0
2015-11-04,7020.0
2015-11-05,6950.0
2015-11-06,6945.0
2015-11-09,6840.0
2015-11-10,6825.0
