Date,TIGER 농산물선물Enhanced(H)
2014-01-13,8270.0
2014-01-14,8265.0
2014-01-15,8260.0
2014-01-16,8230.0
2014-01-17,8240.0
2014-01-20,8135.0
2014-01-21,8215.0
2014-01-22,8105.0
2014-01-23,8100.0
2014-01-24,8130.0
2014-01-27,8130.0
2014-01-28,8140.0
2014-01-29,8140.0
2014-02-03,8125.0
2014-02-04,8165.0
2014-02-05,8330.0
2014-02-06,8375.0
2014-02-07,8365.0
2014-02-10,8395.0
2014-02-11,8390.0
2014-02-12,8410.0
2014-02-13,8365.0
2014-02-14,8420.0
2014-02-17,8475.0
2014-02-18,8480.0
2014-02-19,8645.0
2014-02-20,8625.0
2014-02-21,8685.0
2014-02-24,8660.0
2014-02-25,8700.0
2014-02-26,8770.0
2014-02-27,8775.0
2014-02-28,8690.0
2014-03-03,8945.0
2014-03-04,9015.0
2014-03-05,9080.0
2014-03-06,9055.0
2014-03-07,9215.0
2014-03-10,9215.0
2014-03-11,9040.0
2014-03-12,9135.0
2014-03-13,9165.0
2014-03-14,9120.0
2014-03-17,9145.0
2014-03-18,9090.0
2014-03-19,9200.0
2014-03-20,9335.0
2014-03-21,9200.0
2014-03-24,9090.0
2014-03-25,9305.0
2014-03-26,9245.0
2014-03-27,9295.0
2014-03-28,9375.0
2014-03-31,9330.0
2014-04-01,9460.0
2014-04-02,9460.0
2014-04-03,9320.0
2014-04-04,9320.0
2014-04-07,9325.0
2014-04-08,9320.0
2014-04-09,9440.0
2014-04-10,9385.0
2014-04-11,9355.0
2014-04-14,9305.0
2014-04-15,9365.0
2014-04-16,9490.0
2014-04-17,9470.0
2014-04-18,9405.0
2014-04-21,9400.0
2014-04-22,9295.0
2014-04-23,9310.0
2014-04-24,9355.0
2014-04-25,9440.0
2014-04-28,9585.0
2014-04-29,9580.0
2014-04-30,9640.0
2014-05-02,9490.0
2014-05-07,9605.0
2014-05-08,9565.0
2014-05-09,9585.0
2014-05-12,9490.0
2014-05-13,9455.0
2014-05-14,9515.0
2014-05-15,9435.0
2014-05-16,9310.0
2014-05-19,9240.0
2014-05-20,9255.0
