Date,TIGER 단기통안채
2014-01-13,100170.0
2014-01-14,100170.0
2014-01-15,100180.0
2014-01-16,100195.0
2014-01-17,100205.0
2014-01-20,100210.0
2014-01-21,100215.0
2014-01-22,100220.0
2014-01-23,100240.0
2014-01-24,100255.0
2014-01-27,100255.0
2014-01-28,100290.0
2014-01-29,100295.0
2014-02-03,100300.0
2014-02-04,100310.0
2014-02-05,100315.0
2014-02-06,100345.0
2014-02-07,100350.0
2014-02-10,100355.0
2014-02-11,100355.0
2014-02-12,100370.0
2014-02-13,100380.0
2014-02-14,100400.0
2014-02-17,100400.0
2014-02-18,100410.0
2014-02-19,100410.0
2014-02-20,100440.0
2014-02-21,100445.0
2014-02-24,100450.0
2014-02-25,100455.0
2014-02-26,100470.0
2014-02-27,100480.0
2014-02-28,100495.0
2014-03-03,100495.0
2014-03-04,100505.0
2014-03-05,100510.0
2014-03-06,100530.0
2014-03-07,100535.0
2014-03-10,100540.0
2014-03-11,100550.0
2014-03-12,100555.0
2014-03-13,100575.0
2014-03-14,100585.0
2014-03-17,100590.0
2014-03-18,100595.0
2014-03-19,100610.0
2014-03-20,100625.0
2014-03-21,100635.0
2014-03-24,100640.0
2014-03-25,100640.0
2014-03-26,100655.0
2014-03-27,100675.0
2014-03-28,100680.0
2014-03-31,100690.0
2014-04-01,100690.0
2014-04-02,100700.0
2014-04-03,100720.0
2014-04-04,100735.0
2014-04-07,100745.0
2014-04-08,100745.0
2014-04-09,100755.0
2014-04-10,100770.0
2014-04-11,100775.0
2014-04-14,100785.0
2014-04-15,100790.0
2014-04-16,100800.0
2014-04-17,100825.0
2014-04-18,100830.0
2014-04-21,100835.0
2014-04-22,100840.0
2014-04-23,100850.0
2014-04-24,100865.0
2014-04-25,100870.0
2014-04-28,100885.0
2014-04-29,100895.0
2014-04-30,100925.0
2014-05-02,100935.0
2014-05-07,100945.0
2014-05-08,100965.0
2014-05-09,100970.0
2014-05-12,100975.0
2014-05-13,100980.0
2014-05-14,100995.0
2014-05-15,101010.0
2014-05-16,101020.0
2014-05-19,101025.0
2014-05-20,101030.0
2014-05-21,101040.0
2014-05-22,101055.0
2014-05-23,101065.0
2014-05-26,101075.0
2014-05-27,101080.0
2014-05-28,101085.0
2014-05-29,101105.0
2014-05-30,101110.0
2014-06-02,101120.0
2014-06-03,101155.0
2014-06-05,101160.0
2014-06-09,101170.0
2014-06-10,101175.0
2014-06-11,101175.0
2014-06-12,101205.0
2014-06-13,101215.0
2014-06-16,101220.0
2014-06-17,101225.0
2014-06-18,101230.0
2014-06-19,101250.0
2014-06-20,101260.0
2014-06-23,101260.0
2014-06-24,101270.0
2014-06-25,101280.0
2014-06-26,101300.0
2014-06-27,101305.0
2014-06-30,101320.0
2014-07-01,101320.0
2014-07-02,101340.0
2014-07-03,101355.0
2014-07-04,101365.0
2014-07-07,101370.0
2014-07-08,101370.0
2014-07-09,101385.0
2014-07-10,101410.0
2014-07-11,101420.0
2014-07-14,101425.0
2014-07-15,101430.0
2014-07-16,101445.0
2014-07-17,101465.0
2014-07-18,101480.0
2014-07-21,101475.0
2014-07-22,101490.0
2014-07-23,101505.0
2014-07-24,101520.0
2014-07-25,101525.0
2014-07-28,101535.0
2014-07-29,101585.0
2014-07-30,101545.0
2014-07-31,101570.0
2014-08-01,101575.0
2014-08-04,101585.0
