Date,TIGER 라틴35
2014-01-13,4015.0
2014-01-14,3980.0
2014-01-15,4020.0
2014-01-16,4030.0
2014-01-17,3985.0
2014-01-20,3990.0
2014-01-21,3955.0
2014-01-22,3960.0
2014-01-23,4005.0
2014-01-24,3940.0
2014-01-27,3855.0
2014-01-28,3825.0
2014-01-29,3800.0
2014-02-03,3790.0
2014-02-04,3675.0
2014-02-05,3745.0
2014-02-06,3730.0
2014-02-07,3810.0
2014-02-10,3845.0
2014-02-11,3785.0
2014-02-12,3845.0
2014-02-13,3815.0
2014-02-14,3835.0
2014-02-17,3850.0
2014-02-18,3860.0
2014-02-19,3810.0
2014-02-20,3820.0
2014-02-21,3855.0
2014-02-24,3850.0
2014-02-25,3860.0
2014-02-26,3810.0
2014-02-27,3805.0
2014-02-28,3860.0
2014-03-03,3900.0
2014-03-04,3825.0
2014-03-05,3875.0
2014-03-06,3860.0
2014-03-07,3895.0
2014-03-10,3825.0
2014-03-11,3765.0
2014-03-12,3765.0
2014-03-13,3775.0
2014-03-14,3740.0
2014-03-17,3715.0
2014-03-18,3750.0
2014-03-19,3810.0
2014-03-20,3830.0
2014-03-21,3865.0
2014-03-24,3935.0
2014-03-25,3900.0
2014-03-26,4000.0
2014-03-27,3980.0
2014-03-28,4055.0
2014-03-31,4100.0
2014-04-01,4080.0
2014-04-02,4050.0
2014-04-03,4120.0
2014-04-04,4065.0
2014-04-07,4170.0
2014-04-08,4170.0
2014-04-09,4130.0
2014-04-10,4170.0
2014-04-11,4125.0
2014-04-14,4115.0
2014-04-15,4170.0
2014-04-16,4095.0
2014-04-17,4145.0
2014-04-18,4145.0
2014-04-21,4115.0
2014-04-22,4115.0
2014-04-23,4115.0
2014-04-24,4115.0
2014-04-25,4115.0
2014-04-28,4105.0
2014-04-29,4050.0
2014-04-30,4060.0
2014-05-02,4060.0
2014-05-07,4125.0
2014-05-08,4160.0
2014-05-09,4215.0
2014-05-12,4135.0
2014-05-13,4190.0
2014-05-14,4220.0
2014-05-15,4225.0
2014-05-16,4225.0
2014-05-19,4170.0
2014-05-20,4210.0
2014-05-21,4155.0
2014-05-22,4155.0
2014-05-23,4155.0
2014-05-26,4165.0
2014-05-27,4105.0
2014-05-28,4095.0
2014-05-29,4055.0
2014-05-30,4120.0
2014-06-02,4035.0
2014-06-03,4045.0
2014-06-05,4045.0
2014-06-09,4080.0
2014-06-10,4130.0
2014-06-11,4145.0
2014-06-12,4210.0
2014-06-13,4110.0
2014-06-16,4125.0
2014-06-17,4125.0
2014-06-18,4125.0
2014-06-19,4135.0
2014-06-20,4120.0
2014-06-23,4125.0
2014-06-24,4130.0
2014-06-25,4125.0
2014-06-26,4100.0
2014-06-27,4165.0
2014-06-30,4140.0
2014-07-01,4120.0
2014-07-02,4125.0
2014-07-03,4115.0
2014-07-04,4095.0
2014-07-07,4100.0
2014-07-08,4100.0
2014-07-09,4090.0
2014-07-10,4140.0
2014-07-11,4195.0
2014-07-14,4195.0
2014-07-15,4300.0
2014-07-16,4300.0
2014-07-17,4300.0
2014-07-18,4300.0
2014-07-21,4335.0
2014-07-22,4360.0
2014-07-23,4375.0
2014-07-24,4375.0
2014-07-25,4385.0
2014-07-28,4385.0
2014-07-29,4385.0
2014-07-30,4375.0
2014-07-31,4365.0
2014-08-01,4300.0
2014-08-04,4230.0
2014-08-05,4325.0
2014-08-06,4255.0
2014-08-07,4260.0
2014-08-08,4260.0
2014-08-11,4245.0
2014-08-12,4250.0
2014-08-13,4250.0
2014-08-14,4225.0
2014-08-18,4225.0
2014-08-19,4245.0
2014-08-20,4300.0
2014-08-21,4380.0
2014-08-22,4285.0
