Date,TIGER 레버리지
2014-01-13,10380.0
2014-01-14,10345.0
2014-01-15,10410.0
2014-01-16,10485.0
2014-01-17,10305.0
2014-01-20,10440.0
2014-01-21,10595.0
2014-01-22,10565.0
2014-01-23,10345.0
2014-01-24,10250.0
2014-01-27,10010.0
2014-01-28,10060.0
2014-01-29,10260.0
2014-02-03,9985.0
2014-02-04,9635.0
2014-02-05,9720.0
2014-02-06,9855.0
2014-02-07,10000.0
2014-02-10,10020.0
2014-02-11,10110.0
2014-02-12,10175.0
2014-02-13,10020.0
2014-02-14,10250.0
2014-02-17,10265.0
2014-02-18,10265.0
2014-02-19,10160.0
2014-02-20,10060.0
2014-02-21,10360.0
2014-02-24,10285.0
2014-02-25,10475.0
2014-02-26,10535.0
2014-02-27,10560.0
2014-02-28,10565.0
2014-03-03,10435.0
2014-03-04,10365.0
2014-03-05,10555.0
2014-03-06,10580.0
2014-03-07,10530.0
2014-03-10,10280.0
2014-03-11,10330.0
2014-03-12,10030.0
2014-03-13,10075.0
2014-03-14,9870.0
2014-03-17,9920.0
2014-03-18,10060.0
2014-03-19,10065.0
2014-03-20,9820.0
2014-03-21,9960.0
2014-03-24,10085.0
2014-03-25,10040.0
2014-03-26,10335.0
2014-03-27,10430.0
2014-03-28,10435.0
2014-03-31,10460.0
2014-04-01,10555.0
2014-04-02,10620.0
2014-04-03,10600.0
2014-04-04,10700.0
2014-04-07,10660.0
2014-04-08,10770.0
2014-04-09,10815.0
2014-04-10,10850.0
2014-04-11,10675.0
2014-04-14,10725.0
2014-04-15,10620.0
2014-04-16,10705.0
2014-04-17,10675.0
2014-04-18,10825.0
2014-04-21,10795.0
2014-04-22,10800.0
2014-04-23,10765.0
2014-04-24,10750.0
2014-04-25,10435.0
2014-04-28,10440.0
2014-04-29,10325.0
2014-04-30,10255.0
2014-05-02,10230.0
2014-05-07,10030.0
2014-05-08,10110.0
2014-05-09,10125.0
2014-05-12,10240.0
2014-05-13,10535.0
2014-05-14,10805.0
2014-05-15,10810.0
2014-05-16,10815.0
2014-05-19,10840.0
2014-05-20,10800.0
2014-05-21,10815.0
2014-05-22,10920.0
2014-05-23,10905.0
2014-05-26,10850.0
2014-05-27,10645.0
2014-05-28,10865.0
2014-05-29,10845.0
2014-05-30,10685.0
2014-06-02,10700.0
2014-06-03,10715.0
2014-06-05,10600.0
2014-06-09,10585.0
2014-06-10,10810.0
2014-06-11,10800.0
2014-06-12,10720.0
2014-06-13,10465.0
2014-06-16,10555.0
2014-06-17,10575.0
2014-06-18,10460.0
2014-06-19,10530.0
2014-06-20,10210.0
2014-06-23,10325.0
2014-06-24,10545.0
2014-06-25,10410.0
2014-06-26,10545.0
2014-06-27,10495.0
2014-06-30,10550.0
2014-07-01,10530.0
2014-07-02,10695.0
2014-07-03,10655.0
2014-07-04,10650.0
2014-07-07,10550.0
2014-07-08,10510.0
2014-07-09,10410.0
2014-07-10,10450.0
2014-07-11,10285.0
2014-07-14,10365.0
2014-07-15,10580.0
2014-07-16,10595.0
2014-07-17,10670.0
2014-07-18,10605.0
2014-07-21,10630.0
2014-07-22,10765.0
2014-07-23,10755.0
2014-07-24,10760.0
2014-07-25,10815.0
2014-07-28,11010.0
2014-07-29,11210.0
2014-07-30,11470.0
2014-07-31,11370.0
2014-08-01,11275.0
2014-08-04,11285.0
2014-08-05,11125.0
2014-08-06,11070.0
2014-08-07,10980.0
2014-08-08,10705.0
2014-08-11,10820.0
2014-08-12,10830.0
2014-08-13,10920.0
2014-08-14,10985.0
2014-08-18,10880.0
2014-08-19,11050.0
2014-08-20,11010.0
2014-08-21,10670.0
2014-08-22,10810.0
2014-08-25,10865.0
2014-08-26,10935.0
2014-08-27,10980.0
2014-08-28,10960.0
2014-08-29,10870.0
2014-09-01,10855.0
2014-09-02,10670.0
2014-09-03,10630.0
2014-09-04,10685.0
2014-09-05,10610.0
2014-09-11,10515.0
2014-09-12,10570.0
2014-09-15,10490.0
2014-09-16,10540.0
2014-09-17,10750.0
2014-09-18,10640.0
2014-09-19,10690.0
2014-09-22,10500.0
2014-09-23,10400.0
2014-09-24,10365.0
2014-09-25,10345.0
2014-09-26,10285.0
2014-09-29,10250.0
2014-09-30,10175.0
2014-10-01,9890.0
2014-10-02,9650.0
2014-10-06,9605.0
2014-10-07,9605.0
2014-10-08,9560.0
2014-10-10,9275.0
2014-10-13,9220.0
2014-10-14,9220.0
2014-10-15,9180.0
2014-10-16,9095.0
2014-10-17,8900.0
2014-10-20,9110.0
2014-10-21,8980.0
2014-10-22,9110.0
2014-10-23,9150.0
2014-10-24,9090.0
2014-10-27,9150.0
2014-10-28,9130.0
2014-10-29,9485.0
2014-10-30,9465.0
2014-10-31,9580.0
2014-11-03,9475.0
2014-11-04,9350.0
2014-11-05,9285.0
2014-11-06,9380.0
2014-11-07,9415.0
2014-11-10,9585.0
2014-11-11,9585.0
2014-11-12,9650.0
2014-11-13,9610.0
2014-11-14,9445.0
2014-11-17,9485.0
2014-11-18,9630.0
2014-11-19,9595.0
2014-11-20,9540.0
2014-11-21,9590.0
2014-11-24,9750.0
2014-11-25,9750.0
2014-11-26,9720.0
2014-11-27,9845.0
2014-11-28,9825.0
2014-12-01,9655.0
2014-12-02,9620.0
2014-12-03,9690.0
2014-12-04,9900.0
2014-12-05,9895.0
2014-12-08,9875.0
2014-12-09,9810.0
2014-12-10,9510.0
2014-12-11,9270.0
2014-12-12,9300.0
2014-12-15,9290.0
2014-12-16,9180.0
2014-12-17,9130.0
2014-12-18,9115.0
2014-12-19,9355.0
2014-12-22,9505.0
2014-12-23,9495.0
2014-12-24,9540.0
2014-12-26,9530.0
2014-12-29,9480.0
2014-12-30,9295.0
2015-01-02,9330.0
2015-01-05,9300.0
2015-01-06,8955.0
2015-01-07,8985.0
2015-01-08,9225.0
2015-01-09,9410.0
2015-01-12,9365.0
2015-01-13,9460.0
2015-01-14,9365.0
2015-01-15,9435.0
2015-01-16,9175.0
2015-01-19,9350.0
2015-01-20,9515.0
2015-01-21,9560.0
2015-01-22,9595.0
2015-01-23,9715.0
2015-01-26,9715.0
2015-01-27,9855.0
2015-01-28,9880.0
2015-01-29,9765.0
2015-01-30,9760.0
2015-02-02,9745.0
2015-02-03,9710.0
2015-02-04,9855.0
2015-02-05,9665.0
2015-02-06,9700.0
2015-02-09,9670.0
2015-02-10,9575.0
2015-02-11,9600.0
2015-02-12,9510.0
2015-02-13,9660.0
2015-02-16,9705.0
2015-02-17,9740.0
2015-02-23,9780.0
2015-02-24,9815.0
2015-02-25,9880.0
2015-02-26,9870.0
2015-02-27,9800.0
2015-03-02,9920.0
2015-03-03,10000.0
2015-03-04,10000.0
2015-03-05,10010.0
2015-03-06,10115.0
2015-03-09,9915.0
2015-03-10,9825.0
2015-03-11,9820.0
2015-03-12,9785.0
2015-03-13,9860.0
2015-03-16,9875.0
2015-03-17,10290.0
2015-03-18,10310.0
2015-03-19,10385.0
2015-03-20,10325.0
2015-03-23,10330.0
2015-03-24,10370.0
2015-03-25,10375.0
2015-03-26,10165.0
2015-03-27,10140.0
2015-03-30,10185.0
2015-03-31,10195.0
2015-04-01,10025.0
2015-04-02,10035.0
2015-04-03,10185.0
2015-04-06,10180.0
2015-04-07,10140.0
2015-04-08,10295.0
2015-04-09,10260.0
2015-04-10,10545.0
2015-04-13,10670.0
2015-04-14,10810.0
2015-04-15,10870.0
2015-04-16,11050.0
2015-04-17,11065.0
2015-04-20,11055.0
2015-04-21,11020.0
2015-04-22,11115.0
2015-04-23,11435.0
2015-04-24,11310.0
2015-04-27,11240.0
2015-04-28,11160.0
2015-04-29,11060.0
2015-04-30,10945.0
2015-05-04,11060.0
2015-05-06,10690.0
2015-05-07,10575.0
2015-05-08,10520.0
2015-05-11,10525.0
2015-05-12,10500.0
2015-05-13,10655.0
2015-05-14,10665.0
2015-05-15,10470.0
2015-05-18,10505.0
2015-05-19,10600.0
2015-05-20,10780.0
2015-05-21,10545.0
2015-05-22,10815.0
2015-05-26,10765.0
2015-05-27,10320.0
2015-05-28,10340.0
2015-05-29,10425.0
2015-06-01,10245.0
2015-06-02,10050.0
2015-06-03,9900.0
2015-06-04,9955.0
2015-06-05,9920.0
2015-06-08,9885.0
2015-06-09,9860.0
2015-06-10,9720.0
2015-06-11,9805.0
2015-06-12,9665.0
2015-06-15,9590.0
2015-06-16,9420.0
2015-06-17,9445.0
2015-06-18,9475.0
2015-06-19,9570.0
2015-06-22,9625.0
2015-06-23,9885.0
2015-06-24,9870.0
2015-06-25,9870.0
2015-06-26,9880.0
2015-06-29,9590.0
2015-06-30,9670.0
2015-07-01,9900.0
2015-07-02,9920.0
2015-07-03,9890.0
2015-07-06,9410.0
2015-07-07,9405.0
2015-07-08,9180.0
2015-07-09,9275.0
2015-07-10,9310.0
2015-07-13,9495.0
2015-07-14,9400.0
2015-07-15,9485.0
2015-07-16,9595.0
2015-07-17,9510.0
2015-07-20,9450.0
2015-07-21,9480.0
2015-07-22,9295.0
2015-07-23,9315.0
2015-07-24,9105.0
2015-07-27,9120.0
2015-07-28,9150.0
2015-07-29,9220.0
2015-07-30,9075.0
2015-07-31,9005.0
2015-08-03,8910.0
2015-08-04,8980.0
2015-08-05,9015.0
2015-08-06,8800.0
2015-08-07,8760.0
2015-08-10,8720.0
2015-08-11,8650.0
2015-08-12,8530.0
2015-08-13,8600.0
2015-08-17,8470.0
2015-08-18,8455.0
2015-08-19,8330.0
2015-08-20,8145.0
2015-08-21,7870.0
2015-08-24,7475.0
2015-08-25,7550.0
2015-08-26,7840.0
2015-08-27,7910.0
2015-08-28,8120.0
2015-08-31,8085.0
2015-09-01,7960.0
2015-09-02,7980.0
2015-09-03,8025.0
2015-09-04,7875.0
2015-09-07,7845.0
2015-09-08,7865.0
2015-09-09,8335.0
2015-09-10,8335.0
2015-09-11,8215.0
2015-09-14,8180.0
2015-09-15,8200.0
2015-09-16,8590.0
2015-09-17,8665.0
2015-09-18,8750.0
2015-09-21,8470.0
2015-09-22,8555.0
2015-09-23,8355.0
2015-09-24,8320.0
2015-09-25,8295.0
2015-09-30,8445.0
2015-10-01,8635.0
2015-10-02,8490.0
2015-10-05,8525.0
2015-10-06,8695.0
2015-10-07,8920.0
2015-10-08,9080.0
2015-10-12,9170.0
2015-10-13,9160.0
2015-10-14,9085.0
2015-10-15,9280.0
2015-10-16,9255.0
2015-10-19,9250.0
2015-10-20,9305.0
2015-10-21,9385.0
2015-10-22,9260.0
2015-10-23,9410.0
2015-10-26,9465.0
2015-10-27,9440.0
2015-10-28,9440.0
2015-10-29,9400.0
2015-10-30,9440.0
2015-11-02,9445.0
2015-11-03,9615.0
2015-11-04,9595.0
2015-11-05,9590.0
2015-11-06,9475.0
2015-11-09,9395.0
2015-11-10,9130.0
2015-11-11,9115.0
2015-11-12,9125.0
2015-11-13,8885.0
2015-11-16,8665.0
2015-11-17,8810.0
2015-11-18,8760.0
2015-11-19,9000.0
2015-11-20,9015.0
2015-11-23,9135.0
2015-11-24,9210.0
2015-11-25,9215.0
2015-11-26,9410.0
2015-11-27,9375.0
2015-11-30,9035.0
2015-12-01,9295.0
2015-12-02,9155.0
2015-12-03,8995.0
2015-12-04,8815.0
2015-12-07,8745.0
2015-12-08,8660.0
2015-12-09,8660.0
2015-12-10,8745.0
2015-12-11,8715.0
2015-12-14,8555.0
2015-12-15,8615.0
2015-12-16,8935.0
2015-12-17,8910.0
2015-12-18,8900.0
2015-12-21,8975.0
2015-12-22,9000.0
2015-12-23,9130.0
2015-12-24,9085.0
2015-12-28,8800.0
2015-12-29,8955.0
2015-12-30,8915.0
2016-01-04,8505.0
2016-01-05,8600.0
2016-01-06,8490.0
2016-01-07,8320.0
2016-01-08,8425.0
2016-01-11,8250.0
2016-01-12,8195.0
2016-01-13,8435.0
2016-01-14,8295.0
2016-01-15,8110.0
2016-01-18,8075.0
2016-01-19,8160.0
2016-01-20,7780.0
2016-01-21,7745.0
2016-01-22,8065.0
2016-01-25,8185.0
2016-01-26,7965.0
2016-01-27,8180.0
2016-01-28,8195.0
2016-01-29,8235.0
2016-02-01,8355.0
2016-02-02,8250.0
2016-02-03,8055.0
2016-02-04,8340.0
2016-02-05,8370.0
2016-02-11,7935.0
2016-02-12,7805.0
2016-02-15,8020.0
2016-02-16,8245.0
2016-02-17,8260.0
2016-02-18,8410.0
2016-02-19,8455.0
2016-02-22,8470.0
2016-02-23,8470.0
2016-02-24,8455.0
2016-02-25,8490.0
2016-02-26,8495.0
2016-02-29,8495.0
2016-03-02,8710.0
2016-03-03,8795.0
2016-03-04,8805.0
2016-03-07,8835.0
2016-03-08,8700.0
2016-03-09,8760.0
2016-03-10,8940.0
2016-03-11,8965.0
2016-03-14,8970.0
2016-03-15,8950.0
2016-03-16,8995.0
2016-03-17,9095.0
2016-03-18,9100.0
2016-03-21,9100.0
2016-03-22,9165.0
2016-03-23,9155.0
2016-03-24,9125.0
2016-03-25,9110.0
2016-03-28,9110.0
2016-03-29,9195.0
2016-03-30,9280.0
2016-03-31,9210.0
2016-04-01,8970.0
2016-04-04,8990.0
2016-04-05,8845.0
2016-04-06,8935.0
2016-04-07,8920.0
2016-04-08,8895.0
2016-04-11,8920.0
2016-04-12,9020.0
2016-04-14,9400.0
2016-04-15,9390.0
2016-04-18,9330.0
2016-04-19,9365.0
2016-04-20,9310.0
2016-04-21,9455.0
2016-04-22,9370.0
2016-04-25,9345.0
2016-04-26,9425.0
2016-04-27,9415.0
2016-04-28,9235.0
2016-04-29,9145.0
2016-05-02,9020.0
2016-05-03,9070.0
2016-05-04,8975.0
2016-05-09,8930.0
2016-05-10,9000.0
2016-05-11,8970.0
2016-05-12,8955.0
2016-05-13,8795.0
2016-05-16,8815.0
2016-05-17,8815.0
2016-05-18,8725.0
2016-05-19,8680.0
2016-05-20,8675.0
2016-05-23,8725.0
2016-05-24,8600.0
2016-05-25,8825.0
2016-05-26,8810.0
2016-05-27,8880.0
2016-05-30,8845.0
2016-05-31,8965.0
2016-06-01,9000.0
2016-06-02,9025.0
2016-06-03,9055.0
2016-06-07,9305.0
2016-06-08,9465.0
2016-06-09,9455.0
2016-06-10,9395.0
2016-06-13,9035.0
2016-06-14,8965.0
2016-06-15,8945.0
2016-06-16,8835.0
2016-06-17,8845.0
2016-06-20,9090.0
2016-06-21,9075.0
2016-06-22,9175.0
2016-06-23,9180.0
2016-06-24,8585.0
2016-06-27,8635.0
2016-06-28,8690.0
2016-06-29,8885.0
2016-06-30,8980.0
2016-07-01,9175.0
2016-07-04,9225.0
2016-07-05,9190.0
2016-07-06,8845.0
2016-07-07,9020.0
2016-07-08,8940.0
2016-07-11,9210.0
2016-07-12,9195.0
2016-07-13,9330.0
2016-07-14,9340.0
2016-07-15,9445.0
2016-07-18,9480.0
2016-07-19,9460.0
2016-07-20,9410.0
2016-07-21,9440.0
2016-07-22,9420.0
2016-07-25,9430.0
2016-07-26,9615.0
2016-07-27,9585.0
2016-07-28,9530.0
2016-07-29,9560.0
2016-08-01,9680.0
2016-08-02,9530.0
2016-08-03,9325.0
2016-08-04,9350.0
2016-08-05,9540.0
2016-08-08,9685.0
2016-08-09,9855.0
2016-08-10,9780.0
2016-08-11,9795.0
2016-08-12,9845.0
2016-08-16,9860.0
2016-08-17,9830.0
2016-08-18,9985.0
2016-08-19,10030.0
2016-08-22,9915.0
2016-08-23,10000.0
2016-08-24,9915.0
2016-08-25,9930.0
2016-08-26,9885.0
2016-08-29,9870.0
2016-08-30,9965.0
2016-08-31,9885.0
2016-09-01,9835.0
2016-09-02,9870.0
2016-09-05,10100.0
2016-09-06,10190.0
2016-09-07,10145.0
2016-09-08,10150.0
2016-09-09,9905.0
2016-09-12,9405.0
2016-09-13,9475.0
2016-09-19,9655.0
2016-09-20,9685.0
2016-09-21,9790.0
2016-09-22,9955.0
2016-09-23,9950.0
2016-09-26,9920.0
2016-09-27,10050.0
2016-09-28,9980.0
2016-09-29,10120.0
2016-09-30,9900.0
2016-10-04,10025.0
2016-10-05,10025.0
2016-10-06,10150.0
2016-10-07,10080.0
2016-10-10,10130.0
2016-10-11,9825.0
2016-10-12,9825.0
2016-10-13,9645.0
2016-10-14,9730.0
2016-10-17,9775.0
2016-10-18,9900.0
2016-10-19,9905.0
2016-10-20,9940.0
2016-10-21,9865.0
2016-10-24,9990.0
2016-10-25,9960.0
2016-10-26,9720.0
2016-10-27,9815.0
2016-10-28,9815.0
2016-10-31,9795.0
2016-11-01,9755.0
2016-11-02,9525.0
2016-11-03,9565.0
2016-11-04,9520.0
2016-11-07,9690.0
2016-11-08,9720.0
2016-11-09,9330.0
2016-11-10,9670.0
2016-11-11,9495.0
2016-11-14,9350.0
2016-11-15,9270.0
2016-11-16,9340.0
2016-11-17,9325.0
2016-11-18,9320.0
2016-11-21,9280.0
2016-11-22,9480.0
2016-11-23,9565.0
2016-11-24,9470.0
2016-11-25,9465.0
2016-11-28,9530.0
2016-11-29,9515.0
2016-11-30,9620.0
2016-12-01,9640.0
2016-12-02,9510.0
2016-12-05,9490.0
2016-12-06,9695.0
2016-12-07,9740.0
2016-12-08,10055.0
2016-12-09,10100.0
2016-12-12,10065.0
2016-12-13,10105.0
2016-12-14,10115.0
2016-12-15,10125.0
2016-12-16,10145.0
2016-12-19,10155.0
2016-12-20,10190.0
2016-12-21,10175.0
2016-12-22,10190.0
2016-12-23,10145.0
2016-12-26,10175.0
2016-12-27,10170.0
2016-12-28,10245.0
2016-12-29,10275.0
2017-01-02,10340.0
2017-01-03,10525.0
2017-01-04,10530.0
2017-01-05,10460.0
2017-01-06,10530.0
2017-01-09,10620.0
2017-01-10,10585.0
2017-01-11,10940.0
2017-01-12,11000.0
2017-01-13,10955.0
2017-01-16,10855.0
2017-01-17,10910.0
2017-01-18,10920.0
2017-01-19,10940.0
2017-01-20,10895.0
2017-01-23,10865.0
2017-01-24,10905.0
2017-01-25,10955.0
