Date,TIGER 로우볼
2014-01-13,11840.0
2014-01-14,11730.0
2014-01-15,11755.0
2014-01-16,11810.0
2014-01-17,11780.0
2014-01-20,11700.0
2014-01-21,11730.0
2014-01-22,11730.0
2014-01-23,11695.0
2014-01-24,11575.0
2014-01-27,11500.0
2014-01-28,11530.0
2014-01-29,11710.0
2014-02-03,11595.0
2014-02-04,11475.0
2014-02-05,11475.0
2014-02-06,11515.0
2014-02-07,11660.0
2014-02-10,11630.0
2014-02-11,11620.0
2014-02-12,11610.0
2014-02-13,11595.0
2014-02-14,11590.0
2014-02-17,11675.0
2014-02-18,11670.0
2014-02-19,11630.0
2014-02-20,11600.0
2014-02-21,11610.0
2014-02-24,11555.0
2014-02-25,11645.0
2014-02-26,11700.0
2014-02-27,11720.0
2014-02-28,11755.0
2014-03-03,11745.0
2014-03-04,11710.0
2014-03-05,11725.0
2014-03-06,11820.0
2014-03-07,11805.0
2014-03-10,11695.0
2014-03-11,11820.0
2014-03-12,11680.0
2014-03-13,11825.0
2014-03-14,11755.0
2014-03-17,11785.0
2014-03-18,11865.0
2014-03-19,11835.0
2014-03-20,11835.0
2014-03-21,11880.0
2014-03-24,11915.0
2014-03-25,11890.0
2014-03-26,11990.0
2014-03-27,12090.0
2014-03-28,12040.0
2014-03-31,12040.0
2014-04-01,12040.0
2014-04-02,12030.0
2014-04-03,11930.0
2014-04-04,11930.0
2014-04-07,11920.0
2014-04-08,11920.0
2014-04-09,12070.0
2014-04-10,12175.0
2014-04-11,12160.0
2014-04-14,12220.0
2014-04-15,12245.0
2014-04-16,12220.0
2014-04-17,12125.0
2014-04-18,12185.0
2014-04-21,12165.0
2014-04-22,12220.0
2014-04-23,12165.0
2014-04-24,12130.0
2014-04-25,12025.0
2014-04-28,12075.0
2014-04-29,11905.0
2014-04-30,12035.0
2014-05-02,11950.0
2014-05-07,11910.0
2014-05-08,11970.0
2014-05-09,12040.0
2014-05-12,11975.0
2014-05-13,12050.0
2014-05-14,12160.0
2014-05-15,12210.0
2014-05-16,12215.0
2014-05-19,12205.0
2014-05-20,12195.0
2014-05-21,12130.0
2014-05-22,12195.0
2014-05-23,12250.0
2014-05-26,12220.0
2014-05-27,12175.0
2014-05-28,12205.0
2014-05-29,12135.0
