Date,TIGER 모멘텀
2014-01-13,19270.0
2014-01-14,19300.0
2014-01-15,19345.0
2014-01-16,19440.0
2014-01-17,19310.0
2014-01-20,19335.0
2014-01-21,19325.0
2014-01-22,19340.0
2014-01-23,19375.0
2014-01-24,18965.0
2014-01-27,18770.0
2014-01-28,19000.0
2014-01-29,19215.0
2014-02-03,19035.0
2014-02-04,18780.0
2014-02-05,18765.0
2014-02-06,19025.0
2014-02-07,18905.0
2014-02-10,19105.0
2014-02-11,19020.0
2014-02-12,19030.0
2014-02-13,19045.0
2014-02-14,19100.0
2014-02-17,19270.0
2014-02-18,19220.0
2014-02-19,19145.0
2014-02-20,19140.0
2014-02-21,19005.0
2014-02-24,18950.0
2014-02-25,19100.0
2014-02-26,19100.0
2014-02-27,19185.0
2014-02-28,19280.0
2014-03-03,19265.0
2014-03-04,19135.0
2014-03-05,19215.0
2014-03-06,19370.0
2014-03-07,19355.0
2014-03-10,19190.0
2014-03-11,19350.0
2014-03-12,19065.0
2014-03-13,19210.0
2014-03-14,19160.0
2014-03-17,19265.0
2014-03-18,19385.0
2014-03-19,19350.0
2014-03-20,19165.0
2014-03-21,19300.0
2014-03-24,19415.0
2014-03-25,19325.0
2014-03-26,19165.0
2014-03-27,19265.0
2014-03-28,19440.0
2014-03-31,19370.0
2014-04-01,19500.0
2014-04-02,19520.0
2014-04-03,19470.0
2014-04-04,19430.0
2014-04-07,19240.0
2014-04-08,19190.0
2014-04-09,19200.0
2014-04-10,19560.0
2014-04-11,19555.0
2014-04-14,19535.0
2014-04-15,19555.0
2014-04-16,19520.0
2014-04-17,19520.0
2014-04-18,19600.0
2014-04-21,19550.0
2014-04-22,19550.0
2014-04-23,19620.0
2014-04-24,19520.0
2014-04-25,19230.0
2014-04-28,19215.0
2014-04-29,19295.0
2014-04-30,19360.0
2014-05-02,19260.0
2014-05-07,19215.0
2014-05-08,19020.0
2014-05-09,19315.0
2014-05-12,19500.0
2014-05-13,19505.0
2014-05-14,19785.0
2014-05-15,19890.0
2014-05-16,19675.0
2014-05-19,19645.0
2014-05-20,19645.0
2014-05-21,19645.0
2014-05-22,19725.0
2014-05-23,19930.0
2014-05-26,19875.0
2014-05-27,19875.0
2014-05-28,20120.0
2014-05-29,19915.0
2014-05-30,20085.0
2014-06-02,19900.0
2014-06-03,20000.0
2014-06-05,19870.0
2014-06-09,20000.0
2014-06-10,20015.0
2014-06-11,20185.0
2014-06-12,20170.0
2014-06-13,20135.0
2014-06-16,20155.0
2014-06-17,20155.0
2014-06-18,20120.0
2014-06-19,20250.0
2014-06-20,20380.0
2014-06-23,20305.0
