Date,TIGER 미국S&P500선물(H)
2014-01-13,20255.0
2014-01-14,20000.0
2014-01-15,20210.0
2014-01-16,20310.0
2014-01-17,20265.0
2014-01-20,20215.0
2014-01-21,20245.0
2014-01-22,20255.0
2014-01-23,20260.0
2014-01-24,20130.0
2014-01-27,19705.0
2014-01-28,19590.0
2014-01-29,19785.0
2014-02-03,19665.0
2014-02-04,19175.0
2014-02-05,19255.0
2014-02-06,19285.0
2014-02-07,19500.0
2014-02-10,19770.0
2014-02-11,19835.0
2014-02-12,20025.0
2014-02-13,20000.0
2014-02-14,20090.0
2014-02-17,20240.0
2014-02-18,20240.0
2014-02-19,20220.0
2014-02-20,20170.0
2014-02-21,20315.0
2014-02-24,20205.0
2014-02-25,20335.0
2014-02-26,20385.0
2014-02-27,20360.0
2014-02-28,20460.0
2014-03-03,20335.0
2014-03-04,20360.0
2014-03-05,20640.0
2014-03-06,20740.0
2014-03-07,20715.0
2014-03-10,20695.0
2014-03-11,20725.0
2014-03-12,20600.0
2014-03-13,20655.0
2014-03-14,20410.0
2014-03-17,20300.0
2014-03-18,20535.0
2014-03-19,20695.0
2014-03-20,20495.0
2014-03-21,20695.0
2014-03-24,20645.0
2014-03-25,20525.0
2014-03-26,20670.0
2014-03-27,20485.0
2014-03-28,20450.0
2014-03-31,20605.0
2014-04-01,20685.0
2014-04-02,20830.0
2014-04-03,20865.0
2014-04-04,20900.0
2014-04-07,20635.0
2014-04-08,20425.0
2014-04-09,20465.0
2014-04-10,20680.0
2014-04-11,20280.0
2014-04-14,20100.0
2014-04-15,20250.0
2014-04-16,20440.0
2014-04-17,20530.0
2014-04-18,20650.0
2014-04-21,20655.0
2014-04-22,20725.0
2014-04-23,20830.0
2014-04-24,20850.0
2014-04-25,20775.0
2014-04-28,20670.0
2014-04-29,20770.0
2014-04-30,20740.0
2014-05-02,20845.0
2014-05-07,20705.0
2014-05-08,20795.0
2014-05-09,20775.0
2014-05-12,20850.0
2014-05-13,21085.0
2014-05-14,21070.0
2014-05-15,20975.0
2014-05-16,20780.0
2014-05-19,20880.0
2014-05-20,20900.0
2014-05-21,20800.0
2014-05-22,20935.0
2014-05-23,21035.0
2014-05-26,21100.0
2014-05-27,21185.0
2014-05-28,21255.0
2014-05-29,21265.0
2014-05-30,21345.0
2014-06-02,21380.0
2014-06-03,21390.0
2014-06-05,21415.0
2014-06-09,21670.0
2014-06-10,21665.0
2014-06-11,21705.0
2014-06-12,21620.0
2014-06-13,21515.0
2014-06-16,21485.0
2014-06-17,21575.0
2014-06-18,21625.0
2014-06-19,21800.0
2014-06-20,21800.0
2014-06-23,21860.0
2014-06-24,21795.0
2014-06-25,21735.0
2014-06-26,21810.0
2014-06-27,21790.0
2014-06-30,21835.0
2014-07-01,21840.0
2014-07-02,22005.0
2014-07-03,21975.0
2014-07-04,22075.0
2014-07-07,22085.0
2014-07-08,22020.0
2014-07-09,21915.0
2014-07-10,21955.0
2014-07-11,21885.0
2014-07-14,21955.0
