Date,TIGER 미국나스닥100
2014-01-13,16755.0
2014-01-14,16480.0
2014-01-15,16915.0
2014-01-16,17110.0
2014-01-17,17035.0
2014-01-20,16975.0
2014-01-21,16970.0
2014-01-22,17110.0
2014-01-23,17270.0
2014-01-24,17310.0
2014-01-27,17070.0
2014-01-28,16685.0
2014-01-29,16795.0
2014-02-03,16990.0
2014-02-04,16705.0
2014-02-05,16565.0
2014-02-06,16545.0
2014-02-07,16710.0
2014-02-10,16995.0
2014-02-11,17080.0
2014-02-12,17145.0
2014-02-13,17130.0
2014-02-14,17215.0
2014-02-17,17260.0
2014-02-18,17285.0
2014-02-19,17360.0
2014-02-20,17325.0
2014-02-21,17525.0
2014-02-24,17520.0
2014-02-25,17515.0
2014-02-26,17555.0
2014-02-27,17490.0
2014-02-28,17500.0
2014-03-03,17500.0
2014-03-04,17495.0
2014-03-05,17675.0
2014-03-06,17705.0
2014-03-07,17575.0
2014-03-10,17430.0
2014-03-11,17495.0
2014-03-12,17480.0
2014-03-13,17610.0
2014-03-14,17440.0
2014-03-17,17255.0
2014-03-18,17370.0
2014-03-19,17570.0
2014-03-20,17555.0
2014-03-21,17770.0
2014-03-24,17535.0
2014-03-25,17350.0
2014-03-26,17410.0
2014-03-27,17170.0
2014-03-28,16965.0
2014-03-31,17045.0
2014-04-01,16945.0
2014-04-02,17155.0
2014-04-03,17250.0
2014-04-04,17160.0
2014-04-07,16545.0
2014-04-08,16505.0
2014-04-09,16470.0
2014-04-10,16610.0
2014-04-11,16155.0
2014-04-14,15940.0
2014-04-15,16060.0
2014-04-16,16210.0
2014-04-17,16275.0
2014-04-18,16480.0
2014-04-21,16370.0
2014-04-22,16405.0
2014-04-23,16535.0
2014-04-24,16630.0
2014-04-25,16590.0
2014-04-28,16335.0
2014-04-29,16325.0
2014-04-30,16335.0
2014-05-02,16455.0
2014-05-07,16250.0
2014-05-08,16165.0
2014-05-09,16070.0
2014-05-12,16280.0
2014-05-13,16490.0
2014-05-14,16445.0
2014-05-15,16415.0
2014-05-16,16335.0
2014-05-19,16380.0
2014-05-20,16440.0
2014-05-21,16415.0
2014-05-22,16570.0
2014-05-23,16620.0
2014-05-26,16805.0
2014-05-27,16840.0
2014-05-28,16980.0
2014-05-29,16925.0
2014-05-30,16910.0
2014-06-02,17010.0
2014-06-03,17000.0
2014-06-05,17050.0
2014-06-09,17210.0
2014-06-10,17200.0
2014-06-11,17170.0
2014-06-12,17180.0
2014-06-13,17065.0
2014-06-16,17080.0
2014-06-17,17200.0
2014-06-18,17265.0
2014-06-19,17210.0
2014-06-20,17250.0
2014-06-23,17260.0
2014-06-24,17240.0
2014-06-25,17205.0
2014-06-26,17315.0
2014-06-27,17270.0
2014-06-30,17320.0
2014-07-01,17350.0
2014-07-02,17495.0
2014-07-03,17490.0
2014-07-04,17580.0
2014-07-07,17640.0
2014-07-08,17630.0
2014-07-09,17445.0
2014-07-10,17550.0
2014-07-11,17555.0
