Date,TIGER 반도체
2014-01-13,17725.0
2014-01-14,17630.0
2014-01-15,17450.0
2014-01-16,17605.0
2014-01-17,17635.0
2014-01-20,17880.0
2014-01-21,17855.0
2014-01-22,18030.0
2014-01-23,17855.0
2014-01-24,17825.0
2014-01-27,17470.0
2014-01-28,17725.0
2014-01-29,17920.0
2014-02-03,17945.0
2014-02-04,17590.0
2014-02-05,17455.0
2014-02-06,17780.0
2014-02-07,18005.0
2014-02-10,18010.0
2014-02-11,18120.0
2014-02-12,18285.0
2014-02-13,18120.0
2014-02-14,18185.0
2014-02-17,18090.0
2014-02-18,18200.0
2014-02-19,18285.0
2014-02-20,18100.0
2014-02-21,18435.0
2014-02-24,18295.0
2014-02-25,18335.0
2014-02-26,18475.0
2014-02-27,18295.0
2014-02-28,18340.0
2014-03-03,18225.0
2014-03-04,18325.0
2014-03-05,18495.0
2014-03-06,18495.0
2014-03-07,18550.0
2014-03-10,18395.0
2014-03-11,18460.0
2014-03-12,18300.0
2014-03-13,18380.0
2014-03-14,18240.0
2014-03-17,18010.0
2014-03-18,18010.0
2014-03-19,18210.0
2014-03-20,18125.0
2014-03-21,18420.0
2014-03-24,18385.0
2014-03-25,18030.0
2014-03-26,18315.0
2014-03-27,18145.0
2014-03-28,18210.0
2014-03-31,18075.0
2014-04-01,18505.0
2014-04-02,18680.0
2014-04-03,18660.0
2014-04-04,18710.0
2014-04-07,18625.0
2014-04-08,18600.0
2014-04-09,18535.0
2014-04-10,18600.0
2014-04-11,18475.0
2014-04-14,18525.0
2014-04-15,18700.0
2014-04-16,18615.0
2014-04-17,18470.0
2014-04-18,19065.0
2014-04-21,19085.0
2014-04-22,19145.0
2014-04-23,19315.0
2014-04-24,19180.0
2014-04-25,18990.0
2014-04-28,18885.0
2014-04-29,18690.0
2014-04-30,18805.0
2014-05-02,18645.0
2014-05-07,18435.0
2014-05-08,18250.0
2014-05-09,18340.0
2014-05-12,18600.0
2014-05-13,18880.0
2014-05-14,18970.0
2014-05-15,18800.0
2014-05-16,18770.0
2014-05-19,18580.0
2014-05-20,18685.0
2014-05-21,18660.0
2014-05-22,18700.0
2014-05-23,18785.0
2014-05-26,18925.0
2014-05-27,18850.0
2014-05-28,19070.0
2014-05-29,19130.0
2014-05-30,19045.0
2014-06-02,19005.0
2014-06-03,18995.0
2014-06-05,18930.0
2014-06-09,18835.0
2014-06-10,19210.0
2014-06-11,19095.0
2014-06-12,19000.0
2014-06-13,18880.0
2014-06-16,19120.0
2014-06-17,19415.0
2014-06-18,19335.0
2014-06-19,19345.0
2014-06-20,19020.0
2014-06-23,18880.0
2014-06-24,19035.0
2014-06-25,18925.0
2014-06-26,18675.0
2014-06-27,18540.0
2014-06-30,18660.0
2014-07-01,19065.0
2014-07-02,19280.0
2014-07-03,19430.0
2014-07-04,19235.0
2014-07-07,19270.0
2014-07-08,19395.0
2014-07-09,19380.0
2014-07-10,19345.0
2014-07-11,19080.0
2014-07-14,19120.0
2014-07-15,19340.0
2014-07-16,19300.0
2014-07-17,19490.0
2014-07-18,19315.0
2014-07-21,19370.0
2014-07-22,19500.0
2014-07-23,19300.0
2014-07-24,19150.0
2014-07-25,19000.0
2014-07-28,18810.0
2014-07-29,18310.0
2014-07-30,18540.0
2014-07-31,17865.0
2014-08-01,17900.0
2014-08-04,18295.0
2014-08-05,18130.0
2014-08-06,17720.0
2014-08-07,17710.0
2014-08-08,17320.0
2014-08-11,17540.0
2014-08-12,17480.0
2014-08-13,17610.0
2014-08-14,17670.0
2014-08-18,17760.0
2014-08-19,17595.0
2014-08-20,17840.0
2014-08-21,17905.0
2014-08-22,17970.0
2014-08-25,18100.0
2014-08-26,17945.0
2014-08-27,17930.0
2014-08-28,17900.0
2014-08-29,18000.0
2014-09-01,17765.0
2014-09-02,17575.0
2014-09-03,17135.0
2014-09-04,17355.0
2014-09-05,17450.0
2014-09-11,17640.0
2014-09-12,17760.0
2014-09-15,17440.0
2014-09-16,17465.0
2014-09-17,17675.0
2014-09-18,17495.0
2014-09-19,17560.0
2014-09-22,17290.0
2014-09-23,17060.0
2014-09-24,17130.0
2014-09-25,17220.0
2014-09-26,17330.0
2014-09-29,17495.0
2014-09-30,17210.0
2014-10-01,16850.0
2014-10-02,16925.0
2014-10-06,17025.0
2014-10-07,17040.0
2014-10-08,17040.0
2014-10-10,16885.0
2014-10-13,16310.0
2014-10-14,16740.0
2014-10-15,16835.0
2014-10-16,16585.0
2014-10-17,16285.0
2014-10-20,16565.0
2014-10-21,16730.0
2014-10-22,17075.0
2014-10-23,17075.0
2014-10-24,16845.0
2014-10-27,16740.0
2014-10-28,16830.0
2014-10-29,16945.0
2014-10-30,17325.0
2014-10-31,17725.0
2014-11-03,17505.0
2014-11-04,17205.0
2014-11-05,17225.0
2014-11-06,17290.0
2014-11-07,17365.0
2014-11-10,17710.0
2014-11-11,17710.0
2014-11-12,17745.0
2014-11-13,17620.0
2014-11-14,17570.0
2014-11-17,17105.0
2014-11-18,17170.0
2014-11-19,17360.0
2014-11-20,17460.0
2014-11-21,17390.0
2014-11-24,17510.0
2014-11-25,17725.0
2014-11-26,17845.0
2014-11-27,18050.0
2014-11-28,18060.0
2014-12-01,18010.0
2014-12-02,17910.0
2014-12-03,18025.0
2014-12-04,18230.0
2014-12-05,18265.0
2014-12-08,18380.0
2014-12-09,18445.0
2014-12-10,18300.0
2014-12-11,18000.0
2014-12-12,17870.0
2014-12-15,17695.0
2014-12-16,17630.0
2014-12-17,17620.0
2014-12-18,17600.0
2014-12-19,18200.0
2014-12-22,18375.0
2014-12-23,18565.0
2014-12-24,18530.0
2014-12-26,18520.0
2014-12-29,18940.0
2014-12-30,18940.0
2015-01-02,19115.0
2015-01-05,19050.0
2015-01-06,18765.0
2015-01-07,18965.0
2015-01-08,19270.0
2015-01-09,19655.0
2015-01-12,19575.0
2015-01-13,19345.0
2015-01-14,19380.0
2015-01-15,19350.0
2015-01-16,19125.0
2015-01-19,19120.0
2015-01-20,19190.0
2015-01-21,19535.0
2015-01-22,19450.0
2015-01-23,19560.0
2015-01-26,19635.0
2015-01-27,19635.0
2015-01-28,19500.0
2015-01-29,19390.0
2015-01-30,19355.0
2015-02-02,19115.0
2015-02-03,19090.0
2015-02-04,19235.0
2015-02-05,18935.0
2015-02-06,18985.0
2015-02-09,19005.0
2015-02-10,19065.0
2015-02-11,19335.0
2015-02-12,19390.0
2015-02-13,19500.0
2015-02-16,19450.0
2015-02-17,19485.0
2015-02-23,19585.0
2015-02-24,19780.0
2015-02-25,19640.0
2015-02-26,19615.0
2015-02-27,19735.0
2015-03-02,20025.0
2015-03-03,20060.0
2015-03-04,20200.0
2015-03-05,20255.0
2015-03-06,20490.0
