Date,TIGER 방송통신
2014-01-13,9240.0
2014-01-14,9215.0
2014-01-15,9225.0
2014-01-16,9195.0
2014-01-17,9150.0
2014-01-20,9090.0
2014-01-21,9090.0
2014-01-22,9090.0
2014-01-23,8985.0
2014-01-24,8935.0
2014-01-27,8745.0
2014-01-28,8980.0
2014-01-29,9085.0
2014-02-03,9130.0
2014-02-04,8925.0
2014-02-05,8815.0
2014-02-06,8815.0
2014-02-07,8810.0
2014-02-10,8780.0
2014-02-11,8775.0
2014-02-12,8790.0
2014-02-13,8705.0
2014-02-14,8570.0
2014-02-17,8610.0
2014-02-18,8705.0
2014-02-19,8745.0
2014-02-20,8755.0
2014-02-21,8750.0
2014-02-24,8700.0
2014-02-25,8820.0
2014-02-26,8895.0
2014-02-27,8850.0
2014-02-28,8800.0
2014-03-03,8800.0
2014-03-04,8700.0
2014-03-05,8700.0
2014-03-06,8700.0
2014-03-07,8700.0
2014-03-10,8700.0
2014-03-11,8720.0
2014-03-12,8660.0
2014-03-13,8830.0
2014-03-14,8910.0
2014-03-17,8785.0
2014-03-18,8845.0
2014-03-19,8775.0
2014-03-20,8700.0
2014-03-21,8670.0
2014-03-24,8695.0
2014-03-25,8650.0
2014-03-26,8760.0
2014-03-27,8880.0
2014-03-28,8885.0
2014-03-31,8885.0
2014-04-01,8880.0
2014-04-02,8705.0
2014-04-03,8550.0
2014-04-04,8630.0
2014-04-07,8555.0
2014-04-08,8815.0
2014-04-09,8890.0
2014-04-10,8815.0
2014-04-11,8830.0
2014-04-14,8850.0
2014-04-15,8835.0
2014-04-16,8800.0
2014-04-17,8805.0
2014-04-18,8875.0
2014-04-21,8890.0
2014-04-22,8950.0
2014-04-23,8950.0
2014-04-24,8925.0
2014-04-25,8920.0
2014-04-28,8960.0
2014-04-29,8825.0
2014-04-30,8895.0
2014-05-02,8945.0
2014-05-07,8805.0
2014-05-08,8825.0
2014-05-09,8840.0
2014-05-12,8930.0
2014-05-13,8880.0
2014-05-14,8875.0
2014-05-15,8855.0
2014-05-16,8845.0
2014-05-19,8805.0
2014-05-20,8870.0
2014-05-21,8870.0
2014-05-22,8860.0
2014-05-23,8835.0
2014-05-26,8850.0
2014-05-27,8830.0
2014-05-28,8710.0
2014-05-29,8545.0
2014-05-30,8490.0
2014-06-02,8495.0
2014-06-03,8415.0
2014-06-05,8200.0
2014-06-09,8340.0
2014-06-10,8380.0
2014-06-11,8395.0
2014-06-12,8415.0
2014-06-13,8380.0
2014-06-16,8375.0
2014-06-17,8445.0
2014-06-18,8520.0
2014-06-19,8720.0
2014-06-20,8595.0
2014-06-23,8500.0
2014-06-24,8565.0
2014-06-25,8615.0
2014-06-26,8545.0
2014-06-27,8540.0
2014-06-30,8560.0
2014-07-01,8710.0
2014-07-02,8765.0
2014-07-03,8785.0
2014-07-04,8830.0
2014-07-07,8840.0
2014-07-08,8685.0
2014-07-09,8660.0
2014-07-10,8625.0
2014-07-11,8590.0
2014-07-14,8590.0
2014-07-15,8590.0
2014-07-16,8480.0
2014-07-17,8515.0
2014-07-18,8510.0
2014-07-21,8535.0
2014-07-22,8555.0
2014-07-23,8510.0
2014-07-24,8460.0
2014-07-25,8450.0
2014-07-28,8510.0
2014-07-29,8540.0
2014-07-30,8865.0
2014-07-31,9000.0
2014-08-01,9025.0
2014-08-04,9145.0
2014-08-05,9175.0
2014-08-06,9180.0
2014-08-07,9165.0
2014-08-08,9245.0
