Date,TIGER 베타플러스
2014-01-13,11480.0
2014-01-14,11460.0
2014-01-15,11450.0
2014-01-16,11525.0
2014-01-17,11435.0
2014-01-20,11445.0
2014-01-21,11575.0
2014-01-22,11595.0
2014-01-23,11435.0
2014-01-24,11320.0
2014-01-27,11305.0
2014-01-28,11355.0
2014-01-29,11485.0
2014-02-03,11335.0
2014-02-04,11105.0
2014-02-05,11190.0
2014-02-06,11335.0
2014-02-07,11425.0
2014-02-10,11445.0
2014-02-11,11480.0
2014-02-12,11510.0
2014-02-13,11475.0
2014-02-14,11550.0
2014-02-17,11565.0
2014-02-18,11545.0
2014-02-19,11425.0
2014-02-20,11405.0
2014-02-21,11575.0
2014-02-24,11590.0
2014-02-25,11675.0
2014-02-26,11795.0
2014-02-27,11855.0
2014-02-28,11880.0
2014-03-03,11880.0
2014-03-04,11805.0
2014-03-05,11935.0
2014-03-06,11890.0
2014-03-07,11815.0
2014-03-10,11745.0
2014-03-11,11745.0
2014-03-12,11580.0
2014-03-13,11600.0
2014-03-14,11465.0
2014-03-17,11465.0
2014-03-18,11555.0
2014-03-19,11555.0
2014-03-20,11430.0
2014-03-21,11430.0
2014-03-24,11565.0
2014-03-25,11510.0
2014-03-26,11620.0
2014-03-27,11725.0
2014-03-28,11790.0
2014-03-31,11825.0
2014-04-01,11790.0
2014-04-02,11890.0
2014-04-03,11930.0
2014-04-04,11970.0
2014-04-07,11940.0
2014-04-08,11935.0
2014-04-09,11900.0
2014-04-10,11940.0
2014-04-11,11900.0
2014-04-14,11900.0
2014-04-15,11850.0
2014-04-16,11815.0
2014-04-17,11825.0
2014-04-18,11885.0
2014-04-21,11885.0
2014-04-22,11915.0
2014-04-23,11940.0
2014-04-24,11940.0
2014-04-25,11780.0
2014-04-28,11760.0
2014-04-29,11620.0
2014-04-30,11565.0
2014-05-02,11570.0
2014-05-07,11415.0
2014-05-08,11400.0
2014-05-09,11400.0
2014-05-12,11495.0
2014-05-13,11640.0
2014-05-14,11845.0
2014-05-15,11875.0
2014-05-16,11835.0
2014-05-19,11865.0
2014-05-20,11880.0
2014-05-21,11910.0
2014-05-22,11935.0
2014-05-23,11935.0
2014-05-26,11845.0
2014-05-27,11825.0
2014-05-28,11935.0
2014-05-29,11955.0
2014-05-30,11875.0
2014-06-02,11820.0
2014-06-03,11910.0
2014-06-05,11865.0
2014-06-09,11870.0
2014-06-10,11910.0
2014-06-11,11910.0
2014-06-12,11880.0
2014-06-13,11715.0
2014-06-16,11730.0
2014-06-17,11810.0
2014-06-18,11715.0
2014-06-19,11715.0
2014-06-20,11585.0
2014-06-23,11585.0
2014-06-24,11705.0
2014-06-25,11650.0
2014-06-26,11680.0
2014-06-27,11635.0
2014-06-30,11795.0
2014-07-01,11745.0
2014-07-02,11800.0
2014-07-03,11775.0
2014-07-04,11780.0
2014-07-07,11780.0
2014-07-08,11780.0
2014-07-09,11735.0
2014-07-10,11735.0
2014-07-11,11640.0
2014-07-14,11640.0
2014-07-15,11770.0
2014-07-16,11795.0
2014-07-17,11875.0
2014-07-18,11885.0
2014-07-21,11885.0
2014-07-22,11905.0
2014-07-23,11895.0
2014-07-24,11895.0
2014-07-25,11930.0
2014-07-28,11920.0
2014-07-29,12065.0
2014-07-30,12150.0
2014-07-31,12155.0
2014-08-01,12135.0
2014-08-04,12130.0
2014-08-05,12100.0
2014-08-06,12035.0
2014-08-07,12015.0
2014-08-08,11855.0
2014-08-11,11875.0
2014-08-12,11900.0
2014-08-13,11955.0
2014-08-14,11970.0
2014-08-18,11945.0
2014-08-19,12005.0
2014-08-20,11995.0
2014-08-21,11855.0
2014-08-22,11910.0
2014-08-25,11910.0
2014-08-26,12005.0
2014-08-27,12005.0
2014-08-28,12040.0
2014-08-29,12065.0
2014-09-01,12010.0
2014-09-02,11890.0
2014-09-03,11785.0
2014-09-04,11785.0
2014-09-05,11760.0
2014-09-11,11760.0
2014-09-12,11810.0
2014-09-15,11695.0
2014-09-16,11690.0
2014-09-17,11780.0
2014-09-18,11770.0
2014-09-19,11820.0
2014-09-22,11680.0
2014-09-23,11545.0
2014-09-24,11440.0
2014-09-25,11590.0
2014-09-26,11515.0
