Date,TIGER 삼성그룹펀더멘털
2014-01-13,8100.0
2014-01-14,8090.0
2014-01-15,8155.0
2014-01-16,8170.0
2014-01-17,8095.0
2014-01-20,8150.0
2014-01-21,8215.0
2014-01-22,8225.0
2014-01-23,8170.0
2014-01-24,8070.0
2014-01-27,8020.0
2014-01-28,7910.0
2014-01-29,8050.0
2014-02-03,7970.0
2014-02-04,7760.0
2014-02-05,7855.0
2014-02-06,7925.0
2014-02-07,7930.0
2014-02-10,7970.0
2014-02-11,8020.0
2014-02-12,7950.0
2014-02-13,7935.0
2014-02-14,8005.0
2014-02-17,8075.0
2014-02-18,8060.0
2014-02-19,8025.0
2014-02-20,8020.0
2014-02-21,8180.0
2014-02-24,8135.0
2014-02-25,8160.0
2014-02-26,8180.0
2014-02-27,8190.0
2014-02-28,8140.0
2014-03-03,8085.0
2014-03-04,8020.0
2014-03-05,8110.0
2014-03-06,8100.0
2014-03-07,8120.0
2014-03-10,7965.0
2014-03-11,7960.0
2014-03-12,7790.0
2014-03-13,7815.0
2014-03-14,7735.0
2014-03-17,7805.0
2014-03-18,7850.0
2014-03-19,7805.0
2014-03-20,7735.0
2014-03-21,7770.0
2014-03-24,7825.0
2014-03-25,7825.0
2014-03-26,7930.0
2014-03-27,7990.0
2014-03-28,8035.0
2014-03-31,8170.0
2014-04-01,8100.0
2014-04-02,8125.0
2014-04-03,8195.0
2014-04-04,8170.0
2014-04-07,8195.0
2014-04-08,8285.0
2014-04-09,8245.0
2014-04-10,8275.0
2014-04-11,8250.0
2014-04-14,8300.0
2014-04-15,8230.0
2014-04-16,8275.0
2014-04-17,8255.0
2014-04-18,8275.0
2014-04-21,8225.0
2014-04-22,8230.0
2014-04-23,8215.0
2014-04-24,8180.0
2014-04-25,8150.0
2014-04-28,8165.0
2014-04-29,7990.0
2014-04-30,7920.0
2014-05-02,8010.0
2014-05-07,7860.0
2014-05-08,7965.0
2014-05-09,7985.0
2014-05-12,8060.0
2014-05-13,8160.0
2014-05-14,8220.0
2014-05-15,8300.0
2014-05-16,8360.0
2014-05-19,8535.0
2014-05-20,8460.0
2014-05-21,8395.0
2014-05-22,8445.0
2014-05-23,8390.0
2014-05-26,8390.0
2014-05-27,8320.0
2014-05-28,8450.0
2014-05-29,8505.0
2014-05-30,8405.0
2014-06-02,8375.0
2014-06-03,8530.0
2014-06-05,8605.0
2014-06-09,8450.0
2014-06-10,8480.0
2014-06-11,8430.0
2014-06-12,8425.0
2014-06-13,8265.0
2014-06-16,8290.0
2014-06-17,8305.0
2014-06-18,8285.0
2014-06-19,8220.0
2014-06-20,8090.0
2014-06-23,8175.0
2014-06-24,8240.0
2014-06-25,8135.0
2014-06-26,8150.0
2014-06-27,8145.0
2014-06-30,8200.0
2014-07-01,8165.0
2014-07-02,8275.0
2014-07-03,8300.0
2014-07-04,8240.0
2014-07-07,8145.0
2014-07-08,8155.0
2014-07-09,8170.0
2014-07-10,8115.0
2014-07-11,8030.0
2014-07-14,8085.0
2014-07-15,8135.0
2014-07-16,8115.0
2014-07-17,8160.0
2014-07-18,8135.0
2014-07-21,8215.0
2014-07-22,8235.0
2014-07-23,8275.0
2014-07-24,8280.0
2014-07-25,8250.0
2014-07-28,8275.0
2014-07-29,8355.0
2014-07-30,8385.0
2014-07-31,8365.0
2014-08-01,8230.0
2014-08-04,8265.0
2014-08-05,8230.0
2014-08-06,8155.0
2014-08-07,8130.0
2014-08-08,7965.0
2014-08-11,8060.0
2014-08-12,8050.0
2014-08-13,8085.0
2014-08-14,8140.0
2014-08-18,8095.0
2014-08-19,8115.0
2014-08-20,8050.0
2014-08-21,7985.0
2014-08-22,7970.0
2014-08-25,7920.0
2014-08-26,7950.0
2014-08-27,8000.0
2014-08-28,8025.0
2014-08-29,8025.0
2014-09-01,8145.0
2014-09-02,7995.0
2014-09-03,7910.0
2014-09-04,7955.0
2014-09-05,7920.0
2014-09-11,7865.0
2014-09-12,7860.0
2014-09-15,7850.0
2014-09-16,7850.0
2014-09-17,7895.0
2014-09-18,7940.0
2014-09-19,7890.0
2014-09-22,7820.0
2014-09-23,7730.0
2014-09-24,7630.0
2014-09-25,7650.0
2014-09-26,7725.0
2014-09-29,7690.0
2014-09-30,7640.0
2014-10-01,7470.0
2014-10-02,7380.0
2014-10-06,7400.0
2014-10-07,7460.0
2014-10-08,7395.0
2014-10-10,7250.0
2014-10-13,7220.0
2014-10-14,7280.0
2014-10-15,7170.0
2014-10-16,7130.0
2014-10-17,7090.0
2014-10-20,7275.0
2014-10-21,7140.0
2014-10-22,7255.0
2014-10-23,7180.0
2014-10-24,7170.0
2014-10-27,7210.0
2014-10-28,7205.0
2014-10-29,7415.0
2014-10-30,7520.0
2014-10-31,7740.0
2014-11-03,7700.0
2014-11-04,7725.0
2014-11-05,7695.0
2014-11-06,7750.0
2014-11-07,7770.0
2014-11-10,7960.0
2014-11-11,7905.0
2014-11-12,7935.0
2014-11-13,7765.0
2014-11-14,7715.0
2014-11-17,7760.0
2014-11-18,7760.0
2014-11-19,7660.0
2014-11-20,7765.0
2014-11-21,7840.0
2014-11-24,7850.0
2014-11-25,7900.0
2014-11-26,7905.0
2014-11-27,8005.0
2014-11-28,7840.0
2014-12-01,7695.0
2014-12-02,7710.0
2014-12-03,7725.0
2014-12-04,7785.0
2014-12-05,7750.0
