Date,TIGER 소프트웨어
2014-01-13,5985.0
2014-01-14,6005.0
2014-01-15,6120.0
2014-01-16,6195.0
2014-01-17,6100.0
2014-01-20,6060.0
2014-01-21,6065.0
2014-01-22,6130.0
2014-01-23,6090.0
2014-01-24,5995.0
2014-01-27,5770.0
2014-01-28,5805.0
2014-01-29,5850.0
2014-02-03,5845.0
2014-02-04,5780.0
2014-02-05,5805.0
2014-02-06,6035.0
2014-02-07,6120.0
2014-02-10,6130.0
2014-02-11,6040.0
2014-02-12,6100.0
2014-02-13,6165.0
2014-02-14,6185.0
2014-02-17,6200.0
2014-02-18,6235.0
2014-02-19,6205.0
2014-02-20,6065.0
2014-02-21,6105.0
2014-02-24,5935.0
2014-02-25,6075.0
2014-02-26,6110.0
2014-02-27,6225.0
2014-02-28,6290.0
2014-03-03,6300.0
2014-03-04,6315.0
2014-03-05,6460.0
2014-03-06,6460.0
2014-03-07,6530.0
2014-03-10,6525.0
2014-03-11,6525.0
2014-03-12,6445.0
2014-03-13,6670.0
2014-03-14,6680.0
2014-03-17,6610.0
2014-03-18,6630.0
2014-03-19,6730.0
2014-03-20,6660.0
2014-03-21,6625.0
2014-03-24,6630.0
2014-03-25,6490.0
2014-03-26,6470.0
2014-03-27,6445.0
2014-03-28,6370.0
2014-03-31,6405.0
2014-04-01,6530.0
2014-04-02,6650.0
2014-04-03,6540.0
2014-04-04,6435.0
2014-04-07,6240.0
2014-04-08,6230.0
2014-04-09,6300.0
2014-04-10,6340.0
2014-04-11,6225.0
2014-04-14,6230.0
2014-04-15,6195.0
2014-04-16,6270.0
2014-04-17,6180.0
2014-04-18,6260.0
2014-04-21,6235.0
2014-04-22,6370.0
2014-04-23,6325.0
2014-04-24,6335.0
2014-04-25,6185.0
2014-04-28,6135.0
2014-04-29,6125.0
2014-04-30,6155.0
2014-05-02,6160.0
2014-05-07,6040.0
2014-05-08,6065.0
2014-05-09,6040.0
2014-05-12,6090.0
2014-05-13,6200.0
2014-05-14,6235.0
2014-05-15,6345.0
2014-05-16,6210.0
2014-05-19,6185.0
2014-05-20,6170.0
2014-05-21,6210.0
2014-05-22,6230.0
2014-05-23,6285.0
2014-05-26,6195.0
2014-05-27,6230.0
2014-05-28,6310.0
2014-05-29,6315.0
2014-05-30,6260.0
2014-06-02,6210.0
2014-06-03,6295.0
2014-06-05,6235.0
2014-06-09,6255.0
2014-06-10,6320.0
2014-06-11,6350.0
2014-06-12,6350.0
2014-06-13,6315.0
2014-06-16,6335.0
2014-06-17,6340.0
2014-06-18,6305.0
2014-06-19,6335.0
2014-06-20,6375.0
2014-06-23,6530.0
2014-06-24,6555.0
2014-06-25,6480.0
2014-06-26,6605.0
2014-06-27,6585.0
2014-06-30,6620.0
2014-07-01,6735.0
2014-07-02,6840.0
2014-07-03,6745.0
2014-07-04,6740.0
2014-07-07,6780.0
2014-07-08,6770.0
2014-07-09,6735.0
2014-07-10,6720.0
2014-07-11,6665.0
2014-07-14,6735.0
2014-07-15,6805.0
