Date,TIGER 원유선물Enhanced(H)
2014-01-13,9620.0
2014-01-14,9590.0
2014-01-15,9600.0
2014-01-16,9740.0
2014-01-17,9735.0
2014-01-20,9745.0
2014-01-21,9745.0
2014-01-22,9830.0
2014-01-23,9975.0
2014-01-24,10085.0
2014-01-27,9970.0
2014-01-28,9900.0
2014-01-29,10055.0
2014-02-03,10050.0
2014-02-04,10015.0
2014-02-05,10080.0
2014-02-06,10095.0
2014-02-07,10090.0
2014-02-10,10305.0
2014-02-11,10325.0
2014-02-12,10380.0
2014-02-13,10355.0
2014-02-14,10385.0
2014-02-17,10440.0
2014-02-18,10480.0
2014-02-19,10625.0
2014-02-20,10630.0
2014-02-21,10675.0
2014-02-24,10650.0
2014-02-25,10645.0
2014-02-26,10595.0
2014-02-27,10685.0
2014-02-28,10655.0
2014-03-03,10830.0
2014-03-04,10945.0
2014-03-05,10745.0
2014-03-06,10540.0
2014-03-07,10600.0
2014-03-10,10640.0
2014-03-11,10530.0
2014-03-12,10365.0
2014-03-13,10270.0
2014-03-14,10250.0
2014-03-17,10390.0
2014-03-18,10250.0
2014-03-19,10360.0
2014-03-20,10455.0
2014-03-21,10340.0
2014-03-24,10420.0
2014-03-25,10425.0
2014-03-26,10440.0
2014-03-27,10530.0
2014-03-28,10650.0
2014-03-31,10665.0
2014-04-01,10605.0
2014-04-02,10460.0
2014-04-03,10390.0
2014-04-04,10505.0
2014-04-07,10600.0
2014-04-08,10565.0
2014-04-09,10650.0
2014-04-10,10770.0
2014-04-11,10705.0
2014-04-14,10885.0
2014-04-15,10845.0
2014-04-16,10855.0
2014-04-17,10850.0
2014-04-18,10925.0
2014-04-21,10880.0
2014-04-22,10925.0
2014-04-23,10735.0
2014-04-24,10710.0
2014-04-25,10800.0
2014-04-28,10850.0
2014-04-29,10700.0
2014-04-30,10650.0
2014-05-02,10530.0
2014-05-07,10595.0
2014-05-08,10650.0
2014-05-09,10640.0
2014-05-12,10630.0
2014-05-13,10685.0
2014-05-14,10765.0
2014-05-15,10795.0
2014-05-16,10825.0
2014-05-19,10865.0
2014-05-20,10930.0
2014-05-21,10970.0
2014-05-22,11045.0
2014-05-23,11060.0
2014-05-26,11075.0
2014-05-27,11125.0
2014-05-28,11125.0
2014-05-29,10995.0
2014-05-30,11050.0
2014-06-02,11030.0
2014-06-03,10920.0
2014-06-05,10885.0
2014-06-09,10975.0
2014-06-10,11120.0
2014-06-11,11100.0
2014-06-12,11120.0
2014-06-13,11420.0
2014-06-16,11450.0
2014-06-17,11350.0
2014-06-18,11360.0
2014-06-19,11385.0
2014-06-20,11400.0
2014-06-23,11515.0
2014-06-24,11330.0
2014-06-25,11440.0
2014-06-26,11425.0
2014-06-27,11315.0
2014-06-30,11280.0
2014-07-01,11380.0
2014-07-02,11305.0
2014-07-03,11210.0
2014-07-04,11175.0
2014-07-07,11180.0
2014-07-08,11130.0
2014-07-09,11100.0
2014-07-10,10975.0
2014-07-11,11070.0
2014-07-14,10805.0
2014-07-15,10880.0
2014-07-16,10800.0
2014-07-17,10910.0
2014-07-18,11085.0
2014-07-21,10990.0
2014-07-22,11165.0
2014-07-23,11055.0
2014-07-24,11090.0
2014-07-25,10995.0
2014-07-28,10955.0
2014-07-29,10985.0
2014-07-30,10960.0
2014-07-31,10760.0
2014-08-01,10615.0
