Date,TIGER 은행
2014-01-13,8250.0
2014-01-14,8115.0
2014-01-15,8165.0
2014-01-16,8160.0
2014-01-17,8055.0
2014-01-20,8055.0
2014-01-21,8110.0
2014-01-22,8090.0
2014-01-23,7980.0
2014-01-24,8015.0
2014-01-27,7950.0
2014-01-28,7870.0
2014-01-29,8115.0
2014-02-03,7955.0
2014-02-04,7830.0
2014-02-05,7810.0
2014-02-06,7880.0
2014-02-07,7820.0
2014-02-10,7695.0
2014-02-11,7720.0
2014-02-12,7810.0
2014-02-13,7720.0
2014-02-14,7745.0
2014-02-17,8080.0
2014-02-18,8085.0
2014-02-19,7990.0
2014-02-20,7960.0
2014-02-21,8095.0
2014-02-24,8115.0
2014-02-25,8185.0
2014-02-26,8250.0
2014-02-27,8135.0
2014-02-28,8250.0
2014-03-03,8090.0
2014-03-04,8090.0
2014-03-05,8190.0
2014-03-06,8190.0
2014-03-07,8195.0
2014-03-10,7975.0
2014-03-11,8095.0
2014-03-12,7880.0
2014-03-13,7910.0
2014-03-14,7805.0
2014-03-17,7845.0
2014-03-18,7865.0
2014-03-19,7870.0
2014-03-20,7745.0
2014-03-21,7750.0
2014-03-24,7855.0
2014-03-25,7840.0
2014-03-26,7990.0
2014-03-27,7990.0
2014-03-28,8015.0
2014-03-31,8015.0
2014-04-01,7985.0
2014-04-02,8010.0
2014-04-03,7825.0
2014-04-04,7900.0
2014-04-07,7850.0
2014-04-08,7875.0
2014-04-09,8005.0
2014-04-10,8025.0
2014-04-11,8005.0
2014-04-14,8000.0
2014-04-15,7960.0
2014-04-16,7885.0
2014-04-17,7930.0
2014-04-18,7945.0
2014-04-21,7945.0
2014-04-22,7895.0
2014-04-23,7895.0
2014-04-24,7870.0
2014-04-25,7495.0
2014-04-28,7655.0
2014-04-29,7560.0
2014-04-30,7580.0
2014-05-02,7640.0
2014-05-07,7580.0
2014-05-08,7660.0
2014-05-09,7620.0
2014-05-12,7660.0
2014-05-13,7745.0
2014-05-14,7905.0
2014-05-15,7950.0
2014-05-16,7970.0
2014-05-19,8005.0
2014-05-20,7900.0
2014-05-21,7775.0
2014-05-22,7840.0
2014-05-23,7860.0
2014-05-26,7750.0
2014-05-27,7735.0
2014-05-28,7720.0
2014-05-29,7750.0
2014-05-30,7635.0
2014-06-02,7680.0
2014-06-03,7585.0
2014-06-05,7570.0
2014-06-09,7725.0
2014-06-10,7775.0
2014-06-11,7835.0
2014-06-12,7795.0
2014-06-13,7705.0
2014-06-16,7705.0
2014-06-17,7665.0
2014-06-18,7615.0
2014-06-19,7685.0
2014-06-20,7600.0
2014-06-23,7615.0
2014-06-24,7705.0
2014-06-25,7665.0
2014-06-26,7680.0
2014-06-27,7670.0
2014-06-30,7735.0
2014-07-01,7670.0
2014-07-02,7680.0
2014-07-03,7635.0
2014-07-04,7660.0
2014-07-07,7655.0
2014-07-08,7685.0
2014-07-09,7675.0
2014-07-10,7680.0
2014-07-11,7580.0
2014-07-14,7645.0
2014-07-15,7760.0
2014-07-16,7740.0
2014-07-17,7785.0
2014-07-18,7655.0
2014-07-21,7765.0
2014-07-22,7825.0
