Date,TIGER 인버스
2014-01-13,8325.0
2014-01-14,8340.0
2014-01-15,8320.0
2014-01-16,8280.0
2014-01-17,8360.0
2014-01-20,8300.0
2014-01-21,8245.0
2014-01-22,8255.0
2014-01-23,8335.0
2014-01-24,8375.0
2014-01-27,8475.0
2014-01-28,8445.0
2014-01-29,8370.0
2014-02-03,8475.0
2014-02-04,8640.0
2014-02-05,8595.0
2014-02-06,8530.0
2014-02-07,8475.0
2014-02-10,8460.0
2014-02-11,8420.0
2014-02-12,8410.0
2014-02-13,8480.0
2014-02-14,8370.0
2014-02-17,8365.0
2014-02-18,8350.0
2014-02-19,8395.0
2014-02-20,8445.0
2014-02-21,8330.0
2014-02-24,8340.0
2014-02-25,8280.0
2014-02-26,8265.0
2014-02-27,8240.0
2014-02-28,8245.0
2014-03-03,8310.0
2014-03-04,8335.0
2014-03-05,8240.0
2014-03-06,8240.0
2014-03-07,8260.0
2014-03-10,8370.0
2014-03-11,8340.0
2014-03-12,8470.0
2014-03-13,8445.0
2014-03-14,8525.0
2014-03-17,8505.0
2014-03-18,8450.0
2014-03-19,8450.0
2014-03-20,8555.0
2014-03-21,8475.0
2014-03-24,8430.0
2014-03-25,8455.0
2014-03-26,8335.0
2014-03-27,8275.0
2014-03-28,8285.0
2014-03-31,8270.0
2014-04-01,8230.0
2014-04-02,8210.0
2014-04-03,8210.0
2014-04-04,8175.0
2014-04-07,8200.0
2014-04-08,8150.0
2014-04-09,8150.0
2014-04-10,8135.0
2014-04-11,8190.0
2014-04-14,8175.0
2014-04-15,8215.0
2014-04-16,8185.0
2014-04-17,8195.0
2014-04-18,8140.0
2014-04-21,8155.0
2014-04-22,8155.0
2014-04-23,8165.0
2014-04-24,8170.0
2014-04-25,8290.0
2014-04-28,8285.0
2014-04-29,8335.0
2014-04-30,8365.0
2014-05-02,8365.0
2014-05-07,8465.0
2014-05-08,8420.0
2014-05-09,8410.0
2014-05-12,8375.0
2014-05-13,8245.0
2014-05-14,8140.0
2014-05-15,8145.0
2014-05-16,8145.0
2014-05-19,8140.0
2014-05-20,8145.0
2014-05-21,8145.0
2014-05-22,8090.0
2014-05-23,8105.0
2014-05-26,8130.0
2014-05-27,8205.0
2014-05-28,8130.0
2014-05-29,8125.0
2014-05-30,8190.0
2014-06-02,8190.0
2014-06-03,8180.0
2014-06-05,8235.0
2014-06-09,8225.0
2014-06-10,8155.0
2014-06-11,8160.0
2014-06-12,8195.0
2014-06-13,8305.0
2014-06-16,8245.0
2014-06-17,8235.0
2014-06-18,8280.0
2014-06-19,8255.0
2014-06-20,8375.0
2014-06-23,8335.0
2014-06-24,8260.0
2014-06-25,8310.0
2014-06-26,8245.0
2014-06-27,8275.0
2014-06-30,8260.0
2014-07-01,8250.0
2014-07-02,8195.0
2014-07-03,8205.0
2014-07-04,8220.0
2014-07-07,8255.0
2014-07-08,8270.0
2014-07-09,8310.0
2014-07-10,8300.0
2014-07-11,8365.0
2014-07-14,8335.0
2014-07-15,8255.0
2014-07-16,8235.0
2014-07-17,8210.0
2014-07-18,8225.0
2014-07-21,8220.0
2014-07-22,8175.0
2014-07-23,8175.0
2014-07-24,8170.0
2014-07-25,8155.0
2014-07-28,8085.0
2014-07-29,7995.0
2014-07-30,7915.0
2014-07-31,7945.0
2014-08-01,7980.0
2014-08-04,7975.0
2014-08-05,8035.0
2014-08-06,8060.0
2014-08-07,8085.0
2014-08-08,8200.0
2014-08-11,8145.0
2014-08-12,8145.0
2014-08-13,8095.0
2014-08-14,8085.0
2014-08-18,8125.0
2014-08-19,8065.0
2014-08-20,8075.0
2014-08-21,8205.0
2014-08-22,8150.0
2014-08-25,8130.0
2014-08-26,8090.0
2014-08-27,8080.0
2014-08-28,8090.0
2014-08-29,8125.0
2014-09-01,8130.0
2014-09-02,8205.0
2014-09-03,8215.0
2014-09-04,8195.0
2014-09-05,8215.0
2014-09-11,8260.0
2014-09-12,8255.0
2014-09-15,8290.0
