Date,TIGER 중국소비테마
2014-01-13,7405.0
2014-01-14,7365.0
2014-01-15,7385.0
2014-01-16,7400.0
2014-01-17,7410.0
2014-01-20,7415.0
2014-01-21,7460.0
2014-01-22,7475.0
2014-01-23,7365.0
2014-01-24,7365.0
2014-01-27,7260.0
2014-01-28,7320.0
2014-01-29,7380.0
2014-02-03,7380.0
2014-02-04,7325.0
2014-02-05,7275.0
2014-02-06,7300.0
2014-02-07,7420.0
2014-02-10,7385.0
2014-02-11,7405.0
2014-02-12,7395.0
2014-02-13,7390.0
2014-02-14,7400.0
2014-02-17,7425.0
2014-02-18,7420.0
2014-02-19,7410.0
2014-02-20,7305.0
2014-02-21,7345.0
2014-02-24,7310.0
2014-02-25,7350.0
2014-02-26,7340.0
2014-02-27,7390.0
2014-02-28,7460.0
2014-03-03,7475.0
2014-03-04,7425.0
2014-03-05,7440.0
2014-03-06,7520.0
2014-03-07,7555.0
2014-03-10,7490.0
2014-03-11,7600.0
2014-03-12,7440.0
2014-03-13,7490.0
2014-03-14,7450.0
2014-03-17,7435.0
2014-03-18,7500.0
2014-03-19,7475.0
2014-03-20,7450.0
2014-03-21,7510.0
2014-03-24,7525.0
2014-03-25,7460.0
2014-03-26,7420.0
2014-03-27,7435.0
2014-03-28,7435.0
2014-03-31,7420.0
2014-04-01,7470.0
2014-04-02,7515.0
2014-04-03,7455.0
2014-04-04,7425.0
2014-04-07,7385.0
2014-04-08,7380.0
2014-04-09,7375.0
2014-04-10,7485.0
2014-04-11,7475.0
2014-04-14,7510.0
2014-04-15,7530.0
2014-04-16,7515.0
2014-04-17,7550.0
2014-04-18,7570.0
2014-04-21,7545.0
2014-04-22,7560.0
2014-04-23,7545.0
2014-04-24,7500.0
2014-04-25,7395.0
2014-04-28,7470.0
2014-04-29,7430.0
2014-04-30,7470.0
2014-05-02,7450.0
2014-05-07,7385.0
2014-05-08,7365.0
2014-05-09,7415.0
2014-05-12,7415.0
2014-05-13,7465.0
2014-05-14,7480.0
2014-05-15,7480.0
2014-05-16,7445.0
2014-05-19,7475.0
2014-05-20,7450.0
2014-05-21,7450.0
2014-05-22,7465.0
2014-05-23,7475.0
2014-05-26,7490.0
2014-05-27,7480.0
2014-05-28,7500.0
2014-05-29,7475.0
2014-05-30,7510.0
2014-06-02,7420.0
2014-06-03,7425.0
2014-06-05,7285.0
2014-06-09,7370.0
2014-06-10,7380.0
2014-06-11,7350.0
2014-06-12,7320.0
2014-06-13,7325.0
2014-06-16,7325.0
2014-06-17,7305.0
2014-06-18,7325.0
2014-06-19,7350.0
2014-06-20,7375.0
2014-06-23,7350.0
2014-06-24,7395.0
2014-06-25,7355.0
2014-06-26,7375.0
2014-06-27,7415.0
2014-06-30,7495.0
2014-07-01,7530.0
2014-07-02,7570.0
2014-07-03,7535.0
2014-07-04,7555.0
2014-07-07,7560.0
2014-07-08,7580.0
2014-07-09,7625.0
2014-07-10,7615.0
2014-07-11,7625.0
2014-07-14,7700.0
2014-07-15,7680.0
2014-07-16,7600.0
2014-07-17,7610.0
2014-07-18,7605.0
2014-07-21,7575.0
2014-07-22,7620.0
2014-07-23,7585.0
2014-07-24,7530.0
2014-07-25,7620.0
2014-07-28,7630.0
2014-07-29,7515.0
2014-07-30,7590.0
2014-07-31,7590.0
2014-08-01,7650.0
2014-08-04,7735.0
2014-08-05,7665.0
2014-08-06,7695.0
2014-08-07,7700.0
2014-08-08,7680.0
2014-08-11,7700.0
2014-08-12,7620.0
2014-08-13,7805.0
2014-08-14,7830.0
2014-08-18,7890.0
2014-08-19,7950.0
2014-08-20,7975.0
2014-08-21,7945.0
2014-08-22,7990.0
2014-08-25,8190.0
2014-08-26,8220.0
2014-08-27,8180.0
2014-08-28,8160.0
2014-08-29,8125.0
2014-09-01,8180.0
2014-09-02,8200.0
2014-09-03,8215.0
2014-09-04,8215.0
2014-09-05,8165.0
2014-09-11,8075.0
2014-09-12,8035.0
2014-09-15,8040.0
2014-09-16,8130.0
2014-09-17,8155.0
2014-09-18,8175.0
2014-09-19,8275.0
2014-09-22,8195.0
2014-09-23,8145.0
2014-09-24,8180.0
2014-09-25,8170.0
2014-09-26,8165.0
2014-09-29,8140.0
