Date,TIGER 증권
2014-01-13,3440.0
2014-01-14,3415.0
2014-01-15,3450.0
2014-01-16,3460.0
2014-01-17,3435.0
2014-01-20,3430.0
2014-01-21,3430.0
2014-01-22,3440.0
2014-01-23,3430.0
2014-01-24,3410.0
2014-01-27,3365.0
2014-01-28,3330.0
2014-01-29,3390.0
2014-02-03,3315.0
2014-02-04,3240.0
2014-02-05,3220.0
2014-02-06,3185.0
2014-02-07,3175.0
2014-02-10,3180.0
2014-02-11,3185.0
2014-02-12,3230.0
2014-02-13,3210.0
2014-02-14,3230.0
2014-02-17,3240.0
2014-02-18,3240.0
2014-02-19,3205.0
2014-02-20,3180.0
2014-02-21,3185.0
2014-02-24,3170.0
2014-02-25,3250.0
2014-02-26,3240.0
2014-02-27,3265.0
2014-02-28,3345.0
2014-03-03,3335.0
2014-03-04,3290.0
2014-03-05,3340.0
2014-03-06,3345.0
2014-03-07,3315.0
2014-03-10,3280.0
2014-03-11,3280.0
2014-03-12,3225.0
2014-03-13,3240.0
2014-03-14,3190.0
2014-03-17,3180.0
2014-03-18,3200.0
2014-03-19,3215.0
2014-03-20,3175.0
2014-03-21,3185.0
2014-03-24,3200.0
2014-03-25,3275.0
2014-03-26,3295.0
2014-03-27,3280.0
2014-03-28,3310.0
2014-03-31,3315.0
2014-04-01,3310.0
2014-04-02,3355.0
2014-04-03,3350.0
2014-04-04,3330.0
2014-04-07,3320.0
2014-04-08,3375.0
2014-04-09,3470.0
2014-04-10,3475.0
2014-04-11,3465.0
2014-04-14,3505.0
2014-04-15,3545.0
2014-04-16,3515.0
2014-04-17,3515.0
2014-04-18,3520.0
2014-04-21,3490.0
2014-04-22,3505.0
2014-04-23,3480.0
2014-04-24,3450.0
2014-04-25,3405.0
2014-04-28,3395.0
2014-04-29,3360.0
2014-04-30,3400.0
2014-05-02,3350.0
2014-05-07,3285.0
2014-05-08,3275.0
2014-05-09,3285.0
2014-05-12,3265.0
2014-05-13,3325.0
2014-05-14,3405.0
2014-05-15,3430.0
2014-05-16,3435.0
2014-05-19,3500.0
2014-05-20,3475.0
2014-05-21,3475.0
2014-05-22,3490.0
2014-05-23,3500.0
2014-05-26,3505.0
2014-05-27,3420.0
2014-05-28,3460.0
2014-05-29,3435.0
2014-05-30,3375.0
2014-06-02,3360.0
2014-06-03,3355.0
2014-06-05,3315.0
2014-06-09,3375.0
2014-06-10,3440.0
2014-06-11,3480.0
2014-06-12,3480.0
2014-06-13,3440.0
2014-06-16,3485.0
2014-06-17,3475.0
2014-06-18,3445.0
2014-06-19,3465.0
2014-06-20,3420.0
2014-06-23,3430.0
2014-06-24,3455.0
2014-06-25,3420.0
2014-06-26,3445.0
2014-06-27,3435.0
2014-06-30,3460.0
2014-07-01,3445.0
2014-07-02,3555.0
2014-07-03,3575.0
2014-07-04,3590.0
2014-07-07,3590.0
2014-07-08,3615.0
2014-07-09,3600.0
2014-07-10,3680.0
2014-07-11,3690.0
2014-07-14,3720.0
2014-07-15,3765.0
2014-07-16,3665.0
2014-07-17,3705.0
2014-07-18,3680.0
2014-07-21,3790.0
2014-07-22,3785.0
2014-07-23,3855.0
2014-07-24,3840.0
2014-07-25,3900.0
2014-07-28,4050.0
2014-07-29,3990.0
2014-07-30,4040.0
2014-07-31,4120.0
2014-08-01,4065.0
2014-08-04,4030.0
2014-08-05,4015.0
2014-08-06,4035.0
2014-08-07,4100.0
2014-08-08,4050.0
2014-08-11,4115.0
2014-08-12,4230.0
2014-08-13,4205.0
2014-08-14,4170.0
2014-08-18,4140.0
2014-08-19,4175.0
2014-08-20,4140.0
2014-08-21,4015.0
2014-08-22,4055.0
2014-08-25,4130.0
2014-08-26,4150.0
2014-08-27,4350.0
2014-08-28,4340.0
2014-08-29,4350.0
2014-09-01,4315.0
2014-09-02,4260.0
2014-09-03,4340.0
2014-09-04,4365.0
2014-09-05,4315.0
2014-09-11,4340.0
2014-09-12,4290.0
2014-09-15,4160.0
2014-09-16,4250.0
2014-09-17,4275.0
2014-09-18,4280.0
2014-09-19,4375.0
2014-09-22,4315.0
2014-09-23,4335.0
2014-09-24,4340.0
2014-09-25,4370.0
2014-09-26,4270.0
2014-09-29,4260.0
2014-09-30,4125.0
2014-10-01,4000.0
2014-10-02,4060.0
2014-10-06,4135.0
2014-10-07,4090.0
2014-10-08,4070.0
2014-10-10,3990.0
2014-10-13,3990.0
2014-10-14,4140.0
2014-10-15,4060.0
2014-10-16,4050.0
2014-10-17,4050.0
2014-10-20,4110.0
2014-10-21,4085.0
2014-10-22,4230.0
2014-10-23,4175.0
2014-10-24,4150.0
2014-10-27,4125.0
2014-10-28,4125.0
2014-10-29,4275.0
2014-10-30,4240.0
2014-10-31,4220.0
2014-11-03,4325.0
2014-11-04,4345.0
2014-11-05,4410.0
2014-11-06,4280.0
2014-11-07,4335.0
2014-11-10,4315.0
2014-11-11,4315.0
2014-11-12,4290.0
2014-11-13,4295.0
2014-11-14,4255.0
2014-11-17,4240.0
2014-11-18,4295.0
2014-11-19,4330.0
2014-11-20,4315.0
2014-11-21,4320.0
2014-11-24,4470.0
2014-11-25,4480.0
2014-11-26,4490.0
2014-11-27,4335.0
2014-11-28,4315.0
2014-12-01,4205.0
2014-12-02,4275.0
2014-12-03,4285.0
2014-12-04,4300.0
2014-12-05,4275.0
2014-12-08,4235.0
2014-12-09,4160.0
2014-12-10,4095.0
2014-12-11,4060.0
2014-12-12,4040.0
2014-12-15,4015.0
2014-12-16,4050.0
2014-12-17,4050.0
2014-12-18,4000.0
2014-12-19,4045.0
2014-12-22,3995.0
2014-12-23,3975.0
2014-12-24,3990.0
2014-12-26,3995.0
2014-12-29,3945.0
2014-12-30,3950.0
2015-01-02,3930.0
2015-01-05,3890.0
2015-01-06,3855.0
2015-01-07,3860.0
2015-01-08,3910.0
2015-01-09,4020.0
2015-01-12,3990.0
2015-01-13,3945.0
2015-01-14,4015.0
2015-01-15,3970.0
2015-01-16,3890.0
2015-01-19,3960.0
2015-01-20,3960.0
2015-01-21,3900.0
2015-01-22,3930.0
2015-01-23,4090.0
2015-01-26,4090.0
2015-01-27,4110.0
2015-01-28,4145.0
2015-01-29,4150.0
2015-01-30,4180.0
2015-02-02,4195.0
2015-02-03,4170.0
2015-02-04,4240.0
2015-02-05,4205.0
2015-02-06,4225.0
2015-02-09,4220.0
2015-02-10,4175.0
2015-02-11,4185.0
2015-02-12,4170.0
2015-02-13,4200.0
2015-02-16,4220.0
2015-02-17,4195.0
2015-02-23,4215.0
2015-02-24,4230.0
2015-02-25,4360.0
2015-02-26,4365.0
2015-02-27,4425.0
2015-03-02,4455.0
2015-03-03,4430.0
2015-03-04,4360.0
2015-03-05,4320.0
2015-03-06,4510.0
2015-03-09,4370.0
2015-03-10,4355.0
2015-03-11,4240.0
2015-03-12,4265.0
2015-03-13,4260.0
2015-03-16,4205.0
2015-03-17,4455.0
2015-03-18,4545.0
2015-03-19,4595.0
2015-03-20,4595.0
2015-03-23,4775.0
2015-03-24,4795.0
2015-03-25,4855.0
2015-03-26,4775.0
2015-03-27,4790.0
2015-03-30,5040.0
2015-03-31,5070.0
2015-04-01,5080.0
2015-04-02,5070.0
2015-04-03,5400.0
2015-04-06,5425.0
2015-04-07,5460.0
2015-04-08,5620.0
2015-04-09,5615.0
2015-04-10,5975.0
2015-04-13,6135.0
2015-04-14,6080.0
2015-04-15,6190.0
2015-04-16,6200.0
2015-04-17,6120.0
2015-04-20,6065.0
2015-04-21,5980.0
2015-04-22,6185.0
2015-04-23,6265.0
2015-04-24,6020.0
2015-04-27,6080.0
2015-04-28,6150.0
2015-04-29,5910.0
2015-04-30,5890.0
2015-05-04,5715.0
2015-05-06,5290.0
2015-05-07,5435.0
2015-05-08,5430.0
2015-05-11,5590.0
2015-05-12,5440.0
2015-05-13,5535.0
2015-05-14,5610.0
2015-05-15,5430.0
2015-05-18,5465.0
2015-05-19,5485.0
2015-05-20,5780.0
2015-05-21,5645.0
2015-05-22,5765.0
2015-05-26,5535.0
2015-05-27,5345.0
2015-05-28,5340.0
2015-05-29,5305.0
2015-06-01,5280.0
2015-06-02,5240.0
2015-06-03,5280.0
2015-06-04,5280.0
2015-06-05,5195.0
2015-06-08,5540.0
2015-06-09,5530.0
2015-06-10,5420.0
2015-06-11,5310.0
2015-06-12,5205.0
2015-06-15,5080.0
2015-06-16,5015.0
2015-06-17,5090.0
2015-06-18,5005.0
2015-06-19,5220.0
2015-06-22,5225.0
2015-06-23,5345.0
2015-06-24,5315.0
2015-06-25,5455.0
2015-06-26,5470.0
2015-06-29,5135.0
2015-06-30,5195.0
2015-07-01,5285.0
2015-07-02,5220.0
2015-07-03,5250.0
2015-07-06,5005.0
2015-07-07,5045.0
2015-07-08,4880.0
2015-07-09,4925.0
2015-07-10,4910.0
2015-07-13,5125.0
2015-07-14,5100.0
2015-07-15,5195.0
2015-07-16,5270.0
2015-07-17,5250.0
2015-07-20,5135.0
2015-07-21,5155.0
2015-07-22,5055.0
2015-07-23,5080.0
2015-07-24,4945.0
2015-07-27,4805.0
2015-07-28,4845.0
2015-07-29,4765.0
2015-07-30,4785.0
2015-07-31,4835.0
2015-08-03,4760.0
2015-08-04,4800.0
2015-08-05,4785.0
2015-08-06,4970.0
2015-08-07,4880.0
2015-08-10,4870.0
2015-08-11,4700.0
2015-08-12,4575.0
2015-08-13,4635.0
2015-08-17,4635.0
2015-08-18,4585.0
2015-08-19,4435.0
2015-08-20,4435.0
2015-08-21,4275.0
2015-08-24,4205.0
2015-08-25,4375.0
2015-08-26,4485.0
2015-08-27,4445.0
2015-08-28,4545.0
2015-08-31,4440.0
2015-09-01,4360.0
2015-09-02,4335.0
2015-09-03,4245.0
2015-09-04,4190.0
2015-09-07,4130.0
2015-09-08,4010.0
2015-09-09,4275.0
2015-09-10,4350.0
2015-09-11,4340.0
2015-09-14,4250.0
2015-09-15,4320.0
2015-09-16,4450.0
2015-09-17,4455.0
2015-09-18,4405.0
2015-09-21,4315.0
2015-09-22,4400.0
2015-09-23,4260.0
2015-09-24,4270.0
2015-09-25,4300.0
2015-09-30,4245.0
2015-10-01,4295.0
2015-10-02,4225.0
2015-10-05,4225.0
2015-10-06,4205.0
2015-10-07,4220.0
2015-10-08,4200.0
2015-10-12,4390.0
2015-10-13,4330.0
2015-10-14,4260.0
2015-10-15,4365.0
2015-10-16,4365.0
2015-10-19,4380.0
2015-10-20,4380.0
2015-10-21,4430.0
2015-10-22,4315.0
2015-10-23,4355.0
2015-10-26,4385.0
2015-10-27,4355.0
2015-10-28,4345.0
2015-10-29,4280.0
2015-10-30,4225.0
2015-11-02,4145.0
2015-11-03,4250.0
2015-11-04,4255.0
2015-11-05,4255.0
2015-11-06,4270.0
2015-11-09,4130.0
2015-11-10,4015.0
2015-11-11,4005.0
2015-11-12,3990.0
2015-11-13,3960.0
2015-11-16,3875.0
2015-11-17,3960.0
2015-11-18,3930.0
2015-11-19,4015.0
2015-11-20,4055.0
2015-11-23,4020.0
2015-11-24,4120.0
2015-11-25,4080.0
2015-11-26,4090.0
2015-11-27,4065.0
2015-11-30,3995.0
2015-12-01,4015.0
2015-12-02,3980.0
2015-12-03,3920.0
2015-12-04,3885.0
2015-12-07,3835.0
2015-12-08,3790.0
2015-12-09,3765.0
2015-12-10,3810.0
2015-12-11,3780.0
2015-12-14,3715.0
2015-12-15,3750.0
2015-12-16,3850.0
2015-12-17,3855.0
2015-12-18,3880.0
2015-12-21,3980.0
2015-12-22,3945.0
2015-12-23,3980.0
2015-12-24,3975.0
2015-12-28,3975.0
2015-12-29,4010.0
2015-12-30,3940.0
2016-01-04,3775.0
2016-01-05,3815.0
2016-01-06,3795.0
2016-01-07,3680.0
2016-01-08,3655.0
2016-01-11,3560.0
2016-01-12,3525.0
2016-01-13,3620.0
2016-01-14,3505.0
2016-01-15,3440.0
2016-01-18,3410.0
2016-01-19,3425.0
2016-01-20,3270.0
2016-01-21,3240.0
2016-01-22,3420.0
2016-01-25,3440.0
2016-01-26,3375.0
2016-01-27,3440.0
2016-01-28,3460.0
2016-01-29,3505.0
2016-02-01,3575.0
2016-02-02,3515.0
2016-02-03,3415.0
2016-02-04,3465.0
2016-02-05,3555.0
