Date,TIGER 차이나항셍25
2014-01-13,11730.0
2014-01-14,11710.0
2014-01-15,11870.0
2014-01-16,11960.0
2014-01-17,11850.0
2014-01-20,11830.0
2014-01-21,11880.0
2014-01-22,11975.0
2014-01-23,11910.0
2014-01-24,11795.0
2014-01-27,11560.0
2014-01-28,11445.0
2014-01-29,11490.0
2014-02-03,11470.0
2014-02-04,11380.0
2014-02-05,11130.0
2014-02-06,11120.0
2014-02-07,11370.0
2014-02-10,11400.0
2014-02-11,11505.0
2014-02-12,11640.0
2014-02-13,11630.0
2014-02-14,11640.0
2014-02-17,11775.0
2014-02-18,11840.0
2014-02-19,11845.0
2014-02-20,11830.0
2014-02-21,11830.0
2014-02-24,11685.0
2014-02-25,11715.0
2014-02-26,11670.0
2014-02-27,11855.0
2014-02-28,12005.0
2014-03-03,11940.0
2014-03-04,11790.0
2014-03-05,11855.0
2014-03-06,11800.0
2014-03-07,11805.0
2014-03-10,11600.0
2014-03-11,11550.0
2014-03-12,11270.0
2014-03-13,11395.0
2014-03-14,11200.0
2014-03-17,11140.0
2014-03-18,11195.0
2014-03-19,11185.0
2014-03-20,11030.0
2014-03-21,11050.0
2014-03-24,11505.0
2014-03-25,11630.0
2014-03-26,11650.0
2014-03-27,11605.0
2014-03-28,11690.0
2014-03-31,11650.0
2014-04-01,11650.0
2014-04-02,11650.0
2014-04-03,11565.0
2014-04-04,11645.0
2014-04-07,11630.0
2014-04-08,11800.0
2014-04-09,11780.0
2014-04-10,11700.0
2014-04-11,11515.0
2014-04-14,11650.0
2014-04-15,11590.0
2014-04-16,11510.0
2014-04-17,11500.0
2014-04-18,11520.0
2014-04-21,11520.0
2014-04-22,11520.0
2014-04-23,11360.0
2014-04-24,11250.0
2014-04-25,11245.0
2014-04-28,11205.0
2014-04-29,11150.0
2014-04-30,11220.0
2014-05-02,11215.0
2014-05-07,10990.0
2014-05-08,10995.0
2014-05-09,10990.0
2014-05-12,11130.0
2014-05-13,11155.0
2014-05-14,11395.0
2014-05-15,11395.0
2014-05-16,11395.0
2014-05-19,11335.0
2014-05-20,11465.0
2014-05-21,11460.0
2014-05-22,11550.0
2014-05-23,11550.0
2014-05-26,11610.0
2014-05-27,11580.0
2014-05-28,11760.0
2014-05-29,11630.0
2014-05-30,11690.0
2014-06-02,11580.0
2014-06-03,11720.0
2014-06-05,11610.0
2014-06-09,11760.0
2014-06-10,11805.0
2014-06-11,11785.0
2014-06-12,11805.0
2014-06-13,11925.0
2014-06-16,11975.0
2014-06-17,11935.0
2014-06-18,11955.0
2014-06-19,11870.0
2014-06-20,11910.0
2014-06-23,11910.0
2014-06-24,11700.0
2014-06-25,11685.0
2014-06-26,11765.0
2014-06-27,11880.0
2014-06-30,11825.0
2014-07-01,11770.0
2014-07-02,11975.0
2014-07-03,11990.0
2014-07-04,12110.0
2014-07-07,12005.0
2014-07-08,12175.0
2014-07-09,12045.0
2014-07-10,12035.0
2014-07-11,11945.0
2014-07-14,12040.0
2014-07-15,12260.0
2014-07-16,12305.0
2014-07-17,12285.0
2014-07-18,12390.0
2014-07-21,12320.0
2014-07-22,12340.0
2014-07-23,12550.0
2014-07-24,12705.0
2014-07-25,12780.0
2014-07-28,12915.0
2014-07-29,13070.0
2014-07-30,13035.0
2014-07-31,13075.0
2014-08-01,13055.0
2014-08-04,13085.0
2014-08-05,12910.0
2014-08-06,12950.0
2014-08-07,13065.0
2014-08-08,12995.0
2014-08-11,13040.0
2014-08-12,13100.0
2014-08-13,13145.0
2014-08-14,13190.0
2014-08-18,13165.0
2014-08-19,13195.0
2014-08-20,13165.0
2014-08-21,13110.0
2014-08-22,13110.0
2014-08-25,13100.0
2014-08-26,13150.0
2014-08-27,13090.0
2014-08-28,13035.0
2014-08-29,12990.0
2014-09-01,12925.0
2014-09-02,12925.0
2014-09-03,13240.0
2014-09-04,13365.0
2014-09-05,13545.0
2014-09-11,13310.0
2014-09-12,13200.0
2014-09-15,13095.0
2014-09-16,13050.0
2014-09-17,13150.0
2014-09-18,13085.0
2014-09-19,13165.0
2014-09-22,12815.0
2014-09-23,12860.0
2014-09-24,12910.0
2014-09-25,12915.0
2014-09-26,12855.0
2014-09-29,12630.0
2014-09-30,12500.0
2014-10-01,12560.0
2014-10-02,12525.0
2014-10-06,12865.0
2014-10-07,12905.0
2014-10-08,12955.0
2014-10-10,12795.0
2014-10-13,12680.0
2014-10-14,12690.0
2014-10-15,12690.0
2014-10-16,12580.0
2014-10-17,12450.0
2014-10-20,12625.0
2014-10-21,12530.0
2014-10-22,12575.0
2014-10-23,12530.0
2014-10-24,12590.0
2014-10-27,12540.0
2014-10-28,12545.0
2014-10-29,12950.0
2014-10-30,12955.0
2014-10-31,13275.0
2014-11-03,13290.0
2014-11-04,13290.0
2014-11-05,13230.0
2014-11-06,13260.0
2014-11-07,13315.0
2014-11-10,13315.0
2014-11-11,13370.0
2014-11-12,13470.0
2014-11-13,13430.0
2014-11-14,13540.0
2014-11-17,13365.0
2014-11-18,13095.0
2014-11-19,13260.0
2014-11-20,13265.0
2014-11-21,13275.0
2014-11-24,13600.0
2014-11-25,13645.0
2014-11-26,13610.0
2014-11-27,13630.0
2014-11-28,13815.0
2014-12-01,13570.0
2014-12-02,13485.0
2014-12-03,13730.0
2014-12-04,13905.0
2014-12-05,14360.0
2014-12-08,14405.0
2014-12-09,14030.0
2014-12-10,13710.0
2014-12-11,13570.0
2014-12-12,13640.0
2014-12-15,13375.0
2014-12-16,13095.0
2014-12-17,13180.0
2014-12-18,13550.0
2014-12-19,13580.0
2014-12-22,13830.0
2014-12-23,13920.0
2014-12-24,13830.0
2014-12-26,13830.0
2014-12-29,13985.0
2014-12-30,14120.0
2015-01-02,14335.0
2015-01-05,14710.0
2015-01-06,14180.0
2015-01-07,14185.0
2015-01-08,14290.0
2015-01-09,14430.0
2015-01-12,14130.0
2015-01-13,14170.0
2015-01-14,14340.0
2015-01-15,14175.0
2015-01-16,14130.0
2015-01-19,13800.0
2015-01-20,14000.0
2015-01-21,14270.0
2015-01-22,14530.0
2015-01-23,14675.0
2015-01-26,14580.0
2015-01-27,14340.0
2015-01-28,14465.0
2015-01-29,14300.0
2015-01-30,14410.0
2015-02-02,14275.0
2015-02-03,14215.0
2015-02-04,14535.0
2015-02-05,14580.0
2015-02-06,14440.0
2015-02-09,14410.0
2015-02-10,14410.0
2015-02-11,14440.0
2015-02-12,14625.0
2015-02-13,14730.0
2015-02-16,14650.0
2015-02-17,14775.0
2015-02-23,14860.0
2015-02-24,14925.0
2015-02-25,14880.0
2015-02-26,14895.0
2015-02-27,14995.0
2015-03-02,14970.0
2015-03-03,14740.0
2015-03-04,14575.0
2015-03-05,14290.0
2015-03-06,14250.0
2015-03-09,14335.0
2015-03-10,14390.0
2015-03-11,14425.0
2015-03-12,14595.0
2015-03-13,14640.0
2015-03-16,14785.0
2015-03-17,14765.0
2015-03-18,14875.0
2015-03-19,14820.0
2015-03-20,15090.0
2015-03-23,14950.0
2015-03-24,14700.0
2015-03-25,14630.0
2015-03-26,14740.0
2015-03-27,14620.0
2015-03-30,14925.0
2015-03-31,15220.0
2015-04-01,15055.0
2015-04-02,15125.0
