Date,TIGER 헬스케어
2014-01-13,15270.0
2014-01-14,15075.0
2014-01-15,15200.0
2014-01-16,15285.0
2014-01-17,15225.0
2014-01-20,15180.0
2014-01-21,15180.0
2014-01-22,15115.0
2014-01-23,15050.0
2014-01-24,14960.0
2014-01-27,14580.0
2014-01-28,14900.0
2014-01-29,15015.0
2014-02-03,14960.0
2014-02-04,14930.0
2014-02-05,14650.0
2014-02-06,14745.0
2014-02-07,14910.0
2014-02-10,15065.0
2014-02-11,15025.0
2014-02-12,15130.0
2014-02-13,15140.0
2014-02-14,15170.0
2014-02-17,15030.0
2014-02-18,15255.0
2014-02-19,15540.0
2014-02-20,15385.0
2014-02-21,15385.0
2014-02-24,15490.0
2014-02-25,15345.0
2014-02-26,15440.0
2014-02-27,15375.0
2014-02-28,15540.0
2014-03-03,15720.0
2014-03-04,15435.0
2014-03-05,15410.0
2014-03-06,15425.0
2014-03-07,15490.0
2014-03-10,15410.0
2014-03-11,15575.0
2014-03-12,14910.0
2014-03-13,15025.0
2014-03-14,14905.0
2014-03-17,14855.0
2014-03-18,15075.0
2014-03-19,14975.0
2014-03-20,14750.0
2014-03-21,14695.0
2014-03-24,14475.0
2014-03-25,14340.0
2014-03-26,14835.0
2014-03-27,14670.0
2014-03-28,14700.0
2014-03-31,14495.0
2014-04-01,14700.0
2014-04-02,14820.0
2014-04-03,14955.0
2014-04-04,15035.0
2014-04-07,15170.0
2014-04-08,15045.0
2014-04-09,15035.0
2014-04-10,15150.0
2014-04-11,15220.0
2014-04-14,15320.0
2014-04-15,15255.0
2014-04-16,15210.0
2014-04-17,15275.0
2014-04-18,15495.0
2014-04-21,15510.0
2014-04-22,15230.0
2014-04-23,15115.0
2014-04-24,14995.0
2014-04-25,14995.0
2014-04-28,15100.0
2014-04-29,15170.0
2014-04-30,15235.0
2014-05-02,15200.0
2014-05-07,15000.0
2014-05-08,14885.0
2014-05-09,14930.0
2014-05-12,14930.0
2014-05-13,15015.0
2014-05-14,15040.0
2014-05-15,15150.0
2014-05-16,15130.0
2014-05-19,14945.0
2014-05-20,14850.0
2014-05-21,14895.0
2014-05-22,14865.0
2014-05-23,14910.0
2014-05-26,14880.0
2014-05-27,14805.0
2014-05-28,14855.0
2014-05-29,14800.0
2014-05-30,14960.0
2014-06-02,14750.0
2014-06-03,14425.0
2014-06-05,13950.0
2014-06-09,14070.0
2014-06-10,14225.0
2014-06-11,14180.0
2014-06-12,14300.0
2014-06-13,14365.0
2014-06-16,14360.0
2014-06-17,14260.0
2014-06-18,14250.0
2014-06-19,14200.0
2014-06-20,14100.0
2014-06-23,14020.0
2014-06-24,14085.0
2014-06-25,14100.0
2014-06-26,14165.0
2014-06-27,14350.0
2014-06-30,14520.0
2014-07-01,14375.0
2014-07-02,14495.0
2014-07-03,14215.0
2014-07-04,14300.0
2014-07-07,14250.0
2014-07-08,14085.0
2014-07-09,14025.0
2014-07-10,14055.0
2014-07-11,13860.0
2014-07-14,13955.0
2014-07-15,14000.0
2014-07-16,13900.0
2014-07-17,13860.0
2014-07-18,13805.0
2014-07-21,13940.0
2014-07-22,13855.0
2014-07-23,14010.0
2014-07-24,13960.0
2014-07-25,13975.0
2014-07-28,13850.0
2014-07-29,13765.0
2014-07-30,13805.0
2014-07-31,13415.0
2014-08-01,13475.0
2014-08-04,13520.0
2014-08-05,13725.0
2014-08-06,13540.0
2014-08-07,13255.0
2014-08-08,13150.0
2014-08-11,13235.0
2014-08-12,13145.0
2014-08-13,13240.0
2014-08-14,13400.0
2014-08-18,13400.0
2014-08-19,13310.0
2014-08-20,13180.0
2014-08-21,13030.0
2014-08-22,12990.0
2014-08-25,13295.0
2014-08-26,13445.0
2014-08-27,13470.0
2014-08-28,13495.0
2014-08-29,13495.0
2014-09-01,13360.0
2014-09-02,13415.0
2014-09-03,13470.0
2014-09-04,13535.0
2014-09-05,13700.0
2014-09-11,13765.0
2014-09-12,13925.0
2014-09-15,14060.0
2014-09-16,14145.0
2014-09-17,14185.0
2014-09-18,14115.0
2014-09-19,14260.0
2014-09-22,14095.0
2014-09-23,14215.0
2014-09-24,14595.0
2014-09-25,14615.0
2014-09-26,14555.0
2014-09-29,14440.0
2014-09-30,14740.0
2014-10-01,14570.0
2014-10-02,14670.0
2014-10-06,14775.0
2014-10-07,14385.0
2014-10-08,14415.0
2014-10-10,14235.0
2014-10-13,13955.0
2014-10-14,14150.0
2014-10-15,14255.0
2014-10-16,14445.0
2014-10-17,14550.0
2014-10-20,14545.0
2014-10-21,14525.0
2014-10-22,14830.0
2014-10-23,14960.0
2014-10-24,14830.0
2014-10-27,14780.0
2014-10-28,14725.0
2014-10-29,14705.0
2014-10-30,14585.0
2014-10-31,14550.0
2014-11-03,14605.0
2014-11-04,14500.0
2014-11-05,14625.0
2014-11-06,14280.0
2014-11-07,14410.0
2014-11-10,14130.0
2014-11-11,14330.0
2014-11-12,14210.0
2014-11-13,14270.0
2014-11-14,14120.0
2014-11-17,13740.0
2014-11-18,13850.0
2014-11-19,14055.0
2014-11-20,13990.0
2014-11-21,14035.0
2014-11-24,13870.0
2014-11-25,13950.0
2014-11-26,13920.0
2014-11-27,13885.0
2014-11-28,13960.0
2014-12-01,13880.0
2014-12-02,14110.0
2014-12-03,14135.0
2014-12-04,14275.0
2014-12-05,14320.0
2014-12-08,14230.0
2014-12-09,14080.0
2014-12-10,13940.0
2014-12-11,13785.0
2014-12-12,13790.0
2014-12-15,13915.0
2014-12-16,13890.0
2014-12-17,13865.0
2014-12-18,13745.0
2014-12-19,13875.0
2014-12-22,13910.0
2014-12-23,13870.0
2014-12-24,13910.0
2014-12-26,13910.0
2014-12-29,14165.0
2014-12-30,14205.0
2015-01-02,14200.0
2015-01-05,14280.0
2015-01-06,14195.0
2015-01-07,14200.0
2015-01-08,14140.0
2015-01-09,14300.0
2015-01-12,14400.0
2015-01-13,14525.0
2015-01-14,14545.0
2015-01-15,14680.0
2015-01-16,14580.0
2015-01-19,14660.0
2015-01-20,14735.0
2015-01-21,14750.0
2015-01-22,14600.0
2015-01-23,14765.0
2015-01-26,14810.0
2015-01-27,14705.0
2015-01-28,14745.0
2015-01-29,14800.0
2015-01-30,14930.0
2015-02-02,14750.0
2015-02-03,15075.0
2015-02-04,15060.0
2015-02-05,15255.0
2015-02-06,15605.0
2015-02-09,15850.0
2015-02-10,15610.0
2015-02-11,15650.0
2015-02-12,15890.0
2015-02-13,16650.0
2015-02-16,17345.0
2015-02-17,17290.0
2015-02-23,17950.0
2015-02-24,17890.0
2015-02-25,17400.0
2015-02-26,17275.0
2015-02-27,17315.0
2015-03-02,16965.0
2015-03-03,17205.0
2015-03-04,17180.0
2015-03-05,17200.0
2015-03-06,17725.0
2015-03-09,17435.0
2015-03-10,17330.0
2015-03-11,17300.0
2015-03-12,17655.0
2015-03-13,18035.0
2015-03-16,18320.0
2015-03-17,18420.0
2015-03-18,18255.0
2015-03-19,19120.0
2015-03-20,19625.0
2015-03-23,19205.0
2015-03-24,19215.0
2015-03-25,21000.0
2015-03-26,19350.0
2015-03-27,19445.0
2015-03-30,19350.0
2015-03-31,19395.0
2015-04-01,19460.0
2015-04-02,19770.0
2015-04-03,19675.0
2015-04-06,19630.0
2015-04-07,20095.0
2015-04-08,20140.0
2015-04-09,20555.0
2015-04-10,20740.0
2015-04-13,21645.0
2015-04-14,21650.0
2015-04-15,22165.0
2015-04-16,22245.0
2015-04-17,22760.0
2015-04-20,23025.0
2015-04-21,23070.0
2015-04-22,22760.0
2015-04-23,22160.0
2015-04-24,21955.0
2015-04-27,22395.0
2015-04-28,22450.0
2015-04-29,22460.0
2015-04-30,22530.0
2015-05-04,22320.0
2015-05-06,21800.0
2015-05-07,21895.0
2015-05-08,22300.0
2015-05-11,22745.0
2015-05-12,22375.0
2015-05-13,22745.0
2015-05-14,22930.0
2015-05-15,23025.0
2015-05-18,23860.0
2015-05-19,23995.0
2015-05-20,24920.0
2015-05-21,25080.0
2015-05-22,24570.0
2015-05-26,24125.0
2015-05-27,23710.0
2015-05-28,24105.0
2015-05-29,23835.0
2015-06-01,24240.0
2015-06-02,24475.0
2015-06-03,23515.0
2015-06-04,24000.0
2015-06-05,24700.0
2015-06-08,25285.0
2015-06-09,25445.0
2015-06-10,24800.0
2015-06-11,25555.0
2015-06-12,25785.0
2015-06-15,25950.0
2015-06-16,25705.0
2015-06-17,26220.0
2015-06-18,27420.0
2015-06-19,27540.0
2015-06-22,27655.0
2015-06-23,27425.0
2015-06-24,27920.0
2015-06-25,29285.0
2015-06-26,29420.0
2015-06-29,28800.0
2015-06-30,29090.0
2015-07-01,30285.0
2015-07-02,31420.0
2015-07-03,32045.0
2015-07-06,31760.0
2015-07-07,27950.0
2015-07-08,27505.0
2015-07-09,28780.0
2015-07-10,28600.0
2015-07-13,29045.0
2015-07-14,29620.0
2015-07-15,30260.0
2015-07-16,29765.0
2015-07-17,29880.0
2015-07-20,30320.0
2015-07-21,29965.0
2015-07-22,29600.0
2015-07-23,30100.0
2015-07-24,30590.0
2015-07-27,28905.0
2015-07-28,29580.0
