Date,TIGER 현대차그룹+펀더멘털
2014-01-13,25015.0
2014-01-14,24825.0
2014-01-15,25070.0
2014-01-16,25070.0
2014-01-17,24875.0
2014-01-20,24930.0
2014-01-21,25455.0
2014-01-22,25500.0
2014-01-23,25500.0
2014-01-24,24800.0
2014-01-27,24695.0
2014-01-28,25000.0
2014-01-29,25335.0
2014-02-03,24895.0
2014-02-04,24475.0
2014-02-05,24735.0
2014-02-06,24695.0
2014-02-07,24780.0
2014-02-10,25120.0
2014-02-11,24935.0
2014-02-12,24805.0
2014-02-13,24800.0
2014-02-14,25170.0
2014-02-17,25195.0
2014-02-18,25025.0
2014-02-19,24910.0
2014-02-20,24600.0
2014-02-21,25185.0
2014-02-24,25020.0
2014-02-25,25235.0
2014-02-26,25165.0
2014-02-27,25510.0
2014-02-28,25295.0
2014-03-03,25415.0
2014-03-04,24955.0
2014-03-05,25175.0
2014-03-06,25055.0
2014-03-07,25010.0
2014-03-10,24650.0
2014-03-11,24705.0
2014-03-12,24500.0
2014-03-13,24220.0
2014-03-14,24010.0
2014-03-17,24670.0
2014-03-18,24710.0
2014-03-19,24600.0
2014-03-20,24250.0
2014-03-21,24600.0
2014-03-24,24740.0
2014-03-25,24920.0
2014-03-26,25300.0
2014-03-27,25515.0
2014-03-28,25590.0
2014-03-31,25515.0
2014-04-01,25795.0
2014-04-02,25870.0
2014-04-03,25490.0
2014-04-04,25625.0
2014-04-07,25665.0
2014-04-08,25955.0
2014-04-09,25775.0
2014-04-10,25435.0
2014-04-11,25410.0
2014-04-14,25575.0
2014-04-15,25275.0
2014-04-16,25210.0
2014-04-17,25115.0
2014-04-18,25500.0
2014-04-21,25230.0
2014-04-22,25240.0
2014-04-23,25180.0
2014-04-24,24920.0
2014-04-25,24645.0
2014-04-28,24710.0
2014-04-29,24285.0
2014-04-30,23870.0
2014-05-02,23580.0
2014-05-07,23285.0
2014-05-08,23715.0
2014-05-09,23830.0
2014-05-12,23595.0
2014-05-13,23990.0
2014-05-14,24405.0
2014-05-15,24530.0
2014-05-16,24150.0
2014-05-19,24125.0
2014-05-20,23880.0
2014-05-21,24155.0
2014-05-22,24475.0
2014-05-23,24520.0
2014-05-26,24490.0
2014-05-27,24125.0
2014-05-28,24180.0
2014-05-29,24255.0
2014-05-30,23980.0
2014-06-02,23825.0
2014-06-03,23910.0
2014-06-05,23615.0
2014-06-09,23770.0
2014-06-10,23810.0
2014-06-11,23900.0
2014-06-12,23755.0
2014-06-13,23600.0
2014-06-16,23750.0
2014-06-17,23990.0
2014-06-18,23585.0
2014-06-19,23735.0
2014-06-20,23200.0
2014-06-23,23295.0
2014-06-24,23595.0
2014-06-25,23495.0
2014-06-26,23750.0
2014-06-27,23955.0
2014-06-30,23750.0
2014-07-01,23745.0
2014-07-02,23880.0
2014-07-03,23840.0
2014-07-04,23705.0
2014-07-07,23575.0
2014-07-08,23560.0
2014-07-09,23210.0
2014-07-10,23350.0
2014-07-11,23040.0
2014-07-14,23050.0
2014-07-15,23535.0
2014-07-16,23730.0
2014-07-17,23750.0
2014-07-18,23670.0
2014-07-21,23435.0
2014-07-22,23425.0
2014-07-23,23615.0
2014-07-24,23670.0
2014-07-25,23860.0
2014-07-28,24090.0
2014-07-29,24750.0
2014-07-30,24470.0
2014-07-31,24665.0
2014-08-01,24525.0
2014-08-04,24355.0
2014-08-05,24065.0
2014-08-06,23895.0
2014-08-07,23850.0
2014-08-08,23565.0
2014-08-11,23675.0
2014-08-12,23840.0
2014-08-13,24225.0
2014-08-14,23975.0
2014-08-18,23610.0
2014-08-19,23740.0
2014-08-20,23645.0
2014-08-21,23235.0
2014-08-22,23325.0
2014-08-25,23205.0
2014-08-26,23570.0
2014-08-27,23555.0
2014-08-28,23560.0
2014-08-29,24115.0
2014-09-01,23890.0
2014-09-02,23485.0
2014-09-03,23275.0
2014-09-04,23215.0
2014-09-05,23085.0
2014-09-11,23110.0
2014-09-12,23220.0
2014-09-15,23390.0
2014-09-16,23390.0
2014-09-17,23395.0
2014-09-18,22205.0
2014-09-19,22220.0
2014-09-22,22025.0
2014-09-23,21695.0
2014-09-24,21855.0
2014-09-25,21700.0
2014-09-26,21505.0
2014-09-29,21430.0
2014-09-30,21605.0
2014-10-01,21235.0
2014-10-02,20605.0
2014-10-06,20860.0
2014-10-07,20765.0
2014-10-08,20480.0
2014-10-10,20290.0
2014-10-13,20450.0
2014-10-14,20380.0
2014-10-15,20030.0
2014-10-16,19440.0
2014-10-17,19300.0
2014-10-20,19815.0
2014-10-21,19435.0
2014-10-22,18995.0
2014-10-23,19395.0
2014-10-24,19300.0
2014-10-27,19665.0
2014-10-28,19340.0
2014-10-29,19710.0
2014-10-30,19350.0
2014-10-31,19025.0
2014-11-03,18290.0
2014-11-04,17835.0
2014-11-05,17695.0
2014-11-06,18495.0
2014-11-07,18650.0
2014-11-10,19120.0
2014-11-11,19445.0
2014-11-12,19655.0
2014-11-13,19810.0
2014-11-14,19710.0
2014-11-17,19900.0
2014-11-18,19805.0
2014-11-19,19575.0
2014-11-20,19470.0
2014-11-21,19550.0
2014-11-24,20250.0
2014-11-25,20050.0
2014-11-26,19905.0
2014-11-27,20260.0
2014-11-28,19930.0
2014-12-01,19805.0
2014-12-02,19640.0
2014-12-03,19690.0
2014-12-04,20385.0
2014-12-05,20475.0
2014-12-08,20345.0
2014-12-09,20000.0
2014-12-10,19770.0
2014-12-11,19480.0
2014-12-12,19565.0
2014-12-15,19625.0
2014-12-16,19345.0
2014-12-17,19090.0
2014-12-18,18960.0
2014-12-19,19150.0
2014-12-22,19335.0
2014-12-23,19230.0
2014-12-24,19340.0
2014-12-26,19430.0
2014-12-29,19320.0
2014-12-30,19000.0
2015-01-02,19080.0
2015-01-05,18965.0
2015-01-06,18360.0
2015-01-07,18585.0
2015-01-08,18830.0
2015-01-09,19190.0
2015-01-12,19035.0
2015-01-13,19405.0
