Date,TREX 200
2014-01-13,25925.0
2014-01-14,25900.0
2014-01-15,25975.0
2014-01-16,26090.0
2014-01-17,25860.0
2014-01-20,26015.0
2014-01-21,26220.0
2014-01-22,26190.0
2014-01-23,25920.0
2014-01-24,25795.0
2014-01-27,25465.0
2014-01-28,25555.0
2014-01-29,25850.0
2014-02-03,25515.0
2014-02-04,25025.0
2014-02-05,25110.0
2014-02-06,25325.0
2014-02-07,25520.0
2014-02-10,25535.0
2014-02-11,25655.0
2014-02-12,25725.0
2014-02-13,25510.0
2014-02-14,25805.0
2014-02-17,25850.0
2014-02-18,25845.0
2014-02-19,25730.0
2014-02-20,25585.0
2014-02-21,25970.0
2014-02-24,25880.0
2014-02-25,26100.0
2014-02-26,26205.0
2014-02-27,26245.0
2014-02-28,26380.0
2014-03-03,26070.0
2014-03-04,25990.0
2014-03-05,26235.0
2014-03-06,26245.0
2014-03-07,26210.0
2014-03-10,25875.0
2014-03-11,25975.0
2014-03-12,25590.0
2014-03-13,25645.0
2014-03-14,25390.0
2014-03-17,25490.0
2014-03-18,25665.0
2014-03-19,25670.0
2014-03-20,25370.0
2014-03-21,25555.0
2014-03-24,25700.0
2014-03-25,25665.0
2014-03-26,26020.0
2014-03-27,26165.0
2014-03-28,26175.0
2014-03-31,26325.0
2014-04-01,26335.0
2014-04-02,26410.0
2014-04-03,26390.0
2014-04-04,26495.0
2014-04-07,26435.0
2014-04-08,26585.0
2014-04-09,26610.0
2014-04-10,26670.0
2014-04-11,26470.0
2014-04-14,26535.0
2014-04-15,26400.0
2014-04-16,26495.0
2014-04-17,26475.0
2014-04-18,26660.0
2014-04-21,26615.0
2014-04-22,26615.0
2014-04-23,26585.0
2014-04-24,26560.0
2014-04-25,26165.0
2014-04-28,26185.0
2014-04-29,25780.0
2014-04-30,25695.0
2014-05-02,25660.0
2014-05-07,25405.0
2014-05-08,25535.0
2014-05-09,25580.0
2014-05-12,25725.0
2014-05-13,26090.0
2014-05-14,26430.0
2014-05-15,26420.0
2014-05-16,26420.0
2014-05-19,26465.0
2014-05-20,26440.0
2014-05-21,26455.0
2014-05-22,26580.0
2014-05-23,26550.0
2014-05-26,26490.0
2014-05-27,26220.0
2014-05-28,26505.0
2014-05-29,26480.0
2014-05-30,26275.0
2014-06-02,26320.0
2014-06-03,26355.0
2014-06-05,26220.0
2014-06-09,26215.0
2014-06-10,26475.0
2014-06-11,26460.0
2014-06-12,26385.0
2014-06-13,26045.0
2014-06-16,26190.0
2014-06-17,26235.0
2014-06-18,26085.0
2014-06-19,26155.0
2014-06-20,25770.0
2014-06-23,25915.0
2014-06-24,26205.0
2014-06-25,26040.0
2014-06-26,26225.0
2014-06-27,26140.0
2014-06-30,26250.0
2014-07-01,26190.0
2014-07-02,26390.0
2014-07-03,26350.0
2014-07-04,26305.0
2014-07-07,26180.0
2014-07-08,26165.0
2014-07-09,26045.0
2014-07-10,26105.0
2014-07-11,25890.0
2014-07-14,25995.0
2014-07-15,26250.0
2014-07-16,26290.0
2014-07-17,26370.0
2014-07-18,26325.0
2014-07-21,26350.0
2014-07-22,26505.0
2014-07-23,26470.0
2014-07-24,26495.0
2014-07-25,26570.0
2014-07-28,26820.0
2014-07-29,27065.0
2014-07-30,27390.0
2014-07-31,27250.0
2014-08-01,27145.0
2014-08-04,27130.0
2014-08-05,26945.0
2014-08-06,26870.0
2014-08-07,26755.0
2014-08-08,26425.0
2014-08-11,26560.0
2014-08-12,26575.0
2014-08-13,26720.0
2014-08-14,26800.0
2014-08-18,26640.0
2014-08-19,26855.0
2014-08-20,26830.0
2014-08-21,26415.0
2014-08-22,26590.0
2014-08-25,26660.0
2014-08-26,26755.0
2014-08-27,26780.0
2014-08-28,26800.0
2014-08-29,26750.0
2014-09-01,26675.0
2014-09-02,26435.0
2014-09-03,26380.0
2014-09-04,26465.0
2014-09-05,26415.0
2014-09-11,26285.0
2014-09-12,26350.0
2014-09-15,26255.0
2014-09-16,26335.0
2014-09-17,26580.0
2014-09-18,26435.0
2014-09-19,26505.0
2014-09-22,26205.0
2014-09-23,26120.0
2014-09-24,26100.0
2014-09-25,26090.0
2014-09-26,26000.0
2014-09-29,25965.0
2014-09-30,25935.0
2014-10-01,25520.0
2014-10-02,25230.0
2014-10-06,25165.0
2014-10-07,25180.0
2014-10-08,25105.0
2014-10-10,24750.0
2014-10-13,24655.0
2014-10-14,24670.0
2014-10-15,24620.0
2014-10-16,24495.0
2014-10-17,24235.0
2014-10-20,24515.0
2014-10-21,24370.0
2014-10-22,24515.0
2014-10-23,24560.0
2014-10-24,24480.0
2014-10-27,24580.0
2014-10-28,24570.0
2014-10-29,25030.0
2014-10-30,25010.0
2014-10-31,25275.0
2014-11-03,25035.0
2014-11-04,24875.0
2014-11-05,24815.0
2014-11-06,24940.0
2014-11-07,24955.0
2014-11-10,25205.0
2014-11-11,25195.0
2014-11-12,25290.0
2014-11-13,25195.0
2014-11-14,24990.0
2014-11-17,25050.0
2014-11-18,25260.0
2014-11-19,25235.0
2014-11-20,25140.0
2014-11-21,25215.0
2014-11-24,25460.0
2014-11-25,25440.0
2014-11-26,25410.0
2014-11-27,25550.0
2014-11-28,25525.0
2014-12-01,25315.0
2014-12-02,25290.0
2014-12-03,25355.0
2014-12-04,25635.0
2014-12-05,25645.0
2014-12-08,25600.0
2014-12-09,25520.0
2014-12-10,25150.0
2014-12-11,24820.0
2014-12-12,24880.0
2014-12-15,24885.0
2014-12-16,24715.0
2014-12-17,24720.0
2014-12-18,24610.0
2014-12-19,24980.0
2014-12-22,25180.0
2014-12-23,25150.0
2014-12-24,25245.0
2014-12-26,25265.0
2014-12-29,25175.0
2014-12-30,24985.0
2015-01-02,24975.0
2015-01-05,24965.0
2015-01-06,24485.0
2015-01-07,24530.0
2015-01-08,24855.0
2015-01-09,25135.0
2015-01-12,25030.0
2015-01-13,25185.0
2015-01-14,25085.0
2015-01-15,25145.0
2015-01-16,24795.0
2015-01-19,25070.0
2015-01-20,25275.0
2015-01-21,25350.0
2015-01-22,25405.0
2015-01-23,25545.0
2015-01-26,25555.0
2015-01-27,25735.0
2015-01-28,25750.0
2015-01-29,25635.0
2015-01-30,25595.0
2015-02-02,25575.0
2015-02-03,25550.0
2015-02-04,25725.0
2015-02-05,25475.0
2015-02-06,25520.0
2015-02-09,25480.0
2015-02-10,25355.0
2015-02-11,25390.0
2015-02-12,25295.0
2015-02-13,25495.0
2015-02-16,25535.0
2015-02-17,25555.0
2015-02-23,25660.0
2015-02-24,25690.0
2015-02-25,25755.0
2015-02-26,25785.0
2015-02-27,25735.0
2015-03-02,25840.0
2015-03-03,25935.0
2015-03-04,25915.0
2015-03-05,25900.0
2015-03-06,26070.0
2015-03-09,25805.0
2015-03-10,25665.0
2015-03-11,25715.0
2015-03-12,25640.0
2015-03-13,25750.0
2015-03-16,25780.0
2015-03-17,26335.0
2015-03-18,26365.0
2015-03-19,26455.0
2015-03-20,26380.0
2015-03-23,26395.0
2015-03-24,26420.0
2015-03-25,26435.0
2015-03-26,26140.0
2015-03-27,26135.0
2015-03-30,26140.0
2015-03-31,26280.0
2015-04-01,25990.0
2015-04-02,26040.0
2015-04-03,26225.0
2015-04-06,26230.0
2015-04-07,26165.0
2015-04-08,26315.0
2015-04-09,26340.0
2015-04-10,26695.0
2015-04-13,26850.0
2015-04-14,27015.0
2015-04-15,27110.0
2015-04-16,27320.0
2015-04-17,27340.0
2015-04-20,27310.0
2015-04-21,27290.0
2015-04-22,27385.0
2015-04-23,27790.0
2015-04-24,27625.0
2015-04-27,27550.0
2015-04-28,27455.0
2015-04-29,26995.0
2015-04-30,26885.0
2015-05-04,26970.0
2015-05-06,26565.0
2015-05-07,26435.0
2015-05-08,26285.0
2015-05-11,26320.0
2015-05-12,26335.0
2015-05-13,26500.0
2015-05-14,26565.0
2015-05-15,26290.0
2015-05-18,26355.0
2015-05-19,26475.0
2015-05-20,26700.0
2015-05-21,26460.0
2015-05-22,26755.0
2015-05-26,26730.0
2015-05-27,26175.0
2015-05-28,26110.0
2015-05-29,26290.0
2015-06-01,26085.0
2015-06-02,25860.0
2015-06-03,25565.0
2015-06-04,25710.0
2015-06-05,25680.0
2015-06-08,25595.0
2015-06-09,25590.0
2015-06-10,25445.0
2015-06-11,25485.0
2015-06-12,25330.0
2015-06-15,25245.0
2015-06-16,24975.0
2015-06-17,25045.0
2015-06-18,25155.0
2015-06-19,25265.0
2015-06-22,25360.0
2015-06-23,25650.0
2015-06-24,25690.0
2015-06-25,25610.0
2015-06-26,25680.0
2015-06-29,25290.0
2015-06-30,25540.0
2015-07-01,25735.0
2015-07-02,25810.0
2015-07-03,25715.0
2015-07-06,25045.0
2015-07-07,25070.0
2015-07-08,24800.0
2015-07-09,24925.0
2015-07-10,24940.0
2015-07-13,25195.0
2015-07-14,25125.0
2015-07-15,25170.0
2015-07-16,25390.0
2015-07-17,25255.0
2015-07-20,25200.0
2015-07-21,25265.0
2015-07-22,25015.0
2015-07-23,24975.0
2015-07-24,24740.0
2015-07-27,24745.0
2015-07-28,24810.0
2015-07-29,24915.0
2015-07-30,24700.0
2015-07-31,24745.0
2015-08-03,24495.0
2015-08-04,24575.0
2015-08-05,24625.0
2015-08-06,24320.0
2015-08-07,24245.0
2015-08-10,24250.0
2015-08-11,24165.0
2015-08-12,23970.0
2015-08-13,24070.0
2015-08-17,23935.0
2015-08-18,23880.0
2015-08-19,23720.0
2015-08-20,23485.0
2015-08-21,23125.0
2015-08-24,22545.0
2015-08-25,22615.0
2015-08-26,22985.0
2015-08-27,23145.0
2015-08-28,23475.0
2015-08-31,23600.0
2015-09-01,23280.0
2015-09-02,23325.0
2015-09-03,23380.0
2015-09-04,23165.0
2015-09-07,23120.0
2015-09-08,23150.0
2015-09-09,23850.0
2015-09-10,23890.0
2015-09-11,23705.0
2015-09-14,23600.0
2015-09-15,23665.0
2015-09-16,24180.0
2015-09-17,24300.0
2015-09-18,24435.0
2015-09-21,24045.0
2015-09-22,24170.0
2015-09-23,23850.0
2015-09-24,23820.0
2015-09-25,23795.0
2015-09-30,24095.0
2015-10-01,24265.0
2015-10-02,24095.0
2015-10-05,24135.0
2015-10-06,24360.0
2015-10-07,24670.0
2015-10-08,24895.0
2015-10-12,25040.0
2015-10-13,24950.0
2015-10-14,24900.0
2015-10-15,25165.0
2015-10-16,25125.0
2015-10-19,25120.0
2015-10-20,25190.0
2015-10-21,25280.0
2015-10-22,25145.0
2015-10-23,25305.0
2015-10-26,25415.0
2015-10-27,25395.0
2015-10-28,25385.0
2015-10-29,25320.0
2015-10-30,25395.0
2015-11-02,25410.0
2015-11-03,25630.0
2015-11-04,25610.0
2015-11-05,25590.0
2015-11-06,25435.0
2015-11-09,25340.0
2015-11-10,24980.0
2015-11-11,24955.0
2015-11-12,24965.0
2015-11-13,24640.0
2015-11-16,24365.0
2015-11-17,24550.0
2015-11-18,24515.0
2015-11-19,24840.0
2015-11-20,24875.0
2015-11-23,25000.0
2015-11-24,25130.0
2015-11-25,25100.0
2015-11-26,25365.0
2015-11-27,25350.0
2015-11-30,24875.0
2015-12-01,25225.0
2015-12-02,25075.0
2015-12-03,24845.0
2015-12-04,24590.0
2015-12-07,24510.0
2015-12-08,24380.0
2015-12-09,24385.0
2015-12-10,24475.0
2015-12-11,24460.0
2015-12-14,24280.0
2015-12-15,24355.0
2015-12-16,24805.0
2015-12-17,24790.0
2015-12-18,24765.0
2015-12-21,24830.0
2015-12-22,24885.0
2015-12-23,25105.0
2015-12-24,25005.0
2015-12-28,24655.0
2015-12-29,24815.0
2015-12-30,24870.0
2016-01-04,24195.0
2016-01-05,24360.0
2016-01-06,24215.0
2016-01-07,23985.0
2016-01-08,24140.0
2016-01-11,23905.0
2016-01-12,23840.0
2016-01-13,24160.0
2016-01-14,23950.0
2016-01-15,23700.0
2016-01-18,23660.0
2016-01-19,23770.0
2016-01-20,23245.0
2016-01-21,23225.0
2016-01-22,23685.0
2016-01-25,23840.0
2016-01-26,23560.0
2016-01-27,23850.0
2016-01-28,23900.0
2016-01-29,24040.0
2016-02-01,24105.0
2016-02-02,23935.0
2016-02-03,23675.0
2016-02-04,24080.0
2016-02-05,24140.0
2016-02-11,23510.0
2016-02-12,23325.0
2016-02-15,23655.0
2016-02-16,23980.0
2016-02-17,24015.0
2016-02-18,24195.0
2016-02-19,24265.0
2016-02-22,24310.0
2016-02-23,24310.0
2016-02-24,24280.0
2016-02-25,24325.0
2016-02-26,24355.0
2016-02-29,24310.0
2016-03-02,24660.0
2016-03-03,24780.0
2016-03-04,24780.0
2016-03-07,24830.0
2016-03-08,24630.0
2016-03-09,24735.0
2016-03-10,24960.0
2016-03-11,25025.0
2016-03-14,25020.0
2016-03-15,25010.0
2016-03-16,25070.0
2016-03-17,25200.0
2016-03-18,25205.0
2016-03-21,25195.0
2016-03-22,25300.0
2016-03-23,25285.0
2016-03-24,25215.0
2016-03-25,25200.0
2016-03-28,25230.0
2016-03-29,25335.0
2016-03-30,25450.0
2016-03-31,25430.0
2016-04-01,24995.0
2016-04-04,25030.0
2016-04-05,24810.0
2016-04-06,24940.0
2016-04-07,24955.0
2016-04-08,24895.0
2016-04-11,24920.0
2016-04-12,25095.0
2016-04-14,25605.0
2016-04-15,25600.0
2016-04-18,25500.0
2016-04-19,25540.0
2016-04-20,25450.0
2016-04-21,25655.0
2016-04-22,25550.0
2016-04-25,25505.0
2016-04-26,25600.0
2016-04-27,25585.0
2016-04-28,24885.0
2016-04-29,24865.0
2016-05-02,24605.0
2016-05-03,24685.0
2016-05-04,24550.0
2016-05-09,24505.0
2016-05-10,24625.0
2016-05-11,24575.0
2016-05-12,24540.0
2016-05-13,24330.0
2016-05-16,24370.0
2016-05-17,24375.0
2016-05-18,24235.0
2016-05-19,24165.0
2016-05-20,24170.0
2016-05-23,24240.0
2016-05-24,24070.0
2016-05-25,24380.0
2016-05-26,24370.0
2016-05-27,24490.0
2016-05-30,24455.0
2016-05-31,24690.0
2016-06-01,24630.0
2016-06-02,24680.0
2016-06-03,24715.0
2016-06-07,25055.0
2016-06-08,25250.0
2016-06-09,25275.0
2016-06-10,25180.0
2016-06-13,24680.0
2016-06-14,24590.0
2016-06-15,24555.0
2016-06-16,24400.0
2016-06-17,24440.0
2016-06-20,24770.0
