Date,TREX 중소형가치
2014-01-13,7110.0
2014-01-14,7070.0
2014-01-15,7080.0
2014-01-16,7110.0
2014-01-17,7095.0
2014-01-20,7085.0
2014-01-21,7125.0
2014-01-22,7150.0
2014-01-23,7145.0
2014-01-24,7060.0
2014-01-27,6970.0
2014-01-28,7010.0
2014-01-29,7110.0
2014-02-03,7090.0
2014-02-04,7005.0
2014-02-05,7010.0
2014-02-06,7060.0
2014-02-07,7145.0
2014-02-10,7155.0
2014-02-11,7155.0
2014-02-12,7200.0
2014-02-13,7200.0
2014-02-14,7230.0
2014-02-17,7215.0
2014-02-18,7225.0
2014-02-19,7230.0
2014-02-20,7225.0
2014-02-21,7200.0
2014-02-24,7190.0
2014-02-25,7270.0
2014-02-26,7235.0
2014-02-27,7235.0
2014-02-28,7275.0
2014-03-03,7280.0
2014-03-04,7270.0
2014-03-05,7325.0
2014-03-06,7300.0
2014-03-07,7305.0
2014-03-10,7320.0
2014-03-11,7355.0
2014-03-12,7270.0
2014-03-13,7320.0
2014-03-14,7285.0
2014-03-17,7245.0
2014-03-18,7315.0
2014-03-19,7315.0
2014-03-20,7295.0
2014-03-21,7315.0
2014-03-24,7335.0
2014-03-25,7325.0
2014-03-26,7355.0
2014-03-27,7360.0
2014-03-28,7395.0
2014-03-31,7400.0
2014-04-01,7440.0
2014-04-02,7470.0
2014-04-03,7455.0
2014-04-04,7455.0
2014-04-07,7415.0
2014-04-08,7430.0
2014-04-09,7480.0
2014-04-10,7500.0
2014-04-11,7480.0
2014-04-14,7510.0
2014-04-15,7525.0
2014-04-16,7530.0
2014-04-17,7525.0
2014-04-18,7560.0
2014-04-21,7525.0
2014-04-22,7525.0
2014-04-23,7525.0
2014-04-24,7460.0
2014-04-25,7405.0
2014-04-28,7440.0
2014-04-29,7375.0
2014-04-30,7400.0
2014-05-02,7380.0
2014-05-07,7285.0
2014-05-08,7260.0
2014-05-09,7285.0
2014-05-12,7255.0
2014-05-13,7280.0
2014-05-14,7365.0
2014-05-15,7340.0
2014-05-16,7260.0
2014-05-19,7250.0
2014-05-20,7200.0
2014-05-21,7240.0
2014-05-22,7260.0
2014-05-23,7315.0
2014-05-26,7300.0
2014-05-27,7285.0
2014-05-28,7310.0
2014-05-29,7310.0
2014-05-30,7280.0
2014-06-02,7245.0
2014-06-03,7205.0
2014-06-05,7170.0
2014-06-09,7195.0
2014-06-10,7250.0
2014-06-11,7300.0
2014-06-12,7315.0
2014-06-13,7295.0
2014-06-16,7330.0
2014-06-17,7295.0
2014-06-18,7300.0
2014-06-19,7300.0
2014-06-20,7280.0
2014-06-23,7305.0
2014-06-24,7295.0
2014-06-25,7250.0
2014-06-26,7280.0
2014-06-27,7310.0
2014-06-30,7355.0
2014-07-01,7375.0
2014-07-02,7440.0
2014-07-03,7465.0
2014-07-04,7505.0
2014-07-07,7445.0
2014-07-08,7510.0
2014-07-09,7500.0
2014-07-10,7500.0
2014-07-11,7480.0
2014-07-14,7510.0
2014-07-15,7500.0
2014-07-16,7430.0
2014-07-17,7500.0
2014-07-18,7435.0
2014-07-21,7495.0
2014-07-22,7495.0
2014-07-23,7550.0
2014-07-24,7535.0
2014-07-25,7550.0
2014-07-28,7530.0
2014-07-29,7515.0
2014-07-30,7555.0
2014-07-31,7635.0
2014-08-01,7650.0
2014-08-04,7650.0
2014-08-05,7625.0
2014-08-06,7570.0
2014-08-07,7585.0
2014-08-08,7555.0
2014-08-11,7615.0
2014-08-12,7630.0
2014-08-13,7700.0
2014-08-14,7695.0
2014-08-18,7710.0
2014-08-19,7710.0
2014-08-20,7700.0
2014-08-21,7655.0
2014-08-22,7705.0
2014-08-25,7750.0
2014-08-26,7790.0
2014-08-27,7845.0
2014-08-28,7825.0
2014-08-29,7795.0
2014-09-01,7785.0
2014-09-02,7770.0
2014-09-03,7785.0
2014-09-04,7815.0
2014-09-05,7830.0
2014-09-11,7835.0
2014-09-12,7775.0
2014-09-15,7730.0
2014-09-16,7790.0
2014-09-17,7850.0
2014-09-18,7825.0
2014-09-19,7890.0
2014-09-22,7850.0
2014-09-23,7860.0
2014-09-24,7900.0
2014-09-25,7930.0
2014-09-26,7820.0
2014-09-29,7740.0
2014-09-30,7760.0
2014-10-01,7660.0
2014-10-02,7665.0
2014-10-06,7670.0
2014-10-07,7630.0
2014-10-08,7670.0
2014-10-10,7560.0
2014-10-13,7410.0
2014-10-14,7450.0
2014-10-15,7440.0
2014-10-16,7450.0
2014-10-17,7400.0
2014-10-20,7520.0
2014-10-21,7490.0
2014-10-22,7585.0
2014-10-23,7570.0
2014-10-24,7480.0
2014-10-27,7520.0
2014-10-28,7450.0
2014-10-29,7505.0
2014-10-30,7405.0
2014-10-31,7390.0
2014-11-03,7365.0
2014-11-04,7285.0
2014-11-05,7330.0
2014-11-06,7285.0
2014-11-07,7280.0
2014-11-10,7290.0
2014-11-11,7300.0
2014-11-12,7335.0
2014-11-13,7365.0
2014-11-14,7300.0
2014-11-17,7220.0
2014-11-18,7285.0
2014-11-19,7305.0
2014-11-20,7295.0
2014-11-21,7290.0
2014-11-24,7350.0
2014-11-25,7360.0
2014-11-26,7375.0
2014-11-27,7305.0
2014-11-28,7290.0
2014-12-01,7225.0
2014-12-02,7250.0
2014-12-03,7300.0
2014-12-04,7315.0
2014-12-05,7330.0
2014-12-08,7320.0
2014-12-09,7255.0
2014-12-10,7195.0
2014-12-11,7145.0
2014-12-12,7105.0
2014-12-15,7100.0
2014-12-16,7080.0
2014-12-17,7110.0
2014-12-18,7100.0
2014-12-19,7155.0
2014-12-22,7160.0
2014-12-23,7170.0
2014-12-24,7240.0
2014-12-26,7225.0
2014-12-29,7260.0
2014-12-30,7265.0
2015-01-02,7215.0
2015-01-05,7230.0
2015-01-06,7160.0
2015-01-07,7125.0
2015-01-08,7140.0
2015-01-09,7220.0
2015-01-12,7215.0
2015-01-13,7215.0
2015-01-14,7230.0
2015-01-15,7225.0
2015-01-16,7180.0
2015-01-19,7225.0
2015-01-20,7250.0
2015-01-21,7250.0
2015-01-22,7195.0
2015-01-23,7250.0
2015-01-26,7215.0
2015-01-27,7280.0
2015-01-28,7320.0
2015-01-29,7320.0
2015-01-30,7325.0
2015-02-02,7365.0
2015-02-03,7355.0
2015-02-04,7400.0
2015-02-05,7440.0
2015-02-06,7445.0
2015-02-09,7430.0
2015-02-10,7435.0
2015-02-11,7510.0
2015-02-12,7490.0
2015-02-13,7495.0
2015-02-16,7555.0
2015-02-17,7515.0
2015-02-23,7590.0
2015-02-24,7700.0
2015-02-25,7725.0
2015-02-26,7740.0
2015-02-27,7750.0
2015-03-02,7775.0
2015-03-03,7790.0
2015-03-04,7800.0
2015-03-05,7815.0
2015-03-06,7815.0
2015-03-09,7735.0
2015-03-10,7650.0
2015-03-11,7655.0
2015-03-12,7690.0
2015-03-13,7760.0
2015-03-16,7760.0
2015-03-17,7840.0
2015-03-18,7855.0
2015-03-19,7880.0
2015-03-20,7895.0
2015-03-23,7935.0
2015-03-24,8005.0
2015-03-25,8025.0
2015-03-26,7970.0
2015-03-27,7980.0
2015-03-30,8090.0
2015-03-31,8140.0
2015-04-01,8145.0
2015-04-02,8210.0
2015-04-03,8295.0
