Date,TREX 펀더멘탈 200
2014-01-13,25995.0
2014-01-14,25925.0
2014-01-15,26025.0
2014-01-16,26070.0
2014-01-17,25860.0
2014-01-20,25930.0
2014-01-21,26110.0
2014-01-22,26190.0
2014-01-23,25905.0
2014-01-24,25810.0
2014-01-27,25410.0
2014-01-28,25440.0
2014-01-29,25780.0
2014-02-03,25450.0
2014-02-04,24995.0
2014-02-05,25045.0
2014-02-06,25205.0
2014-02-07,25340.0
2014-02-10,25365.0
2014-02-11,25425.0
2014-02-12,25475.0
2014-02-13,25350.0
2014-02-14,25530.0
2014-02-17,25740.0
2014-02-18,25725.0
2014-02-19,25640.0
2014-02-20,25515.0
2014-02-21,25855.0
2014-02-24,25785.0
2014-02-25,25980.0
2014-02-26,26070.0
2014-02-27,26180.0
2014-02-28,26140.0
2014-03-03,25960.0
2014-03-04,25780.0
2014-03-05,25985.0
2014-03-06,26050.0
2014-03-07,26010.0
2014-03-10,25705.0
2014-03-11,25820.0
2014-03-12,25440.0
2014-03-13,25430.0
2014-03-14,25235.0
2014-03-17,25400.0
2014-03-18,25560.0
2014-03-19,25515.0
2014-03-20,25240.0
2014-03-21,25410.0
2014-03-24,25570.0
2014-03-25,25600.0
2014-03-26,25890.0
2014-03-27,26050.0
2014-03-28,26070.0
2014-03-31,26155.0
2014-04-01,26245.0
2014-04-02,26255.0
2014-04-03,26140.0
2014-04-04,26180.0
2014-04-07,26275.0
2014-04-08,26380.0
2014-04-09,26530.0
2014-04-10,26630.0
2014-04-11,26500.0
2014-04-14,26485.0
2014-04-15,26385.0
2014-04-16,26330.0
2014-04-17,26330.0
2014-04-18,26495.0
2014-04-21,26415.0
2014-04-22,26440.0
2014-04-23,26375.0
2014-04-24,26340.0
2014-04-25,25960.0
2014-04-28,25920.0
2014-04-29,25595.0
2014-04-30,25560.0
2014-05-02,25525.0
2014-05-07,25245.0
2014-05-08,25440.0
2014-05-09,25485.0
2014-05-12,25475.0
2014-05-13,25705.0
2014-05-14,26125.0
2014-05-15,26130.0
2014-05-16,26150.0
2014-05-19,26210.0
2014-05-20,26110.0
2014-05-21,26035.0
2014-05-22,26200.0
2014-05-23,26195.0
2014-05-26,26090.0
2014-05-27,25905.0
2014-05-28,26100.0
2014-05-29,25990.0
2014-05-30,25715.0
2014-06-02,25850.0
2014-06-03,25895.0
2014-06-05,25770.0
2014-06-09,25740.0
2014-06-10,26000.0
2014-06-11,26015.0
2014-06-12,25965.0
2014-06-13,25685.0
2014-06-16,25725.0
2014-06-17,25830.0
2014-06-18,25675.0
2014-06-19,25760.0
2014-06-20,25395.0
2014-06-23,25470.0
2014-06-24,25725.0
2014-06-25,25625.0
2014-06-26,25755.0
2014-06-27,25695.0
2014-06-30,25785.0
2014-07-01,25675.0
2014-07-02,25970.0
2014-07-03,25940.0
2014-07-04,25915.0
2014-07-07,25825.0
2014-07-08,25800.0
2014-07-09,25685.0
2014-07-10,25740.0
2014-07-11,25515.0
2014-07-14,25565.0
2014-07-15,25790.0
2014-07-16,25830.0
2014-07-17,25965.0
2014-07-18,25900.0
2014-07-21,25935.0
2014-07-22,26040.0
2014-07-23,26105.0
2014-07-24,26155.0
2014-07-25,26230.0
2014-07-28,26510.0
2014-07-29,26775.0
2014-07-30,27050.0
2014-07-31,27045.0
2014-08-01,27000.0
2014-08-04,27035.0
2014-08-05,26820.0
2014-08-06,26775.0
2014-08-07,26655.0
2014-08-08,26360.0
2014-08-11,26450.0
2014-08-12,26430.0
2014-08-13,26660.0
2014-08-14,26680.0
2014-08-18,26585.0
2014-08-19,26775.0
2014-08-20,26740.0
2014-08-21,26355.0
2014-08-22,26520.0
2014-08-25,26545.0
2014-08-26,26665.0
2014-08-27,26760.0
2014-08-28,26785.0
2014-08-29,26715.0
2014-09-01,26735.0
2014-09-02,26515.0
2014-09-03,26530.0
2014-09-04,26620.0
2014-09-05,26575.0
2014-09-11,26435.0
2014-09-12,26595.0
2014-09-15,26500.0
2014-09-16,26525.0
2014-09-17,26750.0
2014-09-18,26535.0
2014-09-19,26590.0
2014-09-22,26380.0
2014-09-23,26230.0
2014-09-24,26295.0
2014-09-25,26240.0
2014-09-26,26130.0
2014-09-29,26005.0
2014-09-30,25940.0
2014-10-01,25545.0
2014-10-02,25280.0
2014-10-06,25140.0
2014-10-07,25230.0
2014-10-08,25195.0
2014-10-10,24920.0
2014-10-13,24775.0
2014-10-14,24750.0
2014-10-15,24595.0
2014-10-16,24495.0
2014-10-17,24235.0
2014-10-20,24595.0
2014-10-21,24380.0
2014-10-22,24620.0
2014-10-23,24500.0
2014-10-24,24415.0
2014-10-27,24610.0
2014-10-28,24485.0
2014-10-29,25025.0
2014-10-30,24930.0
2014-10-31,24990.0
2014-11-03,24795.0
2014-11-04,24565.0
2014-11-05,24545.0
2014-11-06,24690.0
2014-11-07,24700.0
2014-11-10,25005.0
2014-11-11,25040.0
2014-11-12,25130.0
2014-11-13,25065.0
2014-11-14,24880.0
2014-11-17,24945.0
2014-11-18,25130.0
2014-11-19,25065.0
2014-11-20,24950.0
2014-11-21,25100.0
2014-11-24,25425.0
2014-11-25,25385.0
2014-11-26,25315.0
2014-11-27,25330.0
2014-11-28,25265.0
2014-12-01,25020.0
2014-12-02,24995.0
2014-12-03,25055.0
2014-12-04,25305.0
2014-12-05,25325.0
2014-12-08,25245.0
2014-12-09,25135.0
2014-12-10,24800.0
2014-12-11,24460.0
2014-12-12,24520.0
2014-12-15,24495.0
2014-12-16,24240.0
2014-12-17,24290.0
2014-12-18,24255.0
2014-12-19,24600.0
2014-12-22,24795.0
2014-12-23,24780.0
2014-12-24,24845.0
2014-12-26,24855.0
2014-12-29,24800.0
2014-12-30,24570.0
2015-01-02,24565.0
2015-01-05,24455.0
2015-01-06,24055.0
2015-01-07,24075.0
2015-01-08,24335.0
2015-01-09,24600.0
2015-01-12,24550.0
2015-01-13,24550.0
2015-01-14,24485.0
2015-01-15,24380.0
2015-01-16,24080.0
2015-01-19,24350.0
2015-01-20,24555.0
2015-01-21,24615.0
2015-01-22,24690.0
2015-01-23,24830.0
2015-01-26,24795.0
2015-01-27,25005.0
2015-01-28,25015.0
2015-01-29,24970.0
2015-01-30,24940.0
2015-02-02,25020.0
2015-02-03,25005.0
2015-02-04,25150.0
2015-02-05,24935.0
2015-02-06,24995.0
2015-02-09,24975.0
2015-02-10,24890.0
2015-02-11,24965.0
2015-02-12,24920.0
2015-02-13,25110.0
2015-02-16,25070.0
2015-02-17,25150.0
2015-02-23,25230.0
2015-02-24,25245.0
2015-02-25,25490.0
2015-02-26,25580.0
2015-02-27,25415.0
2015-03-02,25520.0
2015-03-03,25605.0
2015-03-04,25530.0
2015-03-05,25540.0
2015-03-06,25660.0
2015-03-09,25400.0
2015-03-10,25295.0
2015-03-11,25185.0
2015-03-12,25060.0
2015-03-13,25200.0
2015-03-16,25135.0
2015-03-17,25620.0
2015-03-18,25645.0
2015-03-19,25790.0
2015-03-20,25695.0
2015-03-23,25660.0
2015-03-24,25715.0
2015-03-25,25630.0
2015-03-26,25490.0
2015-03-27,25435.0
2015-03-30,25475.0
2015-03-31,25570.0
2015-04-01,25385.0
2015-04-02,25470.0
2015-04-03,25665.0
2015-04-06,25625.0
2015-04-07,25660.0
2015-04-08,25870.0
2015-04-09,25845.0
2015-04-10,26175.0
2015-04-13,26330.0
2015-04-14,26620.0
2015-04-15,26620.0
2015-04-16,26865.0
2015-04-17,26885.0
2015-04-20,26930.0
2015-04-21,26855.0
2015-04-22,26855.0
2015-04-23,27315.0
2015-04-24,27220.0
2015-04-27,27175.0
2015-04-28,27105.0
2015-04-29,26635.0
2015-04-30,26550.0
2015-05-04,26705.0
2015-05-06,26405.0
2015-05-07,26190.0
2015-05-08,26075.0
2015-05-11,26125.0
2015-05-12,26155.0
2015-05-13,26340.0
2015-05-14,26320.0
2015-05-15,26020.0
2015-05-18,26000.0
2015-05-19,26160.0
2015-05-20,26285.0
2015-05-21,26065.0
2015-05-22,26465.0
2015-05-26,26320.0
2015-05-27,25765.0
2015-05-28,25710.0
2015-05-29,25710.0
2015-06-01,25655.0
2015-06-02,25420.0
2015-06-03,25250.0
2015-06-04,25300.0
2015-06-05,25215.0
2015-06-08,25210.0
2015-06-09,25210.0
2015-06-10,25145.0
2015-06-11,25175.0
2015-06-12,25015.0
2015-06-15,24965.0
2015-06-16,24700.0
2015-06-17,24795.0
2015-06-18,24810.0
2015-06-19,24895.0
2015-06-22,25070.0
2015-06-23,25360.0
2015-06-24,25395.0
2015-06-25,25270.0
2015-06-26,25340.0
2015-06-29,24935.0
2015-06-30,25120.0
2015-07-01,25370.0
2015-07-02,25380.0
2015-07-03,25290.0
2015-07-06,24690.0
2015-07-07,24855.0
2015-07-08,24520.0
2015-07-09,24610.0
2015-07-10,24595.0
2015-07-13,24835.0
2015-07-14,24750.0
2015-07-15,24785.0
2015-07-16,24870.0
2015-07-17,24660.0
2015-07-20,24505.0
2015-07-21,24720.0
2015-07-22,24490.0
2015-07-23,24445.0
2015-07-24,24170.0
2015-07-27,24230.0
2015-07-28,24210.0
2015-07-29,24270.0
2015-07-30,24275.0
2015-07-31,24325.0
2015-08-03,24035.0
2015-08-04,24305.0
2015-08-05,24275.0
2015-08-06,24015.0
2015-08-07,23930.0
2015-08-10,23805.0
2015-08-11,23760.0
2015-08-12,23805.0
2015-08-13,23840.0
2015-08-17,23625.0
2015-08-18,23635.0
2015-08-19,23660.0
2015-08-20,23345.0
2015-08-21,22875.0
2015-08-24,22270.0
2015-08-25,22410.0
2015-08-26,22900.0
2015-08-27,22960.0
2015-08-28,23310.0
2015-08-31,23390.0
2015-09-01,23180.0
2015-09-02,23270.0
2015-09-03,23290.0
2015-09-04,23070.0
2015-09-07,23015.0
2015-09-08,23110.0
2015-09-09,23685.0
2015-09-10,24020.0
2015-09-11,23825.0
2015-09-14,23705.0
2015-09-15,23780.0
2015-09-16,24315.0
2015-09-17,24315.0
2015-09-18,24400.0
2015-09-21,23975.0
2015-09-22,24220.0
2015-09-23,23755.0
2015-09-24,23730.0
2015-09-25,23745.0
2015-09-30,24000.0
2015-10-01,24170.0
2015-10-02,23990.0
2015-10-05,24030.0
2015-10-06,24165.0
2015-10-07,24510.0
2015-10-08,24750.0
2015-10-12,24865.0
2015-10-13,24885.0
2015-10-14,24785.0
2015-10-15,25075.0
2015-10-16,24975.0
2015-10-19,25020.0
2015-10-20,25090.0
2015-10-21,25250.0
2015-10-22,25015.0
2015-10-23,25170.0
2015-10-26,25265.0
2015-10-27,25235.0
2015-10-28,25165.0
2015-10-29,25035.0
2015-10-30,25055.0
2015-11-02,25115.0
2015-11-03,25285.0
2015-11-04,25340.0
2015-11-05,25285.0
2015-11-06,25085.0
2015-11-09,24945.0
2015-11-10,24670.0
2015-11-11,24630.0
2015-11-12,24605.0
2015-11-13,24325.0
2015-11-16,23975.0
2015-11-17,24220.0
2015-11-18,24205.0
2015-11-19,24500.0
2015-11-20,24495.0
2015-11-23,24525.0
2015-11-24,24735.0
2015-11-25,24610.0
2015-11-26,24875.0
2015-11-27,24895.0
2015-11-30,24445.0
2015-12-01,24850.0
2015-12-02,24635.0
2015-12-03,24445.0
2015-12-04,24235.0
2015-12-07,24135.0
2015-12-08,23960.0
2015-12-09,23985.0
2015-12-10,24075.0
2015-12-11,24000.0
2015-12-14,23805.0
2015-12-15,23825.0
2015-12-16,24320.0
2015-12-17,24380.0
2015-12-18,24325.0
2015-12-21,24365.0
2015-12-22,24535.0
2015-12-23,24650.0
2015-12-24,24595.0
2015-12-28,24255.0
2015-12-29,24470.0
2015-12-30,24365.0
2016-01-04,23800.0
2016-01-05,23940.0
2016-01-06,23765.0
2016-01-07,23485.0
2016-01-08,23620.0
2016-01-11,23425.0
2016-01-12,23385.0
2016-01-13,23690.0
2016-01-14,23535.0
2016-01-15,23225.0
2016-01-18,23175.0
2016-01-19,23235.0
2016-01-20,22630.0
2016-01-21,22635.0
2016-01-22,23085.0
2016-01-25,23250.0
2016-01-26,23005.0
2016-01-27,23370.0
2016-01-28,23520.0
2016-01-29,23625.0
2016-02-01,23735.0
2016-02-02,23525.0
2016-02-03,23255.0
2016-02-04,23675.0
2016-02-05,23770.0
2016-02-11,23180.0
2016-02-12,23135.0
2016-02-15,23525.0
2016-02-16,23835.0
2016-02-17,23985.0
2016-02-18,24180.0
2016-02-19,24335.0
2016-02-22,24290.0
2016-02-23,24355.0
2016-02-24,24385.0
2016-02-25,24400.0
2016-02-26,24350.0
