Date,마이티 코스피100
2014-01-13,19365.0
2014-01-14,19395.0
2014-01-15,19380.0
2014-01-16,19540.0
2014-01-17,19365.0
2014-01-20,19385.0
2014-01-21,19570.0
2014-01-22,19540.0
2014-01-23,19455.0
2014-01-24,19220.0
2014-01-27,18990.0
2014-01-28,19020.0
2014-01-29,19400.0
2014-02-03,19080.0
2014-02-04,18665.0
2014-02-05,18735.0
2014-02-06,18870.0
2014-02-07,19025.0
2014-02-10,19030.0
2014-02-11,19130.0
2014-02-12,19255.0
2014-02-13,19075.0
2014-02-14,19270.0
2014-02-17,19320.0
2014-02-18,19320.0
2014-02-19,19255.0
2014-02-20,19180.0
2014-02-21,19385.0
2014-02-24,19380.0
2014-02-25,19540.0
2014-02-26,19545.0
2014-02-27,19585.0
2014-02-28,19665.0
2014-03-03,19485.0
2014-03-04,19460.0
2014-03-05,19610.0
2014-03-06,19610.0
2014-03-07,19610.0
2014-03-10,19390.0
2014-03-11,19390.0
2014-03-12,19145.0
2014-03-13,19180.0
2014-03-14,18940.0
2014-03-17,18990.0
2014-03-18,19160.0
2014-03-19,19145.0
2014-03-20,18975.0
2014-03-21,19015.0
2014-03-24,19165.0
2014-03-25,19160.0
2014-03-26,19405.0
2014-03-27,19535.0
2014-03-28,19555.0
2014-03-31,19610.0
2014-04-01,19640.0
2014-04-02,19720.0
2014-04-03,19770.0
2014-04-04,19770.0
2014-04-07,19770.0
2014-04-08,19840.0
2014-04-09,19850.0
2014-04-10,19895.0
2014-04-11,19740.0
2014-04-14,19830.0
2014-04-15,19880.0
2014-04-16,19850.0
2014-04-17,19820.0
2014-04-18,19895.0
2014-04-21,19850.0
2014-04-22,19860.0
2014-04-23,19860.0
2014-04-24,19860.0
2014-04-25,19710.0
2014-04-28,19605.0
2014-04-29,19485.0
2014-04-30,19270.0
2014-05-02,19255.0
2014-05-07,19055.0
2014-05-08,19115.0
2014-05-09,19135.0
2014-05-12,19250.0
2014-05-13,19575.0
2014-05-14,19810.0
