Date,파워 200
2014-01-13,25840.0
2014-01-14,25805.0
2014-01-15,25850.0
2014-01-16,26000.0
2014-01-17,25770.0
2014-01-20,25925.0
2014-01-21,26125.0
2014-01-22,26115.0
2014-01-23,25825.0
2014-01-24,25705.0
2014-01-27,25355.0
2014-01-28,25485.0
2014-01-29,25810.0
2014-02-03,25440.0
2014-02-04,24955.0
2014-02-05,25015.0
2014-02-06,25240.0
2014-02-07,25440.0
2014-02-10,25460.0
2014-02-11,25550.0
2014-02-12,25655.0
2014-02-13,25475.0
2014-02-14,25720.0
2014-02-17,25800.0
2014-02-18,25800.0
2014-02-19,25670.0
2014-02-20,25520.0
2014-02-21,25900.0
2014-02-24,25825.0
2014-02-25,26035.0
2014-02-26,26145.0
2014-02-27,26190.0
2014-02-28,26325.0
2014-03-03,26035.0
2014-03-04,25935.0
2014-03-05,26185.0
2014-03-06,26195.0
2014-03-07,26165.0
2014-03-10,25820.0
2014-03-11,25905.0
2014-03-12,25485.0
2014-03-13,25595.0
2014-03-14,25325.0
2014-03-17,25425.0
2014-03-18,25585.0
2014-03-19,25600.0
2014-03-20,25305.0
2014-03-21,25485.0
2014-03-24,25630.0
2014-03-25,25590.0
2014-03-26,25950.0
2014-03-27,26060.0
2014-03-28,26065.0
2014-03-31,26270.0
2014-04-01,26250.0
2014-04-02,26295.0
2014-04-03,26265.0
2014-04-04,26380.0
2014-04-07,26365.0
2014-04-08,26510.0
2014-04-09,26550.0
2014-04-10,26600.0
2014-04-11,26405.0
2014-04-14,26435.0
2014-04-15,26295.0
2014-04-16,26430.0
2014-04-17,26370.0
2014-04-18,26595.0
2014-04-21,26555.0
2014-04-22,26555.0
2014-04-23,26530.0
2014-04-24,26495.0
2014-04-25,26095.0
2014-04-28,26110.0
2014-04-29,25625.0
2014-04-30,25480.0
2014-05-02,25505.0
2014-05-07,25255.0
2014-05-08,25370.0
2014-05-09,25405.0
2014-05-12,25560.0
2014-05-13,25910.0
2014-05-14,26265.0
2014-05-15,26235.0
2014-05-16,26255.0
2014-05-19,26285.0
2014-05-20,26260.0
2014-05-21,26275.0
2014-05-22,26340.0
2014-05-23,26340.0
2014-05-26,26320.0
2014-05-27,26005.0
2014-05-28,26330.0
2014-05-29,26280.0
2014-05-30,26095.0
2014-06-02,26115.0
2014-06-03,26180.0
2014-06-05,26030.0
2014-06-09,26045.0
2014-06-10,26295.0
2014-06-11,26265.0
2014-06-12,26155.0
2014-06-13,25860.0
2014-06-16,25955.0
2014-06-17,26045.0
2014-06-18,25895.0
2014-06-19,25975.0
2014-06-20,25590.0
2014-06-23,25730.0
2014-06-24,26010.0
2014-06-25,25850.0
2014-06-26,26035.0
2014-06-27,25960.0
2014-06-30,26165.0
2014-07-01,26020.0
2014-07-02,26180.0
2014-07-03,26175.0
2014-07-04,26135.0
2014-07-07,26000.0
2014-07-08,25985.0
2014-07-09,25870.0
2014-07-10,25885.0
2014-07-11,25705.0
2014-07-14,25765.0
2014-07-15,26045.0
2014-07-16,26115.0
2014-07-17,26205.0
2014-07-18,26150.0
2014-07-21,26170.0
2014-07-22,26335.0
2014-07-23,26320.0
2014-07-24,26335.0
2014-07-25,26400.0
2014-07-28,26625.0
2014-07-29,26880.0
2014-07-30,27165.0
2014-07-31,27055.0
2014-08-01,26970.0
2014-08-04,26965.0
2014-08-05,26775.0
2014-08-06,26700.0
2014-08-07,26595.0
2014-08-08,26250.0
2014-08-11,26395.0
2014-08-12,26420.0
2014-08-13,26565.0
2014-08-14,26630.0
2014-08-18,26460.0
2014-08-19,26675.0
2014-08-20,26690.0
2014-08-21,26255.0
2014-08-22,26415.0
2014-08-25,26510.0
2014-08-26,26605.0
2014-08-27,26605.0
2014-08-28,26625.0
2014-08-29,26645.0
2014-09-01,26525.0
2014-09-02,26280.0
2014-09-03,26225.0
2014-09-04,26310.0
2014-09-05,26205.0
2014-09-11,26075.0
2014-09-12,26150.0
2014-09-15,26090.0
2014-09-16,26170.0
2014-09-17,26420.0
2014-09-18,26275.0
2014-09-19,26350.0
2014-09-22,26060.0
2014-09-23,25965.0
2014-09-24,25950.0
2014-09-25,25940.0
2014-09-26,25855.0
2014-09-29,25805.0
2014-09-30,25740.0
2014-10-01,25370.0
2014-10-02,25070.0
2014-10-06,25030.0
2014-10-07,25040.0
2014-10-08,24950.0
2014-10-10,24600.0
2014-10-13,24515.0
2014-10-14,24510.0
2014-10-15,24490.0
2014-10-16,24365.0
2014-10-17,24105.0
2014-10-20,24395.0
2014-10-21,24245.0
2014-10-22,24405.0
2014-10-23,24440.0
2014-10-24,24365.0
2014-10-27,24465.0
2014-10-28,24430.0
2014-10-29,24895.0
2014-10-30,24885.0
2014-10-31,25145.0
2014-11-03,24925.0
2014-11-04,24750.0
2014-11-05,24635.0
2014-11-06,24805.0
2014-11-07,24820.0
2014-11-10,25065.0
2014-11-11,25065.0
2014-11-12,25145.0
2014-11-13,25085.0
2014-11-14,24875.0
2014-11-17,24925.0
2014-11-18,25125.0
2014-11-19,25085.0
2014-11-20,24995.0
2014-11-21,25075.0
2014-11-24,25315.0
2014-11-25,25275.0
2014-11-26,25265.0
2014-11-27,25415.0
2014-11-28,25485.0
2014-12-01,25185.0
2014-12-02,25170.0
2014-12-03,25220.0
2014-12-04,25450.0
2014-12-05,25505.0
2014-12-08,25455.0
2014-12-09,25380.0
2014-12-10,25000.0
2014-12-11,24690.0
2014-12-12,24745.0
2014-12-15,24750.0
2014-12-16,24585.0
2014-12-17,24500.0
2014-12-18,24500.0
2014-12-19,24880.0
2014-12-22,25095.0
2014-12-23,25075.0
2014-12-24,25160.0
2014-12-26,25175.0
2014-12-29,25100.0
2014-12-30,24925.0
2015-01-02,24915.0
2015-01-05,24910.0
2015-01-06,24440.0
2015-01-07,24460.0
2015-01-08,24770.0
2015-01-09,25050.0
2015-01-12,24970.0
2015-01-13,25085.0
2015-01-14,25000.0
2015-01-15,25065.0
2015-01-16,24735.0
2015-01-19,24980.0
2015-01-20,25175.0
2015-01-21,25260.0
2015-01-22,25270.0
2015-01-23,25445.0
2015-01-26,25435.0
2015-01-27,25640.0
2015-01-28,25660.0
2015-01-29,25545.0
2015-01-30,25560.0
2015-02-02,25455.0
2015-02-03,25460.0
2015-02-04,25635.0
2015-02-05,25390.0
2015-02-06,25415.0
2015-02-09,25385.0
2015-02-10,25265.0
2015-02-11,25275.0
2015-02-12,25205.0
2015-02-13,25395.0
2015-02-16,25450.0
2015-02-17,25475.0
2015-02-23,25580.0
2015-02-24,25615.0
2015-02-25,25695.0
2015-02-26,25710.0
2015-02-27,25675.0
2015-03-02,25780.0
2015-03-03,25880.0
2015-03-04,25860.0
2015-03-05,25860.0
2015-03-06,26025.0
2015-03-09,25770.0
2015-03-10,25630.0
2015-03-11,25680.0
2015-03-12,25595.0
2015-03-13,25685.0
2015-03-16,25725.0
2015-03-17,26300.0
2015-03-18,26280.0
2015-03-19,26360.0
2015-03-20,26280.0
2015-03-23,26320.0
2015-03-24,26360.0
2015-03-25,26355.0
2015-03-26,26085.0
2015-03-27,26040.0
2015-03-30,26095.0
2015-03-31,26220.0
2015-04-01,25940.0
2015-04-02,25975.0
2015-04-03,26155.0
2015-04-06,26165.0
2015-04-07,26080.0
2015-04-08,26270.0
2015-04-09,26270.0
2015-04-10,26640.0
2015-04-13,26790.0
2015-04-14,26970.0
2015-04-15,27015.0
2015-04-16,27275.0
2015-04-17,27295.0
