Date,파워 중기국고채
2014-01-13,102545.0
2014-01-14,102610.0
2014-01-15,102580.0
2014-01-16,102640.0
2014-01-17,102650.0
2014-01-20,102630.0
2014-01-21,102610.0
2014-01-22,102580.0
2014-01-23,102660.0
2014-01-24,102800.0
2014-01-27,102750.0
2014-01-28,102750.0
2014-01-29,102760.0
2014-02-03,102815.0
2014-02-04,102905.0
2014-02-05,102915.0
2014-02-06,102925.0
2014-02-07,102940.0
2014-02-10,102995.0
2014-02-11,103040.0
2014-02-12,103005.0
2014-02-13,103075.0
2014-02-14,103120.0
2014-02-17,103090.0
2014-02-18,103055.0
2014-02-19,103085.0
2014-02-20,103085.0
2014-02-21,103070.0
2014-02-24,103095.0
2014-02-25,103095.0
2014-02-26,103165.0
2014-02-27,103210.0
2014-02-28,103210.0
2014-03-03,103220.0
2014-03-04,103060.0
2014-03-05,103080.0
2014-03-06,102590.0
2014-03-07,102585.0
2014-03-10,102630.0
2014-03-11,102660.0
2014-03-12,102710.0
2014-03-13,102735.0
2014-03-14,102860.0
2014-03-17,102820.0
2014-03-18,102820.0
2014-03-19,102855.0
2014-03-20,102805.0
2014-03-21,102725.0
2014-03-24,102760.0
2014-03-25,102780.0
2014-03-26,102760.0
2014-03-27,102830.0
2014-03-28,102860.0
2014-03-31,102860.0
2014-04-01,102860.0
2014-04-02,102830.0
2014-04-03,102835.0
2014-04-04,102855.0
2014-04-07,102945.0
2014-04-08,102925.0
2014-04-09,102955.0
2014-04-10,102980.0
2014-04-11,102980.0
2014-04-14,102965.0
2014-04-15,102955.0
2014-04-16,102940.0
2014-04-17,103015.0
2014-04-18,102990.0
2014-04-21,102985.0
2014-04-22,102985.0
2014-04-23,103015.0
2014-04-24,103035.0
2014-04-25,103065.0
2014-04-28,103080.0
2014-04-29,103080.0
2014-04-30,103150.0
2014-05-02,103190.0
2014-05-07,103240.0
2014-05-08,103295.0
2014-05-09,103320.0
2014-05-12,103305.0
2014-05-13,103295.0
2014-05-14,103315.0
2014-05-15,103440.0
2014-05-16,103430.0
2014-05-19,103415.0
2014-05-20,103415.0
2014-05-21,103440.0
2014-05-22,103430.0
2014-05-23,103465.0
2014-05-26,103500.0
2014-05-27,103525.0
2014-05-28,103555.0
2014-05-29,103620.0
2014-05-30,103595.0
2014-06-02,103575.0
2014-06-03,103575.0
2014-06-05,102615.0
2014-06-09,102635.0
2014-06-10,102700.0
2014-06-11,102705.0
2014-06-12,102840.0
2014-06-13,102940.0
2014-06-16,102990.0
2014-06-17,102980.0
2014-06-18,102975.0
2014-06-19,103105.0
2014-06-20,103200.0
2014-06-23,103230.0
2014-06-24,103175.0
2014-06-25,103160.0
2014-06-26,103155.0
2014-06-27,103200.0
2014-06-30,103265.0
2014-07-01,103300.0
2014-07-02,103520.0
2014-07-03,103535.0
2014-07-04,103515.0
2014-07-07,103515.0
2014-07-08,103470.0
2014-07-09,103495.0
2014-07-10,103660.0
2014-07-11,103640.0
2014-07-14,103675.0
2014-07-15,103665.0
2014-07-16,103725.0
2014-07-17,103930.0
2014-07-18,103880.0
2014-07-21,103900.0
2014-07-22,103915.0
2014-07-23,104030.0
2014-07-24,103985.0
2014-07-25,103985.0
2014-07-28,103990.0
2014-07-29,103960.0
2014-07-30,103960.0
2014-07-31,103960.0
2014-08-01,103895.0
2014-08-04,103890.0
2014-08-05,103970.0
2014-08-06,103955.0
2014-08-07,104010.0
2014-08-08,104100.0
2014-08-11,104070.0
2014-08-12,104050.0
2014-08-13,104090.0
2014-08-14,104070.0
2014-08-18,104015.0
2014-08-19,103925.0
2014-08-20,103940.0
2014-08-21,103955.0
2014-08-22,103950.0
2014-08-25,104010.0
2014-08-26,104100.0
2014-08-27,104165.0
2014-08-28,104195.0
2014-08-29,104215.0
2014-09-01,104215.0
2014-09-02,104225.0
2014-09-03,104175.0
2014-09-04,103645.0
