Date,파워 코스피100
2014-01-13,19580.0
2014-01-14,19605.0
2014-01-15,19655.0
2014-01-16,19705.0
2014-01-17,19560.0
2014-01-20,19655.0
2014-01-21,19790.0
2014-01-22,19840.0
2014-01-23,19590.0
2014-01-24,19510.0
2014-01-27,19235.0
2014-01-28,19290.0
2014-01-29,19520.0
2014-02-03,19270.0
2014-02-04,18905.0
2014-02-05,18965.0
2014-02-06,19145.0
2014-02-07,19240.0
2014-02-10,19230.0
2014-02-11,19390.0
2014-02-12,19410.0
2014-02-13,19315.0
2014-02-14,19440.0
2014-02-17,19540.0
2014-02-18,19535.0
2014-02-19,19465.0
2014-02-20,19320.0
2014-02-21,19620.0
2014-02-24,19575.0
2014-02-25,19745.0
2014-02-26,19830.0
2014-02-27,19885.0
2014-02-28,19905.0
2014-03-03,19720.0
2014-03-04,19645.0
2014-03-05,19825.0
2014-03-06,19840.0
2014-03-07,19810.0
2014-03-10,19585.0
2014-03-11,19645.0
2014-03-12,19310.0
2014-03-13,19315.0
2014-03-14,19150.0
2014-03-17,19225.0
2014-03-18,19360.0
2014-03-19,19340.0
2014-03-20,19110.0
2014-03-21,19250.0
2014-03-24,19360.0
2014-03-25,19335.0
2014-03-26,19620.0
2014-03-27,19750.0
2014-03-28,19810.0
2014-03-31,19845.0
2014-04-01,19920.0
2014-04-02,19940.0
2014-04-03,19960.0
2014-04-04,19980.0
2014-04-07,20020.0
2014-04-08,20065.0
2014-04-09,20125.0
2014-04-10,20160.0
2014-04-11,20060.0
2014-04-14,20055.0
2014-04-15,19990.0
2014-04-16,20005.0
2014-04-17,19995.0
2014-04-18,20125.0
2014-04-21,20095.0
2014-04-22,20135.0
2014-04-23,20065.0
2014-04-24,20095.0
2014-04-25,19825.0
2014-04-28,19760.0
2014-04-29,19375.0
2014-04-30,19335.0
2014-05-02,19320.0
2014-05-07,19120.0
2014-05-08,19240.0
2014-05-09,19260.0
2014-05-12,19350.0
2014-05-13,19605.0
2014-05-14,19870.0
2014-05-15,19870.0
2014-05-16,19975.0
2014-05-19,20005.0
2014-05-20,19975.0
2014-05-21,19920.0
2014-05-22,19985.0
2014-05-23,20000.0
2014-05-26,19930.0
2014-05-27,19760.0
2014-05-28,19965.0
2014-05-29,19935.0
2014-05-30,19765.0
2014-06-02,19790.0
2014-06-03,19940.0
2014-06-05,19815.0
2014-06-09,19730.0
2014-06-10,19955.0
2014-06-11,19955.0
2014-06-12,19910.0
2014-06-13,19600.0
2014-06-16,19685.0
2014-06-17,19770.0
2014-06-18,19635.0
2014-06-19,19655.0
2014-06-20,19365.0
2014-06-23,19485.0
2014-06-24,19715.0
2014-06-25,19600.0
2014-06-26,19725.0
2014-06-27,19635.0
2014-06-30,19775.0
2014-07-01,19700.0
2014-07-02,19865.0
2014-07-03,19800.0
2014-07-04,19755.0
2014-07-07,19725.0
2014-07-08,19710.0
2014-07-09,19625.0
2014-07-10,19645.0
2014-07-11,19460.0
2014-07-14,19450.0
2014-07-15,19740.0
2014-07-16,19780.0
2014-07-17,19845.0
2014-07-18,19840.0
2014-07-21,19835.0
2014-07-22,19885.0
2014-07-23,19860.0
2014-07-24,19915.0
2014-07-25,19935.0
2014-07-28,20155.0
2014-07-29,20340.0
2014-07-30,20620.0
2014-07-31,20500.0
2014-08-01,20400.0
2014-08-04,20420.0
2014-08-05,20315.0
2014-08-06,20205.0
2014-08-07,20160.0
2014-08-08,19870.0
2014-08-11,19995.0
2014-08-12,19990.0
2014-08-13,20170.0
2014-08-14,20150.0
2014-08-18,20015.0
2014-08-19,20195.0
2014-08-20,20220.0
2014-08-21,19905.0
2014-08-22,19970.0
2014-08-25,20010.0
2014-08-26,20080.0
2014-08-27,20115.0
2014-08-28,20155.0
2014-08-29,20100.0
2014-09-01,20055.0
2014-09-02,19885.0
2014-09-03,19850.0
2014-09-04,19935.0
2014-09-05,19850.0
2014-09-11,19695.0
2014-09-12,19810.0
2014-09-15,19735.0
2014-09-16,19795.0
2014-09-17,19985.0
2014-09-18,19825.0
2014-09-19,19860.0
2014-09-22,19675.0
2014-09-23,19570.0
2014-09-24,19555.0
2014-09-25,19530.0
2014-09-26,19520.0
2014-09-29,19500.0
2014-09-30,19410.0
2014-10-01,19090.0
2014-10-02,18875.0
2014-10-06,18815.0
2014-10-07,18865.0
2014-10-08,18750.0
2014-10-10,18515.0
2014-10-13,18430.0
2014-10-14,18460.0
2014-10-15,18415.0
2014-10-16,18350.0
2014-10-17,18130.0
2014-10-20,18435.0
2014-10-21,18230.0
2014-10-22,18420.0
2014-10-23,18380.0
2014-10-24,18320.0
2014-10-27,18400.0
2014-10-28,18365.0
2014-10-29,18790.0
2014-10-30,18815.0
2014-10-31,18975.0
2014-11-03,18785.0
2014-11-04,18650.0
2014-11-05,18595.0
2014-11-06,18715.0
2014-11-07,18725.0
2014-11-10,18995.0
2014-11-11,18970.0
2014-11-12,19030.0
2014-11-13,18945.0
2014-11-14,18790.0
2014-11-17,18810.0
2014-11-18,18980.0
2014-11-19,18950.0
2014-11-20,18860.0
2014-11-21,18925.0
2014-11-24,19120.0
2014-11-25,19085.0
2014-11-26,19095.0
2014-11-27,19210.0
2014-11-28,19205.0
2014-12-01,19105.0
2014-12-02,19075.0
2014-12-03,19090.0
2014-12-04,19275.0
2014-12-05,19295.0
2014-12-08,19270.0
2014-12-09,19230.0
2014-12-10,18925.0
2014-12-11,18665.0
2014-12-12,18705.0
2014-12-15,18690.0
2014-12-16,18555.0
2014-12-17,18485.0
2014-12-18,18490.0
2014-12-19,18840.0
2014-12-22,19005.0
2014-12-23,18960.0
2014-12-24,19020.0
2014-12-26,19020.0
2014-12-29,18985.0
2014-12-30,18845.0
2015-01-02,18880.0
2015-01-05,18855.0
2015-01-06,18495.0
2015-01-07,18490.0
2015-01-08,18775.0
2015-01-09,18950.0
2015-01-12,18910.0
2015-01-13,18980.0
